,what,type,of,studies,explored,student,motivation,?
recent,0.24256184697151184,0.16975468397140503,0.2896444797515869,0.2874424457550049,0.13074259459972382,0.14500539004802704,0.1971471607685089,0.2544887959957123
research,0.237140491604805,0.15410177409648895,0.22573977708816528,0.6278853416442871,0.28736865520477295,0.30321526527404785,0.24187225103378296,0.13481977581977844
has,0.20338068902492523,0.1795734018087387,0.3909035325050354,0.24284861981868744,0.18784838914871216,0.21276195347309113,0.12865875661373138,0.15994466841220856
found,0.1796332150697708,0.17831085622310638,0.2982911467552185,0.26769936084747314,0.32558614015579224,0.10155501216650009,0.17698518931865692,0.16790300607681274
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.24775946140289307,0.161062553524971,0.3207114636898041,0.23439852893352509,0.23916715383529663
correlation,0.310825914144516,0.2267320603132248,0.2555362582206726,0.4060080349445343,0.16602060198783875,0.2101624757051468,0.424356609582901,0.23400020599365234
between,0.2462156116962433,0.13229937851428986,0.3737983703613281,0.2420201301574707,0.23923030495643616,0.09343362599611282,0.163028746843338,0.12887074053287506
teacher,0.20492632687091827,0.13493123650550842,0.19968076050281525,0.3143824338912964,0.188867449760437,0.5754092335700989,0.3194938004016876,0.1797819435596466
enthusiasm,0.24652187526226044,0.17115752398967743,0.14588777720928192,0.1447124034166336,0.17648495733737946,0.1584063172340393,0.3720179796218872,0.20266079902648926
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.30504533648490906,0.2829740047454834,0.2391568422317505,0.27178579568862915,0.20544172823429108
students,0.2380729615688324,0.11906036734580994,0.25513339042663574,0.3935359716415405,0.21209482848644257,0.7746244072914124,0.24616391956806183,0.18017297983169556
',0.3245812654495239,0.2414226084947586,0.39136970043182373,0.20619821548461914,0.09489364176988602,0.193568155169487,0.17178596556186676,0.330942302942276
intrinsic,0.38694334030151367,0.3211788833141327,0.356924444437027,0.32657909393310547,0.1408521831035614,0.17829297482967377,0.38195931911468506,0.2300206422805786
motivation,0.3632064461708069,0.163237527012825,0.20815499126911163,0.2793143689632416,0.13322694599628448,0.2838107943534851,1.0,0.27532052993774414
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.27655282616615295,0.24728679656982422,0.21220189332962036,0.33875536918640137,0.29463258385658264
learn,0.3623736798763275,0.2155952751636505,0.16631516814231873,0.32494834065437317,0.2908715307712555,0.3862043023109436,0.38036301732063293,0.3118754029273987
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.30504533648490906,0.2829740047454834,0.2391568422317505,0.27178579568862915,0.20544172823429108
vitality,0.19740577042102814,0.056982312351465225,0.2717639207839966,0.20876841247081757,0.12573854625225067,0.15549233555793762,0.34300437569618225,0.1908029317855835
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.30442532896995544,0.2683154344558716,0.254856139421463,0.2138277292251587,0.20430970191955566
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.22738903760910034,0.28095129132270813,0.21259291470050812,0.23248690366744995,0.22068053483963013
classroom,0.2124699205160141,0.15583519637584686,0.18854095041751862,0.33981505036354065,0.1710885763168335,0.4355435073375702,0.32405444979667664,0.23190370202064514
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.22173671424388885,0.2483534812927246,0.20994822680950165,0.2483096718788147,0.4130953550338745
