,how,do,ctenophores,control,buoyancy,?
it,0.36714982986450195,0.337066113948822,0.19476552307605743,0.2016621232032776,0.3155338764190674,0.25732165575027466
is,0.22544461488723755,0.30895981192588806,0.22332732379436493,0.17722277343273163,0.2984994649887085,0.22961433231830597
uncertain,0.3605155646800995,0.23169179260730743,0.32698532938957214,0.1295669972896576,0.24224509298801422,0.2301940619945526
how,1.0,0.40287578105926514,0.2594645917415619,0.27268826961517334,0.34395697712898254,0.4024120569229126
ctenophores,0.2594645917415619,0.33553314208984375,1.0,0.22009630501270294,0.44301316142082214,0.2054179310798645
control,0.27268826961517334,0.21350030601024628,0.22009630501270294,1.0,0.36255040764808655,0.1620711386203766
their,0.3316696584224701,0.35424983501434326,0.34535476565361023,0.2660429775714874,0.2665863037109375,0.1898253709077835
buoyancy,0.34395697712898254,0.22442227602005005,0.44301316142082214,0.36255040764808655,1.0000001192092896,0.15274441242218018
",",0.22659391164779663,0.3283645510673523,0.19362998008728027,0.20811550319194794,0.17904379963874817,0.31091248989105225
but,0.43101516366004944,0.4077886939048767,0.24390928447246552,0.2699015140533447,0.31653842329978943,0.27921953797340393
experiments,0.3480728268623352,0.23711039125919342,0.3490578830242157,0.24387335777282715,0.34385231137275696,0.14564716815948486
have,0.4370637536048889,0.49831271171569824,0.3612369894981384,0.2253083735704422,0.28547054529190063,0.32991164922714233
shown,0.28056201338768005,0.20802214741706848,0.23720981180667877,0.16455115377902985,0.18412823975086212,0.2433658242225647
that,0.557814359664917,0.44533252716064453,0.3005664348602295,0.2951871454715729,0.3884395658969879,0.32716336846351624
some,0.4180530905723572,0.4725562036037445,0.3641049563884735,0.2483753114938736,0.31119266152381897,0.2562315762042999
species,0.20142129063606262,0.20613440871238708,0.5645010471343994,0.15492404997348785,0.25881680846214294,0.1957087516784668
rely,0.35517552495002747,0.4001564383506775,0.35463976860046387,0.22659291326999664,0.31719109416007996,0.17513008415699005
on,0.32655060291290283,0.3025321364402771,0.1922261118888855,0.2284763753414154,0.16170787811279297,0.2714994251728058
osmotic,0.2461528480052948,0.19484426081180573,0.45374488830566406,0.22973012924194336,0.4921489357948303,0.16915065050125122
pressure,0.2370646893978119,0.15047042071819305,0.18985909223556519,0.23123516142368317,0.5277392268180847,0.142023503780365
to,0.44169697165489197,0.38876664638519287,0.2038351595401764,0.28164729475975037,0.30291926860809326,0.29463258385658264
adapt,0.3279813230037689,0.32224592566490173,0.26972198486328125,0.22986774146556854,0.2174610048532486,0.1730954349040985
to,0.44169697165489197,0.38876664638519287,0.2038351595401764,0.28164729475975037,0.30291926860809326,0.29463258385658264
water,0.19594718515872955,0.2054748237133026,0.32252225279808044,0.23623083531856537,0.4750835597515106,0.14731885492801666
of,0.2480744868516922,0.26150479912757874,0.2626190483570099,0.2817542552947998,0.3012014925479889,0.1826142966747284
different,0.411273330450058,0.35756775736808777,0.33219653367996216,0.2303757220506668,0.29790183901786804,0.24476227164268494
densities,0.28183212876319885,0.25081729888916016,0.34609296917915344,0.18825607001781464,0.43086791038513184,0.16703388094902039
.,0.3287222981452942,0.3613996207714081,0.22269779443740845,0.24319837987422943,0.20152553915977478,0.4130953550338745
