,what,happened,to,the,things,inside,the,lab,after,it,was,torn,down,?
[,0.010752761736512184,0.15404391288757324,0.07649242132902145,0.07130392640829086,0.08210089057683945,0.14967268705368042,0.07130392640829086,0.09035921841859818,0.08769132196903229,0.008456743322312832,0.03263993561267853,0.1964620053768158,0.15060549974441528,0.011015460826456547
citation,0.26448965072631836,0.11941691488027573,0.2558228075504303,0.2536581754684448,0.17817971110343933,0.17066651582717896,0.2536581754684448,0.056308116763830185,0.15851110219955444,0.2553674876689911,0.17611537873744965,0.12804590165615082,0.08289358764886856,0.3382055461406708
needed,0.3631289601325989,0.22455766797065735,0.45002421736717224,0.3064746856689453,0.4201449155807495,0.2981047034263611,0.3064746856689453,0.21957527101039886,0.22900624573230743,0.28543469309806824,0.227164626121521,0.1528717577457428,0.256115585565567,0.2863257825374603
],-0.03775298595428467,0.024638747796416283,-0.04249158129096031,-0.04779602214694023,0.0004717546980828047,0.06975233554840088,-0.04779602214694023,0.0282443817704916,-0.0015920652076601982,-0.07210399955511093,0.0001094614781322889,-0.09754690527915955,0.00777387572452426,-0.0022520492784678936
his,0.26976513862609863,0.21838653087615967,0.3715193271636963,0.4394008219242096,0.2554795444011688,0.11332204192876816,0.4394008219242096,0.19110973179340363,0.41949746012687683,0.2876833975315094,0.4405253231525421,0.2515830099582672,0.21882498264312744,0.18075084686279297
lab,0.20529143512248993,0.1185835525393486,0.22717534005641937,0.19908973574638367,0.17282691597938538,0.19074292480945587,0.19908973574638367,1.0,0.20140309631824493,0.1909080445766449,0.22224277257919312,0.12264777719974518,0.13741980493068695,0.15959888696670532
was,0.22111038863658905,0.36671528220176697,0.3636345863342285,0.48711544275283813,0.19326671957969666,0.16262930631637573,0.48711544275283813,0.22224277257919312,0.49306565523147583,0.4577186405658722,1.0000001192092896,0.2938840091228485,0.19277216494083405,0.18412111699581146
torn,0.21371328830718994,0.30257463455200195,0.18432354927062988,0.270181804895401,0.25256702303886414,0.30612918734550476,0.270181804895401,0.12264777719974518,0.2713218927383423,0.25914716720581055,0.2938840091228485,0.9999998807907104,0.24395620822906494,0.13564015924930573
down,0.26226112246513367,0.24978084862232208,0.33130598068237305,0.3325848877429962,0.2663825452327728,0.2763691544532776,0.3325848877429962,0.13741980493068695,0.2562987804412842,0.2670116126537323,0.19277216494083405,0.24395620822906494,1.0,0.13836295902729034
in,0.30808621644973755,0.3302023410797119,0.45010748505592346,0.6662389636039734,0.2694495618343353,0.3260733187198639,0.6662389636039734,0.19344905018806458,0.44050168991088867,0.5130809545516968,0.45514053106307983,0.24918708205223083,0.2321847528219223,0.20430970191955566
1904,0.09251865744590759,0.1596326231956482,0.0796782374382019,-0.0006568706012330949,0.06305396556854248,-0.08317745476961136,-0.0006568706012330949,0.03465966507792473,0.09619342535734177,-0.03499063849449158,0.10088343173265457,0.12619563937187195,0.016759507358074188,0.1387721598148346
",",0.3087472915649414,0.3230119049549103,0.44245919585227966,0.4933079481124878,0.3149048686027527,0.2100258767604828,0.4933079481124878,0.1915702074766159,0.38860568404197693,0.48329564929008484,0.45456063747406006,0.22414912283420563,0.23362469673156738,0.31091248989105225
and,0.31309178471565247,0.22602374851703644,0.48971283435821533,0.5171257257461548,0.378500759601593,0.3229386806488037,0.5171257257461548,0.2452252358198166,0.3765919506549835,0.40957894921302795,0.3740963041782379,0.23394551873207092,0.2760816216468811,0.20544172823429108
its,0.30393704771995544,0.2258307784795761,0.3691340684890747,0.559237003326416,0.26398766040802,0.23680999875068665,0.559237003326416,0.11606563627719879,0.29879069328308105,0.5786119699478149,0.3518870174884796,0.21618923544883728,0.20866182446479797,0.15103481709957123
contents,0.33944907784461975,0.15754470229148865,0.2691158354282379,0.2977584898471832,0.3719995617866516,0.39946243166923523,0.2977584898471832,0.15935184061527252,0.17190682888031006,0.3049103915691376,0.14497898519039154,0.19006213545799255,0.20274710655212402,0.3202747702598572
were,0.22298263013362885,0.34330758452415466,0.31913647055625916,0.3906462490558624,0.302395224571228,0.21396145224571228,0.3906462490558624,0.12855634093284607,0.36224013566970825,0.25487732887268066,0.590133786201477,0.26587361097335815,0.20870833098888397,0.17890112102031708
sold,0.16570822894573212,0.17355355620384216,0.17380841076374054,0.21929198503494263,0.21264667809009552,0.21522831916809082,0.21929198503494263,0.2136867642402649,0.20720331370830536,0.2950914204120636,0.3255009949207306,0.2563510537147522,0.09874062985181808,0.14943712949752808
two,0.23363454639911652,0.3139728307723999,0.3343428373336792,0.43858039379119873,0.26797741651535034,0.2546682059764862,0.43858039379119873,0.17766568064689636,0.3276641070842743,0.28080877661705017,0.27166637778282166,0.23533694446086884,0.2533988952636719,0.19645625352859497
years,0.1981470286846161,0.3024853467941284,0.23891852796077728,0.2912273406982422,0.224533349275589,0.18450860679149628,0.2912273406982422,0.1648714691400528,0.38036108016967773,0.21688692271709442,0.35855233669281006,0.15933825075626373,0.1730455905199051,0.1914375126361847
later,0.2517229914665222,0.3313152492046356,0.393297016620636,0.4060266613960266,0.21044176816940308,0.2286793440580368,0.4060266613960266,0.2774299681186676,0.5807580947875977,0.3362252712249756,0.5684447288513184,0.24132214486598969,0.20097073912620544,0.1417175978422165
to,0.455847829580307,0.2299996316432953,1.0,0.535392165184021,0.3824876844882965,0.27900636196136475,0.535392165184021,0.22717534005641937,0.37890323996543884,0.513711154460907,0.3636345863342285,0.18432354927062988,0.33130598068237305,0.29463258385658264
satisfy,0.3083791434764862,0.1271442174911499,0.26903554797172546,0.1686170995235443,0.28999388217926025,0.15582624077796936,0.1686170995235443,0.17966043949127197,0.13350805640220642,0.21708907186985016,0.10330002009868622,0.06875213235616684,0.13560345768928528,0.29956161975860596
