,how,large,are,granal,thylakoids,?
granal,0.09856247901916504,0.2611558139324188,0.15239673852920532,1.0000001192092896,0.2560059130191803,0.11100257933139801
thylakoids,0.20636409521102905,0.3060617744922638,0.4048384726047516,0.2560059130191803,1.0,0.17522360384464264
are,0.311818927526474,0.3467932939529419,1.0,0.15239673852920532,0.4048384726047516,0.24591213464736938
pancake-shaped,0.198992058634758,0.30390697717666626,0.30554184317588806,0.2878970503807068,0.3383476734161377,0.10008230805397034
circular,0.22137777507305145,0.27651622891426086,0.2744913399219513,0.26820456981658936,0.25467631220817566,0.11291391402482986
disks,0.2840304672718048,0.27909284830093384,0.28662458062171936,0.2506963312625885,0.2995154559612274,0.17979572713375092
about,0.44264400005340576,0.20547378063201904,0.36165615916252136,0.15616224706172943,0.1628861427307129,0.302409827709198
300–600,0.04183747619390488,0.027186671271920204,0.021092968061566353,0.19522202014923096,0.06046758219599724,0.13551399111747742
nanometers,0.33808672428131104,0.3287728726863861,0.34647881984710693,0.2646590769290924,0.453384667634964,0.18336744606494904
in,0.2601168751716614,0.2841601073741913,0.3841303884983063,0.22007456421852112,0.19204016029834747,0.20430970191955566
diameter,0.16205844283103943,0.2924489974975586,0.22767435014247894,0.1895141899585724,0.327688068151474,0.16941580176353455
.,0.3287222981452942,0.2304532378911972,0.3452940285205841,0.21629782021045685,0.20680563151836395,0.4130953550338745
