,what,was,done,to,the,trajan,'s,column,replica,to,fit,it,under,the,ceiling,?
one,0.376489520072937,0.3752199709415436,0.3247202932834625,0.4025384783744812,0.5514441132545471,0.22951102256774902,0.06913424283266068,0.23327594995498657,0.21094964444637299,0.4025384783744812,0.30751243233680725,0.4284902811050415,0.1822032481431961,0.5514441132545471,0.21531352400779724,0.2673267424106598
of,0.33290785551071167,0.4069072902202606,0.23300732672214508,0.41548454761505127,0.733189046382904,0.2200324684381485,-0.03817026689648628,0.221345454454422,0.20613695681095123,0.41548454761505127,0.18255473673343658,0.38761502504348755,0.32766106724739075,0.733189046382904,0.204580157995224,0.1826142966747284
these,0.4164220690727234,0.19784674048423767,0.33878517150878906,0.46852558851242065,0.49086877703666687,0.15352019667625427,0.026068098843097687,0.21833491325378418,0.1988096386194229,0.46852558851242065,0.3126583993434906,0.39955374598503113,0.24416714906692505,0.49086877703666687,0.20629189908504486,0.2571668326854706
is,0.28837618231773376,0.5810302495956421,0.2536029815673828,0.42745086550712585,0.5823672413825989,0.12763747572898865,0.02396530658006668,0.13739842176437378,0.1432729959487915,0.42745086550712585,0.2077641636133194,0.6328473687171936,0.21294879913330078,0.5823672413825989,0.13160841166973114,0.22961433231830597
dominated,0.145044207572937,0.2355012148618698,0.1805345118045807,0.18163110315799713,0.33543094992637634,0.14400139451026917,0.0071812765672802925,0.1262430101633072,0.11647557467222214,0.18163110315799713,0.12409020215272903,0.18532642722129822,0.1913527250289917,0.33543094992637634,0.12501393258571625,0.04715321213006973
by,0.2455483376979828,0.4752357602119446,0.3171842396259308,0.33534231781959534,0.4408751428127289,0.2143505960702896,-0.010884488001465797,0.17436392605304718,0.14575982093811035,0.33534231781959534,0.17864246666431427,0.40926623344421387,0.3161602020263672,0.4408751428127289,0.19236060976982117,0.17966607213020325
a,0.3320399522781372,0.4508470594882965,0.2800007462501526,0.45503583550453186,0.5829201340675354,0.19999903440475464,0.04866964742541313,0.23410743474960327,0.232511505484581,0.45503583550453186,0.2605222165584564,0.5452592968940735,0.18317826092243195,0.5829201340675354,0.19550186395645142,0.23916715383529663
full-scale,0.26528653502464294,0.21372632682323456,0.20385459065437317,0.22134050726890564,0.25189071893692017,0.2189689427614212,0.036148276180028915,0.2320634424686432,0.27337729930877686,0.22134050726890564,0.16611646115779877,0.2108744978904724,0.2018538862466812,0.25189071893692017,0.28521057963371277,0.24412725865840912
replica,0.14598625898361206,0.19655564427375793,0.17940427362918854,0.17919157445430756,0.2576879858970642,0.20583239197731018,-0.01762530393898487,0.1425039917230606,0.9999999403953552,0.17919157445430756,0.2435033917427063,0.16236822307109833,0.13453738391399384,0.2576879858970642,0.2914026081562042,0.07987788319587708
of,0.33290785551071167,0.4069072902202606,0.23300732672214508,0.41548454761505127,0.733189046382904,0.2200324684381485,-0.03817026689648628,0.221345454454422,0.20613695681095123,0.41548454761505127,0.18255473673343658,0.38761502504348755,0.32766106724739075,0.733189046382904,0.204580157995224,0.1826142966747284
trajan,0.1930665820837021,0.29209426045417786,0.0996827483177185,0.2162243276834488,0.22454074025154114,1.0000001192092896,0.08308105170726776,0.3110080361366272,0.20583239197731018,0.2162243276834488,0.17754113674163818,0.1432635337114334,0.16588127613067627,0.22454074025154114,0.3322216272354126,0.1543252319097519
's,0.02692362666130066,0.008974763564765453,0.020781854167580605,0.03782717138528824,-0.01540423184633255,0.08308105170726776,0.9999999403953552,-0.05062520503997803,-0.01762530393898487,0.03782717138528824,0.002823814284056425,0.06608816236257553,-0.03376881033182144,-0.01540423184633255,0.03282560408115387,-0.023395681753754616
column,0.15417897701263428,0.09958909451961517,0.13019175827503204,0.19605861604213715,0.2747204005718231,0.3110080361366272,-0.05062520503997803,0.9999999403953552,0.1425039917230606,0.19605861604213715,0.19798201322555542,0.1665056347846985,0.1867752969264984,0.2747204005718231,0.2587171196937561,0.10008178651332855
",",0.3087472915649414,0.45456063747406006,0.32079052925109863,0.44245919585227966,0.4933079481124878,0.1501925140619278,-0.0016132977325469255,0.19139452278614044,0.1330750733613968,0.44245919585227966,0.232503280043602,0.48329564929008484,0.24875585734844208,0.4933079481124878,0.12409644573926926,0.31091248989105225
cut,0.20727719366550446,0.21575933694839478,0.30133384466171265,0.27572008967399597,0.29221418499946594,0.13598695397377014,-0.049489881843328476,0.22490759193897247,0.17435318231582642,0.27572008967399597,0.2636893391609192,0.20810401439666748,0.19546310603618622,0.29221418499946594,0.20498479902744293,0.1403924524784088
in,0.30808621644973755,0.45514053106307983,0.22165289521217346,0.45010748505592346,0.6662389636039734,0.18017840385437012,-0.037580832839012146,0.16165213286876678,0.18848586082458496,0.45010748505592346,0.16996274888515472,0.5130809545516968,0.2535393238067627,0.6662389636039734,0.15928784012794495,0.20430970191955566
