,who,caught,a,16-yard,pass,on,this,drive,?
a,0.36608949303627014,0.23753906786441803,1.0,0.32420042157173157,0.19894953072071075,0.3848365545272827,0.5422310829162598,0.24929353594779968,0.23916715383529663
16-yard,0.30357441306114197,0.22996169328689575,0.32420042157173157,1.0,0.25593385100364685,0.24204136431217194,0.28027454018592834,0.27579131722450256,0.12999987602233887
reception,0.1436082124710083,0.21846400201320648,0.23858176171779633,0.3121497929096222,0.30549395084381104,0.23968230187892914,0.3329823613166809,0.24015843868255615,0.17967697978019714
by,0.39727845788002014,0.22695769369602203,0.32094135880470276,0.3160942792892456,0.19618479907512665,0.33887791633605957,0.38438332080841064,0.12660659849643707,0.17966607213020325
devin,0.30263060331344604,0.17134934663772583,0.25191959738731384,0.3238403797149658,0.15526700019836426,0.18232600390911102,0.10426023602485657,0.2637844383716583,0.16963998973369598
funchess,0.2051171064376831,0.19172297418117523,0.3001127243041992,0.24601653218269348,0.08648516237735748,0.2326052188873291,0.2579522430896759,0.16727431118488312,0.20353761315345764
and,0.41279885172843933,0.2659677565097809,0.3739250600337982,0.3152938187122345,0.2433357536792755,0.4077630043029785,0.42353692650794983,0.19344621896743774,0.20544172823429108
a,0.36608949303627014,0.23753906786441803,1.0,0.32420042157173157,0.19894953072071075,0.3848365545272827,0.5422310829162598,0.24929353594779968,0.23916715383529663
12-yard,0.26935866475105286,0.2118539810180664,0.24791721999645233,0.9292411208152771,0.2508707642555237,0.2173544019460678,0.2356901466846466,0.240431010723114,0.10327286273241043
run,0.2372417002916336,0.1988711953163147,0.2607046067714691,0.24518068134784698,0.2542060315608978,0.2348233312368393,0.25478053092956543,0.2819477915763855,0.17904110252857208
by,0.39727845788002014,0.22695769369602203,0.32094135880470276,0.3160942792892456,0.19618479907512665,0.33887791633605957,0.38438332080841064,0.12660659849643707,0.17966607213020325
stewart,0.27337461709976196,0.20003212988376617,0.1547141820192337,0.37103068828582764,0.057788558304309845,0.20678496360778809,0.1576966792345047,0.21277709305286407,0.11473192274570465
then,0.29952746629714966,0.26383939385414124,0.3970017731189728,0.21537663042545319,0.22971171140670776,0.30262795090675354,0.3881414830684662,0.194991797208786,0.2884598970413208
set,0.19352185726165771,0.23197437822818756,0.2540091574192047,0.23548972606658936,0.2064877301454544,0.23748746514320374,0.2594413459300995,0.1735120564699173,0.1698019951581955
up,0.26056501269340515,0.27153462171554565,0.32523053884506226,0.23806607723236084,0.17209582030773163,0.34194523096084595,0.37110671401023865,0.17436625063419342,0.1819818764925003
gano,0.1414909064769745,0.22472167015075684,0.21979376673698425,0.2096519023180008,0.1068420484662056,0.13263817131519318,0.1670469492673874,0.19872908294200897,0.12128016352653503
's,0.05599616840481758,-0.019314810633659363,0.04866964742541313,0.03367358073592186,-0.025650637224316597,0.0026888418942689896,0.02106832154095173,0.051911450922489166,-0.023395681753754616
39-yard,0.26629775762557983,0.23492233455181122,0.28543829917907715,0.904033362865448,0.268711119890213,0.2358408421278,0.27816566824913025,0.301363080739975,0.1945265233516693
field,0.18098586797714233,0.1618625521659851,0.2030690312385559,0.27801766991615295,0.1727578341960907,0.192391499876976,0.23614506423473358,0.10428697615861893,0.11279727518558502
goal,0.24070286750793457,0.15574884414672852,0.20853768289089203,0.25576290488243103,0.23072966933250427,0.2157920002937317,0.2654769718647003,0.27302247285842896,0.1964566856622696
",",0.3365725874900818,0.300359308719635,0.427140474319458,0.30228912830352783,0.22301842272281647,0.49057599902153015,0.4316047728061676,0.17920437455177307,0.31091248989105225
cutting,0.15921923518180847,0.22976362705230713,0.23154695332050323,0.25051042437553406,0.17613449692726135,0.27064773440361023,0.2812359929084778,0.18638743460178375,0.07885761559009552
the,0.3733934462070465,0.2087310254573822,0.5829201340675354,0.33381152153015137,0.25961899757385254,0.5107308030128479,0.6274310946464539,0.2083187699317932,0.22068053483963013
panthers,0.2132880985736847,0.20935580134391785,0.2255268394947052,0.24116404354572296,0.16386406123638153,0.17721405625343323,0.18392351269721985,0.1978069394826889,0.16608978807926178
deficit,0.246929332613945,0.25330209732055664,0.22604411840438843,0.16248944401741028,0.18463924527168274,0.18830692768096924,0.3167400062084198,0.24933089315891266,0.2131306529045105
to,0.42656609416007996,0.2586933970451355,0.45503583550453186,0.23728755116462708,0.28446894884109497,0.41031414270401,0.5759071707725525,0.291306734085083,0.29463258385658264
one,0.40083858370780945,0.2618158459663391,0.4910551905632019,0.28102871775627136,0.15908050537109375,0.3601475656032562,0.4978463351726532,0.21425491571426392,0.2673267424106598
score,0.1809227615594864,0.11128542572259903,0.19997252523899078,0.26963940262794495,0.15402163565158844,0.1815592646598816,0.16921186447143555,0.24250289797782898,0.199510395526886
at,0.22096660733222961,0.2008395791053772,0.3095070421695709,0.2920900583267212,0.20175953209400177,0.4806317389011383,0.32544323801994324,0.1466808021068573,0.21978627145290375
16–10,0.1518099159002304,0.00042084744200110435,-0.0399751253426075,0.027039797976613045,0.04212329909205437,0.022324657067656517,-0.10440269112586975,-0.1133575588464737,0.00041399712790735066
.,0.3541337847709656,0.2576688826084137,0.50484299659729,0.2991662323474884,0.1901644617319107,0.49257001280784607,0.500583827495575,0.21262511610984802,0.4130953550338745
