,when,was,the,last,super,bowl,in,california,?
it,0.4775012135505676,0.4577186405658722,0.6251175999641418,0.23236626386642456,0.19638319313526154,0.1748591959476471,0.5130809545516968,0.1883031278848648,0.25732165575027466
is,0.3471449911594391,0.5810302495956421,0.5823672413825989,0.2445172220468521,0.15390309691429138,0.14233897626399994,0.5394441485404968,0.20727038383483887,0.22961433231830597
the,0.5091903209686279,0.48711544275283813,1.0,0.3698786795139313,0.21959073841571808,0.21576224267482758,0.6662389636039734,0.2750805914402008,0.22068053483963013
first,0.4282494783401489,0.5022147297859192,0.49448907375335693,0.5431418418884277,0.2717077434062958,0.20817767083644867,0.4127444326877594,0.20105555653572083,0.18701928853988647
super,0.20393483340740204,0.21420986950397491,0.21959073841571808,0.17231976985931396,1.0000001192092896,0.4848237931728363,0.18576006591320038,0.15213294327259064,0.166326642036438
bowl,0.20523639023303986,0.21915455162525177,0.21576224267482758,0.20327796041965485,0.4848237931728363,1.0,0.17236235737800598,0.22235432267189026,0.21118052303791046
held,0.1848648637533188,0.30231067538261414,0.32185450196266174,0.20021413266658783,0.1602509617805481,0.1913566142320633,0.3127288818359375,0.17937809228897095,0.14103956520557404
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.30714505910873413,0.18576006591320038,0.17236235737800598,1.0,0.2772824168205261,0.20430970191955566
the,0.5091903209686279,0.48711544275283813,1.0,0.3698786795139313,0.21959073841571808,0.21576224267482758,0.6662389636039734,0.2750805914402008,0.22068053483963013
san,0.20252759754657745,0.2675222158432007,0.2858080565929413,0.15585462749004364,0.15279507637023926,0.18508543074131012,0.2617562413215637,0.5170050263404846,0.10952327400445938
francisco,0.1998862773180008,0.24025709927082062,0.25086042284965515,0.16255201399326324,0.1658499836921692,0.20152677595615387,0.21278683841228485,0.5200812816619873,0.1020219698548317
bay,0.17318107187747955,0.18626409769058228,0.2441686987876892,0.1800021380186081,0.12241406738758087,0.1972428411245346,0.1926257163286209,0.272103875875473,0.10773546993732452
area,0.29334506392478943,0.24981513619422913,0.37834644317626953,0.1486259549856186,0.09147491306066513,0.19680163264274597,0.33632898330688477,0.18134087324142456,0.12640461325645447
since,0.42774689197540283,0.4384658932685852,0.4054957628250122,0.3911735415458679,0.13119962811470032,0.14065173268318176,0.4325680434703827,0.2154780477285385,0.2876587212085724
super,0.20393483340740204,0.21420986950397491,0.21959073841571808,0.17231976985931396,1.0000001192092896,0.4848237931728363,0.18576006591320038,0.15213294327259064,0.166326642036438
bowl,0.20523639023303986,0.21915455162525177,0.21576224267482758,0.20327796041965485,0.4848237931728363,1.0,0.17236235737800598,0.22235432267189026,0.21118052303791046
xix,0.14765101671218872,0.2945404052734375,0.2647514343261719,0.27588436007499695,0.36064285039901733,0.3306947350502014,0.22241513431072235,0.14810317754745483,0.1777612268924713
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.30714505910873413,0.18576006591320038,0.17236235737800598,1.0,0.2772824168205261,0.20430970191955566
1985,-0.00747395446524024,0.010012023150920868,0.02310241386294365,-0.07435119897127151,-0.05335182696580887,-0.05126553773880005,0.015247007831931114,0.04858731850981712,-0.03005216084420681
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.29026782512664795,0.22322475910186768,0.1810409277677536,0.5201468467712402,0.2704589068889618,0.31091248989105225
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.25967320799827576,0.18368244171142578,0.1698254644870758,0.4954058527946472,0.2441616654396057,0.20544172823429108
the,0.5091903209686279,0.48711544275283813,1.0,0.3698786795139313,0.21959073841571808,0.21576224267482758,0.6662389636039734,0.2750805914402008,0.22068053483963013
first,0.4282494783401489,0.5022147297859192,0.49448907375335693,0.5431418418884277,0.2717077434062958,0.20817767083644867,0.4127444326877594,0.20105555653572083,0.18701928853988647
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.30714505910873413,0.18576006591320038,0.17236235737800598,1.0,0.2772824168205261,0.20430970191955566
california,0.18115097284317017,0.262346476316452,0.2750805914402008,0.15623831748962402,0.15213294327259064,0.22235432267189026,0.2772824168205261,1.0,0.1409905105829239
