,what,is,the,escape,of,the,steam,unlikely,to,accomplish,in,all,but,the,smallest,boilers,?
except,0.2278055101633072,0.2821842133998871,0.31242886185646057,0.09751679748296738,0.2851351797580719,0.31242886185646057,0.13924187421798706,0.2627163529396057,0.23187223076820374,0.19185598194599152,0.22713249921798706,0.46780258417129517,0.3882024884223938,0.31242886185646057,0.1698051393032074,0.17227602005004883,0.16405975818634033
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.19471009075641632,0.5696388483047485,0.6662389636039734,0.19852672517299652,0.25445839762687683,0.45010748505592346,0.15321728587150574,1.0,0.3335905969142914,0.48674455285072327,0.6662389636039734,0.29234784841537476,0.22497087717056274,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.23189567029476166,0.733189046382904,1.0,0.23105813562870026,0.28853553533554077,0.535392165184021,0.21775546669960022,0.6662389636039734,0.4860881567001343,0.4859698414802551,1.0,0.37486547231674194,0.2494322508573532,0.22068053483963013
smallest,0.2000153660774231,0.390435129404068,0.37486547231674194,0.16692019999027252,0.3851827085018158,0.37486547231674194,0.031821101903915405,0.22234176099300385,0.21616685390472412,0.12140417844057083,0.29234784841537476,0.2703095078468323,0.21275421977043152,0.37486547231674194,1.0,0.039509374648332596,0.11955065280199051
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.17960478365421295,1.0,0.733189046382904,0.20239725708961487,0.2476360946893692,0.41548454761505127,0.22183531522750854,0.5696388483047485,0.42798417806625366,0.39942997694015503,0.733189046382904,0.3851827085018158,0.16756583750247955,0.1826142966747284
boilers,0.24493542313575745,0.134446382522583,0.2494322508573532,0.26840880513191223,0.16756583750247955,0.2494322508573532,0.5207757353782654,0.2550245225429535,0.25162914395332336,0.20012415945529938,0.22497087717056274,0.27614548802375793,0.24571257829666138,0.2494322508573532,0.039509374648332596,1.0,0.19904552400112152
the,0.42745697498321533,0.5823672413825989,1.0,0.23189567029476166,0.733189046382904,1.0,0.23105813562870026,0.28853553533554077,0.535392165184021,0.21775546669960022,0.6662389636039734,0.4860881567001343,0.4859698414802551,1.0,0.37486547231674194,0.2494322508573532,0.22068053483963013
steam,0.15672586858272552,0.13029660284519196,0.23105813562870026,0.25019651651382446,0.20239725708961487,0.23105813562870026,1.0000001192092896,0.24813240766525269,0.22894427180290222,0.11965859681367874,0.19852672517299652,0.19205103814601898,0.25995272397994995,0.23105813562870026,0.031821101903915405,0.5207757353782654,0.113324373960495
escape,0.21352531015872955,0.1574304699897766,0.23189567029476166,1.0000001192092896,0.17960478365421295,0.23189567029476166,0.25019651651382446,0.252395898103714,0.29131880402565,0.18729209899902344,0.19471009075641632,0.2143043428659439,0.28644388914108276,0.23189567029476166,0.16692019999027252,0.26840880513191223,0.11586874723434448
has,0.20338068902492523,0.5668748617172241,0.4177538752555847,0.07740966975688934,0.3909035325050354,0.4177538752555847,0.13945941627025604,0.2932108938694,0.3619994819164276,0.20803722739219666,0.4173259735107422,0.3343993127346039,0.41906601190567017,0.4177538752555847,0.2977403700351715,0.15876290202140808,0.15994466841220856
little,0.2614184617996216,0.23436859250068665,0.2412613034248352,0.10473261028528214,0.20116642117500305,0.2412613034248352,0.12657171487808228,0.256264328956604,0.2547711431980133,0.17433951795101166,0.22515349090099335,0.1757923811674118,0.33299896121025085,0.2412613034248352,0.1898767650127411,0.10509385168552399,0.20336517691612244
effect,0.2546532452106476,0.17614969611167908,0.2865084111690521,0.24121709167957306,0.24129827320575714,0.2865084111690521,0.23771736025810242,0.32161352038383484,0.2521958649158478,0.2522837221622467,0.25150683522224426,0.19967606663703918,0.30325666069984436,0.2865084111690521,0.13247524201869965,0.15486909449100494,0.1783771812915802
on,0.34226128458976746,0.3635730445384979,0.5107308030128479,0.14324909448623657,0.3966929316520691,0.5107308030128479,0.1939276158809662,0.29343169927597046,0.41031414270401,0.19086870551109314,0.46853652596473694,0.3832052946090698,0.3584071099758148,0.5107308030128479,0.1545669287443161,0.16840936243534088,0.2714994251728058
dampening,0.32554998993873596,0.28130874037742615,0.416397362947464,0.26707491278648376,0.3617672026157379,0.416397362947464,0.2749581038951874,0.2125789225101471,0.30911287665367126,0.22010019421577454,0.3297796845436096,0.29692232608795166,0.337838739156723,0.416397362947464,0.2725943326950073,0.3278668522834778,0.16383400559425354
the,0.42745697498321533,0.5823672413825989,1.0,0.23189567029476166,0.733189046382904,1.0,0.23105813562870026,0.28853553533554077,0.535392165184021,0.21775546669960022,0.6662389636039734,0.4860881567001343,0.4859698414802551,1.0,0.37486547231674194,0.2494322508573532,0.22068053483963013
fire,0.19359004497528076,0.20205499231815338,0.2911929488182068,0.24898312985897064,0.20259131491184235,0.2911929488182068,0.2893049418926239,0.17952194809913635,0.2020210474729538,0.1453106701374054,0.2514701783657074,0.20096057653427124,0.20752230286598206,0.2911929488182068,0.11280559003353119,0.339163601398468,0.14396874606609344
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.20978771150112152,0.5352458953857422,0.5934505462646484,0.22855372726917267,0.2776797413825989,0.4645031690597534,0.21241043508052826,0.5591574311256409,0.43406882882118225,0.46573564410209656,0.5934505462646484,0.24342919886112213,0.24327951669692993,0.4130953550338745
