,what,is,the,most,feared,condition,that,divers,want,to,avoid,?
exposure,0.21444639563560486,0.2011653631925583,0.19603724777698517,0.23567190766334534,0.2050272524356842,0.36352139711380005,0.2606508135795593,0.22940362989902496,0.17756550014019012,0.263922780752182,0.25998008251190186,0.18779869377613068
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.321603000164032,0.2618241012096405,0.2868253290653229,0.5436353087425232,0.25984951853752136,0.4966742694377899,1.0,0.33193957805633545,0.29463258385658264
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.3508910834789276,0.1530139148235321,0.28835010528564453,0.47537946701049805,0.2044837921857834,0.2898913025856018,0.45503583550453186,0.2583659291267395,0.23916715383529663
o,0.1489914506673813,0.18684464693069458,0.19071193039417267,0.12089966237545013,0.05367811396718025,0.064445860683918,0.14885690808296204,0.06790328025817871,0.17241352796554565,0.1644444614648819,0.03060843236744404,0.23868927359580994
2,-0.049862053245306015,-0.07940074801445007,-0.019434669986367226,-0.04698450118303299,0.04989182576537132,-0.011278250254690647,-0.04901214689016342,-0.06045101210474968,-0.020717093721032143,-0.0836251974105835,-0.05540257692337036,0.001977203879505396
partial,0.24140220880508423,0.23120467364788055,0.2313118278980255,0.172413170337677,0.07640095055103302,0.28475186228752136,0.31207776069641113,0.2096748650074005,0.17280970513820648,0.19141130149364471,0.16777093708515167,0.16151700913906097
pressures,0.2606661915779114,0.21779607236385345,0.316790908575058,0.22863492369651794,0.27001383900642395,0.32404643297195435,0.3661139905452728,0.31661996245384216,0.21003125607967377,0.3563862144947052,0.2539825737476349,0.12055351585149765
greater,0.1946859508752823,0.21338969469070435,0.2814446687698364,0.20576724410057068,0.18273168802261353,0.19062358140945435,0.2520751655101776,0.24340485036373138,0.13121247291564941,0.25585630536079407,0.16793666779994965,0.09723397344350815
than,0.29388150572776794,0.2839990258216858,0.3227543234825134,0.42108985781669617,0.2434740513563156,0.28596121072769165,0.4891277849674225,0.21233361959457397,0.29250627756118774,0.3192550539970398,0.22200575470924377,0.24917294085025787
160,-0.2319744974374771,-0.040434580296278,-0.02510654367506504,-0.07334385067224503,-0.12505146861076355,-0.22905488312244415,-0.272593230009079,-0.07557504624128342,-0.26840102672576904,-0.19418273866176605,-0.18395277857780457,-0.11823219805955887
kpa,0.17692479491233826,0.19405466318130493,0.19373929500579834,0.09753295034170151,0.1605534851551056,0.1734464317560196,0.21044160425662994,0.14335918426513672,0.1334814578294754,0.20735129714012146,0.14009171724319458,0.2370387464761734
