,where,hotel,did,the,panthers,stay,at,?
the,0.5003893971443176,0.22439035773277283,0.34736719727516174,1.0,0.2602776288986206,0.2869375944137573,0.457212895154953,0.22068053483963013
panthers,0.1572883576154709,0.16536849737167358,0.189295694231987,0.2602776288986206,0.9999999403953552,0.2102188616991043,0.21283596754074097,0.16608978807926178
used,0.31140151619911194,0.0854378491640091,0.30443844199180603,0.3718377649784088,0.11825588345527649,0.20226168632507324,0.22295412421226501,0.22430120408535004
the,0.5003893971443176,0.22439035773277283,0.34736719727516174,1.0,0.2602776288986206,0.2869375944137573,0.457212895154953,0.22068053483963013
san,0.23934276401996613,0.24262650310993195,0.1785750538110733,0.2858080565929413,0.2766169309616089,0.1256573349237442,0.21309925615787506,0.10952327400445938
jose,0.1550377458333969,0.1764741837978363,0.15362997353076935,0.19788163900375366,0.3475921154022217,0.159159854054451,0.16885404288768768,0.06250977516174316
state,0.2583591639995575,0.17735041677951813,0.152080237865448,0.3097178041934967,0.21158847212791443,0.1801750212907791,0.2408173680305481,0.1160883978009224
practice,0.25136226415634155,0.147495299577713,0.256716251373291,0.27333036065101624,0.18023143708705902,0.21176418662071228,0.17058232426643372,0.21386858820915222
facility,0.25094524025917053,0.358151912689209,0.12269388139247894,0.19252020120620728,0.1516900211572647,0.1637221872806549,0.2692711055278778,0.12783357501029968
and,0.43859338760375977,0.236335888504982,0.34479495882987976,0.5171257257461548,0.2230100929737091,0.279899924993515,0.3571503460407257,0.20544172823429108
stayed,0.3112199306488037,0.2624438405036926,0.42530572414398193,0.3768083155155182,0.17210689187049866,0.5232035517692566,0.2881714403629303,0.06590735167264938
at,0.4402937591075897,0.2675158977508545,0.28390252590179443,0.457212895154953,0.21283596754074097,0.23286797106266022,1.0,0.21978627145290375
the,0.5003893971443176,0.22439035773277283,0.34736719727516174,1.0,0.2602776288986206,0.2869375944137573,0.457212895154953,0.22068053483963013
san,0.23934276401996613,0.24262650310993195,0.1785750538110733,0.2858080565929413,0.2766169309616089,0.1256573349237442,0.21309925615787506,0.10952327400445938
jose,0.1550377458333969,0.1764741837978363,0.15362997353076935,0.19788163900375366,0.3475921154022217,0.159159854054451,0.16885404288768768,0.06250977516174316
marriott,0.17189815640449524,0.29194286465644836,0.17210820317268372,0.2137458175420761,0.2338441163301468,0.1887931078672409,0.2200389802455902,0.16338540613651276
.,0.41390106081962585,0.21866577863693237,0.35288307070732117,0.5934505462646484,0.23446570336818695,0.3077605068683624,0.4549728035926819,0.4130953550338745
