,when,was,johann,tetzel,sent,by,the,roman,catholic,church,to,germany,to,sell,indulgences,?
in,0.4431333839893341,0.45514053106307983,0.1748005747795105,0.26100096106529236,0.25609636306762695,0.370934396982193,0.6662389636039734,0.24986636638641357,0.26313918828964233,0.2493300437927246,0.45010748505592346,0.3642844259738922,0.45010748505592346,0.23190630972385406,0.18559019267559052,0.20430970191955566
1516,-0.19939732551574707,-0.0013354268157854676,0.08523216843605042,-0.04250679165124893,-0.11427954584360123,-0.1369069367647171,-0.16508474946022034,0.09928186237812042,0.15518814325332642,0.06957687437534332,-0.2066461741924286,-0.015106428414583206,-0.2066461741924286,-0.22451183199882507,-0.05212371051311493,-0.039695288985967636
",",0.36674630641937256,0.45456063747406006,0.23122678697109222,0.33824118971824646,0.2487054318189621,0.3680937886238098,0.4933079481124878,0.26863154768943787,0.2713983952999115,0.2707274258136749,0.44245919585227966,0.2898865044116974,0.44245919585227966,0.26397812366485596,0.21256935596466064,0.31091248989105225
johann,0.1687304675579071,0.22661232948303223,0.9999998807907104,0.36588191986083984,0.16645504534244537,0.23808029294013977,0.1716882735490799,0.2515431046485901,0.25915196537971497,0.23930971324443817,0.1611560434103012,0.3632591962814331,0.1611560434103012,0.13774433732032776,0.2525950074195862,0.1194499209523201
tetzel,0.19937527179718018,0.19295687973499298,0.36588191986083984,0.9999999403953552,0.09652723371982574,0.19011451303958893,0.26067298650741577,0.15659905970096588,0.10351230204105377,0.11184664070606232,0.17206594347953796,0.36571425199508667,0.17206594347953796,0.20450766384601593,0.13006402552127838,0.1545286476612091
",",0.36674630641937256,0.45456063747406006,0.23122678697109222,0.33824118971824646,0.2487054318189621,0.3680937886238098,0.4933079481124878,0.26863154768943787,0.2713983952999115,0.2707274258136749,0.44245919585227966,0.2898865044116974,0.44245919585227966,0.26397812366485596,0.21256935596466064,0.31091248989105225
a,0.44397395849227905,0.4508470594882965,0.16699613630771637,0.30731338262557983,0.24201522767543793,0.32094135880470276,0.5829201340675354,0.18130378425121307,0.2060672640800476,0.19588641822338104,0.45503583550453186,0.2606942057609558,0.45503583550453186,0.1961973011493683,0.20999303460121155,0.23916715383529663
dominican,0.15699918568134308,0.22250740230083466,0.209002286195755,0.19497551023960114,0.17548935115337372,0.21670746803283691,0.2976938486099243,0.3334271311759949,0.3928636908531189,0.2907170355319977,0.17946472764015198,0.30807334184646606,0.17946472764015198,0.10810423642396927,0.23308558762073517,0.1766073852777481
friar,0.15663489699363708,0.2224845141172409,0.2999865412712097,0.219565749168396,0.16084305942058563,0.14809070527553558,0.2028006762266159,0.29990971088409424,0.4259134531021118,0.42415502667427063,0.1883735954761505,0.16714251041412354,0.1883735954761505,0.16858524084091187,0.28842175006866455,0.13224560022354126
and,0.4716290831565857,0.3740963041782379,0.22396446764469147,0.2300480306148529,0.32548439502716064,0.4289871156215668,0.5171257257461548,0.2730041444301605,0.2147825062274933,0.1976170688867569,0.48971283435821533,0.29381805658340454,0.48971283435821533,0.2874627709388733,0.19426552951335907,0.20544172823429108
papal,0.22282350063323975,0.2140740603208542,0.1765017807483673,0.15923765301704407,0.21284061670303345,0.17000712454319,0.24918924272060394,0.40308335423469543,0.45753490924835205,0.38458773493766785,0.2142687439918518,0.27605894207954407,0.2142687439918518,0.17608599364757538,0.42008474469184875,0.18529073894023895
commissioner,0.20733073353767395,0.3285019099712372,0.20266583561897278,0.11784257739782333,0.23030774295330048,0.23484601080417633,0.25271227955818176,0.1458340287208557,0.15766455233097076,0.1571974903345108,0.21615050733089447,0.14404499530792236,0.21615050733089447,0.25259122252464294,0.2026239037513733,0.1209191158413887
for,0.43402108550071716,0.3863949179649353,0.09551481157541275,0.17281296849250793,0.27045202255249023,0.3248702883720398,0.4739971458911896,0.13499169051647186,0.15741609036922455,0.15542230010032654,0.4451248347759247,0.2319389283657074,0.4451248347759247,0.2719201445579529,0.18798667192459106,0.264628142118454
