,where,was,the,burial,site,used,for,testing,located,?
based,0.20940464735031128,0.2870393395423889,0.29860720038414,0.14604784548282623,0.21323978900909424,0.3212050795555115,0.2761107087135315,0.23367181420326233,0.2699260115623474,0.134929820895195
on,0.37630224227905273,0.3909217119216919,0.5107308030128479,0.20369717478752136,0.24843932688236237,0.24785758554935455,0.36199691891670227,0.2297915816307068,0.22447186708450317,0.2714994251728058
genetic,0.15648514032363892,0.16944721341133118,0.23426297307014465,0.16299551725387573,0.14150141179561615,0.19243638217449188,0.26386508345603943,0.29401856660842896,0.08359751105308533,0.17993050813674927
evidence,0.22179295122623444,0.19407325983047485,0.25031140446662903,0.2831336259841919,0.24458177387714386,0.20855863392353058,0.2610411047935486,0.31927868723869324,0.12194635719060898,0.24151235818862915
derived,0.19459091126918793,0.2084180861711502,0.26961472630500793,0.16876375675201416,0.1453629583120346,0.3626508116722107,0.20121073722839355,0.2137710452079773,0.1973266303539276,0.1241099163889885
from,0.3713873624801636,0.31171464920043945,0.40150508284568787,0.12092627584934235,0.12587226927280426,0.25821518898010254,0.314039945602417,0.11586327105760574,0.2290649116039276,0.19969791173934937
black,0.1594732403755188,0.1419273465871811,0.28466513752937317,0.11145126074552536,0.037103354930877686,0.17694559693336487,0.2090286761522293,0.08839891105890274,0.08692813664674759,0.15159966051578522
death,0.166978120803833,0.28516459465026855,0.21438048779964447,0.3061933219432831,0.13286052644252777,0.0912664607167244,0.19869662821292877,0.095314621925354,0.05621900409460068,0.21149799227714539
victims,0.17550748586654663,0.16634027659893036,0.21845385432243347,0.28774526715278625,0.19452324509620667,0.20584461092948914,0.22207793593406677,0.1647947132587433,0.13210134208202362,0.16638198494911194
in,0.5344807505607605,0.45514053106307983,0.6662389636039734,0.233357235789299,0.20704983174800873,0.3090210556983948,0.4322226941585541,0.22079947590827942,0.35149815678596497,0.20430970191955566
the,0.5003893971443176,0.48711544275283813,1.0,0.23356176912784576,0.288954496383667,0.3718377649784088,0.4739971458911896,0.25075584650039673,0.407527357339859,0.22068053483963013
east,0.28155818581581116,0.2747166156768799,0.3383176326751709,0.14979766309261322,0.174990713596344,0.17829805612564087,0.20268000662326813,0.09243524819612503,0.35773882269859314,0.10070597380399704
smithfield,0.2512436509132385,0.29750770330429077,0.25147610902786255,0.29679298400878906,0.24464473128318787,0.12316379696130753,0.21816913783550262,0.12254844605922699,0.25961098074913025,0.15345445275306702
burial,0.30498334765434265,0.21821482479572296,0.23356176912784576,1.0,0.3375445008277893,0.1383083462715149,0.17203226685523987,0.1477263867855072,0.22092518210411072,0.15331946313381195
site,0.24231134355068207,0.24460934102535248,0.288954496383667,0.3375445008277893,1.0000001192092896,0.1787319779396057,0.26506415009498596,0.19881486892700195,0.3760833442211151,0.2014765441417694
in,0.5344807505607605,0.45514053106307983,0.6662389636039734,0.233357235789299,0.20704983174800873,0.3090210556983948,0.4322226941585541,0.22079947590827942,0.35149815678596497,0.20430970191955566
england,0.23118865489959717,0.2656741440296173,0.28280043601989746,0.21069279313087463,0.1115279346704483,0.2114861011505127,0.2606674134731293,0.11576490104198456,0.12959517538547516,0.13436897099018097
",",0.3149496018886566,0.45456063747406006,0.4933079481124878,0.2167155146598816,0.2036259025335312,0.3120402991771698,0.4464869201183319,0.18808996677398682,0.2678719460964203,0.31091248989105225
schuenemann,0.21655134856700897,0.3119925260543823,0.30930960178375244,0.13664725422859192,0.1365681141614914,0.14704854786396027,0.23991531133651733,0.15524974465370178,0.09369281679391861,0.2243790477514267
et,0.08346187323331833,0.13651473820209503,0.16372482478618622,0.06076755374670029,0.1225786954164505,0.12459539622068405,0.13475298881530762,0.08558430522680283,0.0422782376408577,0.10508361458778381
al,0.10733779519796371,0.19420784711837769,0.18736925721168518,0.13862881064414978,0.12445986270904541,0.0817904993891716,0.1732216775417328,0.08230932801961899,0.04231799766421318,0.12356415390968323
.,0.41390106081962585,0.40146201848983765,0.5934505462646484,0.18758666515350342,0.22011229395866394,0.33111312985420227,0.4726039469242096,0.23063190281391144,0.28226932883262634,0.4130953550338745
