,where,does,the,middle,rhine,flow,between,bingen,and,bonn,?
between,0.38496607542037964,0.16966454684734344,0.39067012071609497,0.31100550293922424,0.17755062878131866,0.22865281999111176,0.9999999403953552,0.09992358088493347,0.40645647048950195,0.16128163039684296,0.12887074053287506
bingen,0.1547730416059494,0.1101377010345459,0.17240707576274872,0.1915007382631302,0.5156323313713074,0.07087799906730652,0.09992358088493347,1.0000001192092896,0.1754288375377655,0.5241225361824036,0.1580134928226471
and,0.43859338760375977,0.3461615741252899,0.5171257257461548,0.2514324486255646,0.22029656171798706,0.2773895561695099,0.40645647048950195,0.1754288375377655,1.0,0.25489795207977295,0.20544172823429108
bonn,0.19286105036735535,0.12007362395524979,0.25680050253868103,0.142375648021698,0.5227794647216797,0.11486933380365372,0.16128163039684296,0.5241225361824036,0.25489795207977295,1.0000001192092896,0.16948336362838745
",",0.3149496018886566,0.28617382049560547,0.4933079481124878,0.24847112596035004,0.167837992310524,0.23027558624744415,0.27714940905570984,0.22938573360443115,0.6633074283599854,0.28043362498283386,0.31091248989105225
the,0.5003893971443176,0.35928019881248474,1.0,0.3405749201774597,0.30735138058662415,0.314039409160614,0.39067012071609497,0.17240707576274872,0.5171257257461548,0.25680050253868103,0.22068053483963013
middle,0.24287375807762146,0.16685135662555695,0.3405749201774597,0.9999998807907104,0.23721498250961304,0.12509842216968536,0.31100550293922424,0.1915007382631302,0.2514324486255646,0.142375648021698,0.13139553368091583
rhine,0.2007746696472168,0.13532963395118713,0.30735138058662415,0.23721498250961304,1.0,0.20253489911556244,0.17755062878131866,0.5156323313713074,0.22029656171798706,0.5227794647216797,0.13754533231258392
flows,0.23452386260032654,0.23165354132652283,0.32405155897140503,0.1470673829317093,0.2871347963809967,0.6895013451576233,0.22547540068626404,0.17421045899391174,0.2396772801876068,0.15079687535762787,0.11636040359735489
through,0.331196665763855,0.21495459973812103,0.44071322679519653,0.24744445085525513,0.23343999683856964,0.3991040587425232,0.3930896520614624,0.13426922261714935,0.3666759729385376,0.11035824567079544,0.16913433372974396
the,0.5003893971443176,0.35928019881248474,1.0,0.3405749201774597,0.30735138058662415,0.314039409160614,0.39067012071609497,0.17240707576274872,0.5171257257461548,0.25680050253868103,0.22068053483963013
rhine,0.2007746696472168,0.13532963395118713,0.30735138058662415,0.23721498250961304,1.0,0.20253489911556244,0.17755062878131866,0.5156323313713074,0.22029656171798706,0.5227794647216797,0.13754533231258392
gorge,0.26789888739585876,0.06695333868265152,0.26357370615005493,0.13838762044906616,0.25667303800582886,0.31518980860710144,0.22134362161159515,0.19664783775806427,0.2490140050649643,0.19019845128059387,0.1263076812028885
",",0.3149496018886566,0.28617382049560547,0.4933079481124878,0.24847112596035004,0.167837992310524,0.23027558624744415,0.27714940905570984,0.22938573360443115,0.6633074283599854,0.28043362498283386,0.31091248989105225
a,0.40997210144996643,0.38201746344566345,0.5829201340675354,0.23820361495018005,0.1823403388261795,0.21422207355499268,0.29385313391685486,0.18480850756168365,0.3739250600337982,0.20975470542907715,0.23916715383529663
formation,0.17374244332313538,0.11368165910243988,0.33687281608581543,0.17563502490520477,0.13757474720478058,0.2449118196964264,0.2709658443927765,0.12112226337194443,0.22940734028816223,0.18094775080680847,0.09831923991441727
which,0.5477990508079529,0.39111801981925964,0.6521818041801453,0.22406704723834991,0.18744276463985443,0.3194761574268341,0.395174115896225,0.13103275001049042,0.506277859210968,0.21701106429100037,0.25814583897590637
was,0.20731619000434875,0.19302551448345184,0.48711544275283813,0.21038298308849335,0.18681856989860535,0.16647294163703918,0.24048170447349548,0.14842990040779114,0.3740963041782379,0.2483256757259369,0.18412111699581146
created,0.2234586924314499,0.20221839845180511,0.3539263904094696,0.16889913380146027,0.11115767806768417,0.18525119125843048,0.2066173255443573,0.11046681553125381,0.2873832881450653,0.07657398283481598,0.21177415549755096
by,0.2641284465789795,0.143477201461792,0.4408751428127289,0.18733404576778412,0.18456800282001495,0.16639110445976257,0.28115302324295044,0.06663106381893158,0.4289871156215668,0.11693922430276871,0.17966607213020325
erosion,0.221313014626503,0.15185797214508057,0.2848348915576935,0.20176056027412415,0.2159864902496338,0.3609425723552704,0.2459857016801834,0.12976700067520142,0.2638475000858307,0.08420616388320923,0.14646314084529877
.,0.41390106081962585,0.3022993505001068,0.5934505462646484,0.2989427447319031,0.2089352011680603,0.191733717918396,0.30295518040657043,0.20918020606040955,0.588965117931366,0.2734124958515167,0.4130953550338745
