,what,super,bowl,did,rivera,play,in,as,a,player,?
with,0.2464839518070221,0.1518537551164627,0.18353787064552307,0.25472134351730347,0.21464984118938446,0.2415807843208313,0.4080928862094879,0.40387406945228577,0.3783375024795532,0.15822981297969818,0.2433311939239502
rivera,0.11905807256698608,0.16309233009815216,0.13566109538078308,0.16576150059700012,1.0000001192092896,0.16279497742652893,0.2068725824356079,0.21586455404758453,0.16267988085746765,0.2856099307537079,0.17391206324100494
having,0.34064167737960815,0.1636309027671814,0.1432962417602539,0.3157401978969574,0.12234654277563095,0.17905408143997192,0.32022708654403687,0.36958321928977966,0.3929923176765442,0.11929608136415482,0.22418256103992462
been,0.2567804455757141,0.16475224494934082,0.17613008618354797,0.2835664749145508,0.14972220361232758,0.1727621853351593,0.3515113592147827,0.3975982367992401,0.3315402865409851,0.11115588992834091,0.24354910850524902
a,0.3320399522781372,0.26005712151527405,0.19533146917819977,0.2552328109741211,0.16267988085746765,0.21130098402500153,0.539380669593811,0.39550232887268066,1.0,0.2591003477573395,0.23916715383529663
linebacker,0.15475627779960632,0.28596732020378113,0.4219481945037842,0.13520534336566925,0.24688376486301422,0.309945672750473,0.22480759024620056,0.27528053522109985,0.20977157354354858,0.44545871019363403,0.15540370345115662
with,0.2464839518070221,0.1518537551164627,0.18353787064552307,0.25472134351730347,0.21464984118938446,0.2415807843208313,0.4080928862094879,0.40387406945228577,0.3783375024795532,0.15822981297969818,0.2433311939239502
the,0.42745697498321533,0.21959073841571808,0.21576224267482758,0.34736719727516174,0.21485848724842072,0.24793598055839539,0.6662389636039734,0.48381632566452026,0.5829201340675354,0.19900773465633392,0.22068053483963013
chicago,0.1521448791027069,0.11570389568805695,0.18324002623558044,0.1900576800107956,0.237662211060524,0.2157338410615921,0.23921214044094086,0.16836167871952057,0.17899899184703827,0.16648049652576447,0.16446958482265472
bears,0.19530993700027466,0.22805571556091309,0.3094787001609802,0.18967753648757935,0.11972317844629288,0.19438229501247406,0.21073439717292786,0.21082955598831177,0.19761694967746735,0.14146700501441956,0.13283714652061462
in,0.30808621644973755,0.18576006591320038,0.17236235737800598,0.2593238651752472,0.2068725824356079,0.24321173131465912,1.0,0.3887844979763031,0.539380669593811,0.1851271539926529,0.20430970191955566
super,0.13651713728904724,1.0000001192092896,0.4848237931728363,0.16038043797016144,0.16309233009815216,0.17709366977214813,0.18576006591320038,0.21450649201869965,0.26005712151527405,0.19942335784435272,0.166326642036438
bowl,0.15942467749118805,0.4848237931728363,1.0,0.18569406867027283,0.13566109538078308,0.19427603483200073,0.17236235737800598,0.14539222419261932,0.19533146917819977,0.1651131808757782,0.21118052303791046
xx,0.05625376105308533,0.31983134150505066,0.29072365164756775,0.06287450343370438,0.09212981909513474,0.0042221988551318645,0.19526483118534088,0.13316188752651215,0.16178521513938904,0.033170171082019806,0.11678656935691833
",",0.3087472915649414,0.22322475910186768,0.1810409277677536,0.3015086054801941,0.31991347670555115,0.2231253683567047,0.5201468467712402,0.48816442489624023,0.427140474319458,0.25826331973075867,0.31091248989105225
and,0.31309178471565247,0.18368244171142578,0.1698254644870758,0.34479495882987976,0.25707077980041504,0.25634777545928955,0.4954058527946472,0.49487000703811646,0.3739250600337982,0.22685286402702332,0.20544172823429108
kubiak,0.10377798974514008,0.2177102267742157,0.21843846142292023,0.1598021686077118,0.4018152058124542,0.18532447516918182,0.1927659809589386,0.1885330080986023,0.18171140551567078,0.3179028034210205,0.15975911915302277
