,the,church,holds,that,they,are,equally,bound,to,respect,the,sacredness,of,the,life,and,well-being,of,whom,?
the,1.0,0.23846197128295898,0.28190866112709045,0.5473989248275757,0.49925389885902405,0.40399202704429626,0.25614944100379944,0.27465125918388367,0.535392165184021,0.2571326196193695,1.0,0.28851261734962463,0.733189046382904,1.0,0.23528170585632324,0.5171257257461548,0.4274795949459076,0.733189046382904,0.23752936720848083,0.22068053483963013
church,0.23846197128295898,0.9999999403953552,0.157379150390625,0.18300943076610565,0.18669813871383667,0.16039738059043884,0.1768171489238739,0.17003288865089417,0.24439501762390137,0.19407080113887787,0.23846197128295898,0.27049392461776733,0.3079429268836975,0.23846197128295898,0.14609260857105255,0.1976170688867569,0.23899182677268982,0.3079429268836975,0.19075725972652435,0.18081501126289368
also,0.6021018624305725,0.21634946763515472,0.2579821050167084,0.6005857586860657,0.5272021293640137,0.4565894305706024,0.3518463373184204,0.23635654151439667,0.5348826050758362,0.3091942071914673,0.6021018624305725,0.3365475833415985,0.4924938678741455,0.6021018624305725,0.18713383376598358,0.5755972862243652,0.45727840065956116,0.4924938678741455,0.30007505416870117,0.21848613023757935
holds,0.28190866112709045,0.157379150390625,1.0000001192092896,0.24587330222129822,0.15837006270885468,0.22953253984451294,0.20373040437698364,0.1670059859752655,0.1390777975320816,0.17772842943668365,0.28190866112709045,0.17788854241371155,0.2644946873188019,0.28190866112709045,0.09946155548095703,0.2242596447467804,0.2026432901620865,0.2644946873188019,0.17983046174049377,0.11379207670688629
that,0.5473989248275757,0.18300943076610565,0.24587330222129822,1.0,0.5710820555686951,0.45265161991119385,0.4427568018436432,0.2574479877948761,0.5436353087425232,0.349463552236557,0.5473989248275757,0.3425263464450836,0.41498205065727234,0.5473989248275757,0.2885509729385376,0.4731321930885315,0.4004075825214386,0.41498205065727234,0.3278515338897705,0.32716336846351624
they,0.49925389885902405,0.18669813871383667,0.15837006270885468,0.5710820555686951,0.9999999403953552,0.610666811466217,0.34739255905151367,0.2844802439212799,0.5452046394348145,0.2981910705566406,0.49925389885902405,0.29044026136398315,0.3426007330417633,0.49925389885902405,0.23884065449237823,0.5073080658912659,0.328255295753479,0.3426007330417633,0.3403101861476898,0.2753053903579712
``,0.029072100296616554,0.038532305508852005,0.015036399476230145,0.05285148695111275,0.0819322019815445,0.12624181807041168,0.1822592169046402,-0.05950768664479256,0.06720756739377975,0.1071048155426979,0.029072100296616554,0.05354256182909012,0.06780257821083069,0.029072100296616554,0.020149845629930496,0.036644238978624344,-0.06488930433988571,0.06780257821083069,0.08975642174482346,0.0685480609536171
are,0.40399202704429626,0.16039738059043884,0.22953253984451294,0.45265161991119385,0.610666811466217,1.0,0.41497212648391724,0.25661301612854004,0.3504326641559601,0.23922193050384521,0.40399202704429626,0.30608442425727844,0.39081433415412903,0.40399202704429626,0.194062277674675,0.48576638102531433,0.32859495282173157,0.39081433415412903,0.17908456921577454,0.24591213464736938
equally,0.25614944100379944,0.1768171489238739,0.20373040437698364,0.4427568018436432,0.34739255905151367,0.41497212648391724,1.0,0.2235848605632782,0.3164912164211273,0.4705408811569214,0.25614944100379944,0.2865423560142517,0.262323796749115,0.25614944100379944,0.18802262842655182,0.33513185381889343,0.39014968276023865,0.262323796749115,0.3364753723144531,0.22503766417503357
bound,0.27465125918388367,0.17003288865089417,0.1670059859752655,0.2574479877948761,0.2844802439212799,0.25661301612854004,0.2235848605632782,0.9999998807907104,0.29917120933532715,0.23986679315567017,0.27465125918388367,0.18412309885025024,0.23408229649066925,0.27465125918388367,0.16444016993045807,0.27447953820228577,0.20591187477111816,0.23408229649066925,0.10753819346427917,0.12182208895683289
