,what,is,one,tradition,within,the,christian,church,?
the,0.42745697498321533,0.5823672413825989,0.5514441132545471,0.2632053792476654,0.39827480912208557,1.0,0.19930796325206757,0.23846197128295898,0.22068053483963013
united,0.20036718249320984,0.22408509254455566,0.28796783089637756,0.13510452210903168,0.24872973561286926,0.34367692470550537,0.17728173732757568,0.19284281134605408,0.17266890406608582
methodist,0.17637217044830322,0.14683330059051514,0.15058772265911102,0.3004116415977478,0.2349887490272522,0.21922016143798828,0.514773428440094,0.6119816899299622,0.1436992734670639
church,0.1944202184677124,0.203276589512825,0.15520724654197693,0.3398995101451874,0.17566072940826416,0.23846197128295898,0.4306148588657379,0.9999999403953552,0.18081501126289368
is,0.28837618231773376,1.0,0.4544198513031006,0.2601749897003174,0.30135563015937805,0.5823672413825989,0.1473853588104248,0.203276589512825,0.22961433231830597
one,0.376489520072937,0.4544198513031006,1.0000001192092896,0.25289392471313477,0.30873414874076843,0.5514441132545471,0.1878010630607605,0.15520724654197693,0.2673267424106598
tradition,0.24046438932418823,0.2601749897003174,0.25289392471313477,0.9999998807907104,0.1453016698360443,0.2632053792476654,0.38939347863197327,0.3398995101451874,0.15717756748199463
within,0.2498195916414261,0.30135563015937805,0.30873414874076843,0.1453016698360443,1.0,0.39827480912208557,0.16314832866191864,0.17566072940826416,0.1870293766260147
the,0.42745697498321533,0.5823672413825989,0.5514441132545471,0.2632053792476654,0.39827480912208557,1.0,0.19930796325206757,0.23846197128295898,0.22068053483963013
christian,0.17849333584308624,0.1473853588104248,0.1878010630607605,0.38939347863197327,0.16314832866191864,0.19930796325206757,1.0,0.4306148588657379,0.1508396863937378
church,0.1944202184677124,0.203276589512825,0.15520724654197693,0.3398995101451874,0.17566072940826416,0.23846197128295898,0.4306148588657379,0.9999999403953552,0.18081501126289368
.,0.3567904531955719,0.4569662809371948,0.4123194217681885,0.18545886874198914,0.2984525263309479,0.5934505462646484,0.2474701702594757,0.28898224234580994,0.4130953550338745
