,who,confirmed,watt,'s,discovery,of,latent,heat,?
watt,0.22992701828479767,0.0452238991856575,1.0,-0.022533712908625603,0.10659825801849365,0.21599632501602173,0.1742551624774933,0.2662805914878845,0.16354146599769592
independently,0.2816416323184967,0.28748154640197754,0.1836942732334137,-0.044113337993621826,0.2503868043422699,0.2837311625480652,0.27025631070137024,0.18284912407398224,0.1474725753068924
discovered,0.2225436121225357,0.3847537338733673,0.13392063975334167,-0.08296903222799301,0.7555883526802063,0.22074753046035767,0.3084366023540497,0.09586237370967865,0.08452875912189484
latent,0.1749754399061203,0.24184322357177734,0.1742551624774933,-0.009027678519487381,0.33056995272636414,0.2918458580970764,0.9999998807907104,0.4026466906070709,0.125272735953331
heat,0.1308601349592209,0.07347820699214935,0.2662805914878845,0.05812746658921242,0.08385347574949265,0.19590096175670624,0.4026466906070709,1.0,0.16343188285827637
",",0.3365725874900818,0.18906112015247345,0.18948227167129517,-0.0016132977325469255,0.1846623718738556,0.4946078956127167,0.2686188220977783,0.25331911444664,0.31091248989105225
which,0.3688730001449585,0.21503883600234985,0.17675113677978516,0.03856118768453598,0.2667080760002136,0.5011631846427917,0.38726675510406494,0.28304964303970337,0.25814583897590637
was,0.3318818509578705,0.29274246096611023,0.20568017661571503,0.008974763564765453,0.2267063707113266,0.4069072902202606,0.16956856846809387,0.17687295377254486,0.18412111699581146
confirmed,0.22889703512191772,1.0000001192092896,0.0452238991856575,-0.08550186455249786,0.3332379162311554,0.24135258793830872,0.24184322357177734,0.07347820699214935,0.20580808818340302
by,0.39727845788002014,0.2710781991481781,0.17395760118961334,-0.010884488001465797,0.1677863895893097,0.3646814823150635,0.27285054326057434,0.18109887838363647,0.17966607213020325
the,0.3733934462070465,0.2951974868774414,0.1903349757194519,-0.01540423184633255,0.29877567291259766,0.733189046382904,0.2841866612434387,0.2556036710739136,0.22068053483963013
original,0.1785319596529007,0.2144802063703537,0.08895597606897354,0.0564689077436924,0.20216324925422668,0.30228546261787415,0.14803540706634521,0.16943272948265076,0.17256900668144226
discoverer,0.21377472579479218,0.32939445972442627,0.1693008542060852,-0.09632916003465652,0.7659270167350769,0.21151120960712433,0.3270590305328369,0.10527762025594711,0.13923315703868866
joseph,0.24207964539527893,0.11231766641139984,0.176186665892601,0.07943470776081085,0.2359236180782318,0.20551647245883942,0.16026833653450012,0.17597730457782745,0.08421234786510468
black,0.22539480030536652,0.0894332006573677,0.1349106878042221,0.07187972962856293,0.09718573093414307,0.23966942727565765,0.18530240654945374,0.21635664999485016,0.15159966051578522
",",0.3365725874900818,0.18906112015247345,0.18948227167129517,-0.0016132977325469255,0.1846623718738556,0.4946078956127167,0.2686188220977783,0.25331911444664,0.31091248989105225
who,0.9999998807907104,0.22889703512191772,0.22992701828479767,0.05599616840481758,0.10811291635036469,0.2827862501144409,0.1749754399061203,0.1308601349592209,0.26220351457595825
also,0.47919341921806335,0.20000174641609192,0.19170215725898743,-0.0014726108638569713,0.18572553992271423,0.4924938678741455,0.30266186594963074,0.2632127106189728,0.21848613023757935
advised,0.3396371603012085,0.2904931902885437,0.14751595258712769,-0.10456548631191254,0.15134075284004211,0.25745081901550293,0.19897134602069855,0.128549262881279,0.18871766328811646
watt,0.22992701828479767,0.0452238991856575,1.0,-0.022533712908625603,0.10659825801849365,0.21599632501602173,0.1742551624774933,0.2662805914878845,0.16354146599769592
on,0.2340552806854248,0.2786523103713989,0.14423085749149323,0.0026888418942689896,0.2240419238805771,0.3966929316520691,0.21239732205867767,0.19577325880527496,0.2714994251728058
experimental,0.20474687218666077,0.16870203614234924,0.22851048409938812,-0.011420031078159809,0.2651630938053131,0.2088514268398285,0.33672553300857544,0.21476121246814728,0.14400577545166016
procedures,0.2617512047290802,0.16965016722679138,0.14850443601608276,-0.01679321564733982,0.21450649201869965,0.21479301154613495,0.34274038672447205,0.19567739963531494,0.2716922461986542
.,0.3541337847709656,0.21654154360294342,0.25756895542144775,-0.003708066651597619,0.21991804242134094,0.5352458953857422,0.24407431483268738,0.27046459913253784,0.4130953550338745
