,what,right,do,private,schools,have,that,public,schools,do,n't,?
private,0.16778090596199036,0.17115983366966248,0.15537725389003754,1.0,0.4158569872379303,0.1496797353029251,0.20570282638072968,0.5126727223396301,0.4158569872379303,0.15537725389003754,-0.045714832842350006,0.14389030635356903
schools,0.1820785105228424,0.14779479801654816,0.19505831599235535,0.4158569872379303,1.0,0.26828762888908386,0.2649109661579132,0.4260808527469635,1.0,0.19505831599235535,0.015892207622528076,0.18349280953407288
",",0.3087472915649414,0.24165019392967224,0.3283645510673523,0.1899166703224182,0.2760516405105591,0.3541618287563324,0.4137537479400635,0.2588968276977539,0.2760516405105591,0.3283645510673523,0.11016341298818588,0.31091248989105225
also,0.42747777700424194,0.2222057282924652,0.36242780089378357,0.23910270631313324,0.3129073679447174,0.5252172946929932,0.6005857586860657,0.3308127224445343,0.3129073679447174,0.36242780089378357,-0.10123322159051895,0.21848613023757935
known,0.20381177961826324,0.1247800886631012,0.23082251846790314,0.13440756499767303,0.11933183670043945,0.1978331357240677,0.20813259482383728,0.20257171988487244,0.11933183670043945,0.23082251846790314,0.03035847842693329,0.18314571678638458
as,0.31749409437179565,0.2408553808927536,0.38329678773880005,0.22101859748363495,0.21233005821704865,0.37788212299346924,0.4735107421875,0.2423635572195053,0.21233005821704865,0.38329678773880005,-0.08284513652324677,0.27043893933296204
independent,0.28752967715263367,0.12316323071718216,0.20670229196548462,0.21767279505729675,0.22231550514698029,0.20922285318374634,0.24654069542884827,0.18384557962417603,0.22231550514698029,0.20670229196548462,-0.022002173587679863,0.11902587860822678
schools,0.1820785105228424,0.14779479801654816,0.19505831599235535,0.4158569872379303,1.0,0.26828762888908386,0.2649109661579132,0.4260808527469635,1.0,0.19505831599235535,0.015892207622528076,0.18349280953407288
",",0.3087472915649414,0.24165019392967224,0.3283645510673523,0.1899166703224182,0.2760516405105591,0.3541618287563324,0.4137537479400635,0.2588968276977539,0.2760516405105591,0.3283645510673523,0.11016341298818588,0.31091248989105225
non-governmental,0.22915460169315338,0.2018478512763977,0.19661012291908264,0.32090720534324646,0.3469877243041992,0.24665652215480804,0.27752166986465454,0.4151158034801483,0.3469877243041992,0.19661012291908264,0.09215492755174637,0.2302026003599167
",",0.3087472915649414,0.24165019392967224,0.3283645510673523,0.1899166703224182,0.2760516405105591,0.3541618287563324,0.4137537479400635,0.2588968276977539,0.2760516405105591,0.3283645510673523,0.11016341298818588,0.31091248989105225
or,0.33867141604423523,0.24840670824050903,0.39439281821250916,0.21888144314289093,0.23524631559848785,0.46389055252075195,0.4729836881160736,0.23869332671165466,0.23524631559848785,0.39439281821250916,-0.056045327335596085,0.32389625906944275
nonstate,0.22288276255130768,0.20555470883846283,0.2676701843738556,0.2977983057498932,0.2588921785354614,0.27121594548225403,0.2683424949645996,0.3310493230819702,0.2588921785354614,0.2676701843738556,0.07735518366098404,0.2595658004283905
schools,0.1820785105228424,0.14779479801654816,0.19505831599235535,0.4158569872379303,1.0,0.26828762888908386,0.2649109661579132,0.4260808527469635,1.0,0.19505831599235535,0.015892207622528076,0.18349280953407288
",",0.3087472915649414,0.24165019392967224,0.3283645510673523,0.1899166703224182,0.2760516405105591,0.3541618287563324,0.4137537479400635,0.2588968276977539,0.2760516405105591,0.3283645510673523,0.11016341298818588,0.31091248989105225
are,0.29724663496017456,0.21829961240291595,0.41111594438552856,0.1694057136774063,0.30816179513931274,0.6577680706977844,0.45265161991119385,0.18111367523670197,0.30816179513931274,0.41111594438552856,-0.1517762839794159,0.24591213464736938
not,0.5449194312095642,0.3370451331138611,0.6619802713394165,0.181801438331604,0.2299577295780182,0.5619372129440308,0.6600887179374695,0.20537999272346497,0.2299577295780182,0.6619802713394165,-0.11552248895168304,0.41942933201789856
administered,0.22505685687065125,0.18337492644786835,0.18578679859638214,0.23204773664474487,0.22404460608959198,0.20380911231040955,0.23851057887077332,0.20379216969013214,0.22404460608959198,0.18578679859638214,0.007745455019176006,0.11263694614171982
by,0.2455483376979828,0.1945604532957077,0.1481526494026184,0.18554414808750153,0.1415957361459732,0.3359639644622803,0.37496164441108704,0.23323717713356018,0.1415957361459732,0.1481526494026184,-0.025093624368309975,0.17966607213020325
local,0.18981902301311493,0.0605815127491951,0.18505971133708954,0.22325782477855682,0.22340239584445953,0.21113677322864532,0.22915975749492645,0.2536151707172394,0.22340239584445953,0.18505971133708954,-0.06806083768606186,0.15022775530815125
