,tesla,'s,induction,motor,and,transformer,was,licensed,by,whom,?
his,0.1580733060836792,0.047556519508361816,0.22258560359477997,0.18394465744495392,0.4234102666378021,0.15243181586265564,0.4405253231525421,0.14589792490005493,0.3107621967792511,0.38462314009666443,0.18075084686279297
patented,0.35220110416412354,-0.001778545556589961,0.30430975556373596,0.24448056519031525,0.126961812376976,0.24568776786327362,0.20634464919567108,0.35462290048599243,0.28550076484680176,0.1448868364095688,0.08803384751081467
ac,0.31766265630722046,0.040544040501117706,0.26618337631225586,0.2673928141593933,0.08613406121730804,0.1737867146730423,0.16263911128044128,0.14847780764102936,0.1186637356877327,0.1085524708032608,0.19071458280086517
induction,0.3487966060638428,-0.0047057378105819225,1.0,0.3147507905960083,0.1685180962085724,0.40262383222579956,0.1620527058839798,0.1860130876302719,0.21894817054271698,0.05398869141936302,0.1510571390390396
motor,0.3617369830608368,0.061700910329818726,0.3147507905960083,0.9999999403953552,0.20162664353847504,0.23594403266906738,0.20476558804512024,0.21362216770648956,0.16861656308174133,0.07294847816228867,0.0637441948056221
and,0.19560420513153076,0.06895173341035843,0.1685180962085724,0.20162664353847504,1.0,0.26012691855430603,0.3740963041782379,0.19729462265968323,0.4289871156215668,0.3148667514324188,0.20544172823429108
transformer,0.2919376790523529,0.007934041321277618,0.40262383222579956,0.23594403266906738,0.26012691855430603,1.0,0.18196414411067963,0.2034793645143509,0.2654814124107361,0.12282305955886841,0.10542736202478409
were,0.1222306564450264,0.007088581565767527,0.09912467002868652,0.10392272472381592,0.42175528407096863,0.11228878796100616,0.590133786201477,0.1927478313446045,0.4406847059726715,0.27088287472724915,0.17890112102031708
licensed,0.18274587392807007,0.008437035605311394,0.1860130876302719,0.21362216770648956,0.19729462265968323,0.2034793645143509,0.2002338171005249,0.9999999403953552,0.213125541806221,0.18688300251960754,0.16613826155662537
by,0.16513796150684357,-0.010884488001465797,0.21894817054271698,0.16861656308174133,0.4289871156215668,0.2654814124107361,0.4752357602119446,0.213125541806221,1.0000001192092896,0.28481900691986084,0.17966607213020325
george,0.1784614771604538,-0.019076833501458168,0.08811638504266739,0.0979684591293335,0.22245058417320251,0.15208090841770172,0.2601471245288849,0.14775675535202026,0.22194799780845642,0.2059469372034073,0.1479024887084961
westinghouse,0.35764777660369873,-0.008012998849153519,0.3256383240222931,0.3054238557815552,0.2865493595600128,0.3070892095565796,0.30702054500579834,0.3417242169380188,0.2823614776134491,0.12681549787521362,0.17307911813259125
",",0.20599327981472015,-0.0016132977325469255,0.1864306777715683,0.16592276096343994,0.6633074283599854,0.23363947868347168,0.45456063747406006,0.20353545248508453,0.3680937886238098,0.25587570667266846,0.31091248989105225
who,0.1520961970090866,0.05599616840481758,0.1360868364572525,0.1466689109802246,0.41279885172843933,0.26836028695106506,0.3318818509578705,0.2322901040315628,0.39727845788002014,0.6214004158973694,0.26220351457595825
also,0.16213464736938477,-0.0014726108638569713,0.2429909110069275,0.24788890779018402,0.5755972862243652,0.2671712040901184,0.4032125174999237,0.25513955950737,0.3824189305305481,0.30007505416870117,0.21848613023757935
hired,0.15152283012866974,-0.030750012025237083,0.11356659233570099,0.1490972638130188,0.2731825113296509,0.17067305743694305,0.3013991713523865,0.2535930275917053,0.2718183696269989,0.28965088725090027,0.1434362679719925
tesla,0.9999999403953552,0.06449045985937119,0.3487966060638428,0.3617369830608368,0.19560420513153076,0.2919376790523529,0.16455206274986267,0.18274587392807007,0.16513796150684357,0.08830016106367111,0.10250775516033173
for,0.13983871042728424,-0.07241261005401611,0.22771959006786346,0.19755128026008606,0.5064792633056641,0.23024995625019073,0.3863949179649353,0.21432839334011078,0.3248702883720398,0.24361787736415863,0.264628142118454
a,0.2211925983428955,0.04866964742541313,0.2805170714855194,0.23198452591896057,0.3739250600337982,0.26622265577316284,0.4508470594882965,0.14556461572647095,0.32094135880470276,0.21455949544906616,0.23916715383529663
short,0.1497827023267746,0.08013956993818283,0.1332125961780548,0.1351374387741089,0.2875099778175354,0.11159228533506393,0.20147566497325897,0.17637313902378082,0.18287886679172516,0.09464415907859802,0.16194626688957214
time,0.14928559958934784,0.01301188487559557,0.15572723746299744,0.12816794216632843,0.3025408685207367,0.17363114655017853,0.3641340136528015,0.1913030743598938,0.26502725481987,0.24401091039180756,0.27391523122787476
as,0.10285310447216034,-0.05775856226682663,0.15738743543624878,0.1736621856689453,0.49487000703811646,0.22532984614372253,0.3677520453929901,0.2461780309677124,0.3815547823905945,0.31695985794067383,0.27043893933296204
a,0.2211925983428955,0.04866964742541313,0.2805170714855194,0.23198452591896057,0.3739250600337982,0.26622265577316284,0.4508470594882965,0.14556461572647095,0.32094135880470276,0.21455949544906616,0.23916715383529663
consultant,0.2050866335630417,0.04430541768670082,0.22915782034397125,0.26621952652931213,0.3397461175918579,0.2670591473579407,0.29380151629447937,0.31207355856895447,0.17767095565795898,0.22695328295230865,0.1217312291264534
.,0.17949827015399933,-0.003708066651597619,0.20635078847408295,0.19128412008285522,0.588965117931366,0.22646240890026093,0.40146201848983765,0.21411098539829254,0.3936232924461365,0.26115289330482483,0.4130953550338745
