,who,was,a,man,studying,medicinal,applicants,of,plants,in,ancient,greece,?
in,0.2792111933231354,0.45514053106307983,0.539380669593811,0.19554144144058228,0.32655033469200134,0.2592170536518097,0.23373262584209442,0.5696388483047485,0.2697395086288452,1.0,0.27350422739982605,0.2542813718318939,0.20430970191955566
ancient,0.17960447072982788,0.244222030043602,0.2069382220506668,0.1711256057024002,0.25498002767562866,0.31144294142723083,0.12138129025697708,0.3361112177371979,0.23762787878513336,0.27350422739982605,1.0,0.5357370376586914,0.12938068807125092
greece,0.1657872349023819,0.19242052733898163,0.17130877077579498,0.1362350583076477,0.1145702674984932,0.29646050930023193,0.19257578253746033,0.28056496381759644,0.15010730922222137,0.2542813718318939,0.5357370376586914,1.0,0.10547919571399689
",",0.3365725874900818,0.45456063747406006,0.427140474319458,0.26654794812202454,0.28254297375679016,0.2807711958885193,0.23209139704704285,0.4946078956127167,0.2555769681930542,0.5201468467712402,0.2677067816257477,0.2827795445919037,0.31091248989105225
diocles,0.2811580002307892,0.27107691764831543,0.15450134873390198,0.18723589181900024,0.23519130051136017,0.27596887946128845,0.19430533051490784,0.3197108209133148,0.2785671055316925,0.21318279206752777,0.4253501892089844,0.42753177881240845,0.16253112256526947
of,0.2827862501144409,0.4069072902202606,0.5052502155303955,0.16490690410137177,0.2883101999759674,0.2978720963001251,0.2532283663749695,1.0,0.29386165738105774,0.5696388483047485,0.3361112177371979,0.28056496381759644,0.1826142966747284
carystus,0.3086322844028473,0.27022263407707214,0.298552006483078,0.33107295632362366,0.17857420444488525,0.3667185306549072,0.16194789111614227,0.2541155219078064,0.31941649317741394,0.2596924602985382,0.35012537240982056,0.2881580889225006,0.23948954045772552
(,0.2443375140428543,0.2980341613292694,0.3206180930137634,0.2344263195991516,0.12776194512844086,0.2162024825811386,0.11143133789300919,0.35032153129577637,0.18415141105651855,0.3087427020072937,0.14829392731189728,0.1606726497411728,0.40561532974243164
4th,0.050002146512269974,0.15619179606437683,0.13758724927902222,0.09703171253204346,0.05034956336021423,0.125728040933609,0.037093598395586014,0.1116921603679657,0.14174826443195343,0.12181311845779419,0.13154897093772888,0.0735463947057724,-0.03815381973981857
century,0.2990973889827728,0.3521432876586914,0.19417014718055725,0.17401719093322754,0.21010445058345795,0.1938093900680542,0.1221478059887886,0.2826060354709625,0.15828005969524384,0.3174034655094147,0.32678043842315674,0.24636463820934296,0.1026201918721199
bc,0.17401666939258575,0.18112368881702423,0.17231819033622742,0.1446058601140976,0.12985238432884216,0.22560983896255493,0.09906725585460663,0.2062062919139862,0.15310804545879364,0.22521845996379852,0.4929903447628021,0.4745231866836548,0.1382298320531845
),0.2457384318113327,0.3267642855644226,0.3640355169773102,0.25566503405570984,0.15034015476703644,0.20799270272254944,0.10958538204431534,0.3680361211299896,0.17061775922775269,0.3326910734176636,0.1659735143184662,0.16520720720291138,0.42300865054130554
was,0.3318818509578705,1.0000001192092896,0.4508470594882965,0.3030987083911896,0.24193638563156128,0.1331373006105423,0.18886452913284302,0.4069072902202606,0.14239555597305298,0.45514053106307983,0.244222030043602,0.19242052733898163,0.18412111699581146
one,0.40083858370780945,0.3752199709415436,0.4910551905632019,0.28826990723609924,0.24834801256656647,0.1712130606174469,0.23567622900009155,0.4999135136604309,0.19641777873039246,0.4129433035850525,0.264198362827301,0.1818234920501709,0.2673267424106598
of,0.2827862501144409,0.4069072902202606,0.5052502155303955,0.16490690410137177,0.2883101999759674,0.2978720963001251,0.2532283663749695,1.0,0.29386165738105774,0.5696388483047485,0.3361112177371979,0.28056496381759644,0.1826142966747284
several,0.30628830194473267,0.25396689772605896,0.29992109537124634,0.19385671615600586,0.2079756110906601,0.21034717559814453,0.22229935228824615,0.3271615505218506,0.2427416294813156,0.39405709505081177,0.20284594595432281,0.16084764897823334,0.15595775842666626
men,0.3380306363105774,0.24763761460781097,0.18371513485908508,0.4323333203792572,0.09727925062179565,0.11196194589138031,0.20040808618068695,0.2133621722459793,0.1534632295370102,0.27064284682273865,0.16393795609474182,0.21135163307189941,0.1408759206533432
studying,0.24313008785247803,0.24193638563156128,0.28715598583221436,0.11337790638208389,1.0,0.266474187374115,0.2141808569431305,0.2883101999759674,0.22362850606441498,0.32655033469200134,0.25498002767562866,0.1145702674984932,0.14438828825950623
the,0.3733934462070465,0.48711544275283813,0.5829201340675354,0.23171134293079376,0.24704718589782715,0.23506484925746918,0.26014283299446106,0.733189046382904,0.29499560594558716,0.6662389636039734,0.28808021545410156,0.26573094725608826,0.22068053483963013
medicinal,0.1643369495868683,0.1331373006105423,0.19549353420734406,0.15786822140216827,0.266474187374115,1.0,0.28090208768844604,0.2978720963001251,0.5000372529029846,0.2592170536518097,0.31144294142723083,0.29646050930023193,0.1704532355070114
properties,0.126256063580513,0.14832323789596558,0.21527832746505737,0.06010550633072853,0.2278875708580017,0.37104013562202454,0.3173951804637909,0.2832101881504059,0.3385651111602783,0.19315902888774872,0.20573653280735016,0.09420593082904816,0.12601029872894287
of,0.2827862501144409,0.4069072902202606,0.5052502155303955,0.16490690410137177,0.2883101999759674,0.2978720963001251,0.2532283663749695,1.0,0.29386165738105774,0.5696388483047485,0.3361112177371979,0.28056496381759644,0.1826142966747284
plants,0.20994114875793457,0.14239555597305298,0.21329157054424286,0.22395378351211548,0.22362850606441498,0.5000372529029846,0.27065882086753845,0.29386165738105774,1.0,0.2697395086288452,0.23762787878513336,0.15010730922222137,0.1473488062620163
.,0.3541337847709656,0.40146201848983765,0.50484299659729,0.27014487981796265,0.2383679449558258,0.2708299458026886,0.2528756260871887,0.5352458953857422,0.2542511522769928,0.5591574311256409,0.25280675292015076,0.30813056230545044,0.4130953550338745
