,what,researcher,showed,that,air,is,a,necessity,for,combustion,?
in,0.30808621644973755,0.25031137466430664,0.3178827166557312,0.435920387506485,0.22172939777374268,0.5394441485404968,0.539380669593811,0.2330874502658844,0.4322226941585541,0.2270977944135666,0.20430970191955566
the,0.42745697498321533,0.232890784740448,0.3101346790790558,0.5473989248275757,0.2877824306488037,0.5823672413825989,0.5829201340675354,0.303897887468338,0.4739971458911896,0.2447446882724762,0.22068053483963013
late,0.1576872020959854,0.2267109900712967,0.2284676730632782,0.2700948715209961,0.13816989958286285,0.20186106860637665,0.22989967465400696,0.1242859810590744,0.2018979787826538,0.1299075037240982,0.11339222639799118
17th,0.15649843215942383,0.024419687688350677,0.14783678948879242,0.17458629608154297,0.14960075914859772,0.27897515892982483,0.18620461225509644,0.12360704690217972,0.17372846603393555,0.0861886739730835,0.096589595079422
century,0.20422613620758057,0.19585983455181122,0.21777160465717316,0.24900858104228973,0.14590336382389069,0.20648397505283356,0.19417014718055725,0.13950130343437195,0.18660898506641388,0.2247992902994156,0.1026201918721199
",",0.3087472915649414,0.3261716365814209,0.2312069833278656,0.4137537479400635,0.24731357395648956,0.4691906273365021,0.427140474319458,0.22503334283828735,0.4464869201183319,0.2079315334558487,0.31091248989105225
robert,0.1948658525943756,0.17040136456489563,0.2125355452299118,0.17482081055641174,0.10352633148431778,0.16191203892230988,0.2100449502468109,0.14218799769878387,0.19542941451072693,0.18419405817985535,0.11293095350265503
boyle,0.19232483208179474,0.3381325304508209,0.20893822610378265,0.18404622375965118,0.12672924995422363,0.2503202259540558,0.18831996619701385,0.13353843986988068,0.1923600435256958,0.21065305173397064,0.1254223883152008
proved,0.23704653978347778,0.2884528338909149,0.46917420625686646,0.3849233388900757,0.13091477751731873,0.16634024679660797,0.252265989780426,0.27313169836997986,0.22118917107582092,0.2539414167404175,0.1678566187620163
that,0.6297725439071655,0.30623772740364075,0.3511183559894562,1.0,0.19720019400119781,0.3995479643344879,0.47537946701049805,0.41026628017425537,0.4137635827064514,0.30958232283592224,0.32716336846351624
air,0.10361403971910477,0.09403039515018463,0.1607798933982849,0.19720019400119781,1.0000001192092896,0.2280944287776947,0.23199330270290375,0.17622129619121552,0.15818573534488678,0.3806820511817932,0.1491677612066269
is,0.28837618231773376,0.25118184089660645,0.1980302482843399,0.3995479643344879,0.2280944287776947,1.0,0.658733606338501,0.22375617921352386,0.43268078565597534,0.27011600136756897,0.22961433231830597
necessary,0.3794087767601013,0.14989492297172546,0.18723303079605103,0.430902898311615,0.1604512333869934,0.23441283404827118,0.2920435667037964,0.621831476688385,0.39725369215011597,0.27206405997276306,0.3430270850658417
for,0.3017193675041199,0.26281508803367615,0.27973151206970215,0.4137635827064514,0.15818573534488678,0.43268078565597534,0.44038116931915283,0.31165000796318054,0.9999999403953552,0.23782002925872803,0.264628142118454
combustion,0.2678600549697876,0.16755901277065277,0.20321166515350342,0.30958232283592224,0.3806820511817932,0.27011600136756897,0.3238258957862854,0.33669909834861755,0.23782002925872803,1.0,0.2177530825138092
.,0.3567904531955719,0.2649393081665039,0.28805166482925415,0.4460422694683075,0.2759295105934143,0.4569662809371948,0.50484299659729,0.19882655143737793,0.4726039469242096,0.2124136984348297,0.4130953550338745
