,what,protects,the,statocyst,?
the,0.42745697498321533,0.27843186259269714,1.0,0.30905142426490784,0.22068053483963013
statocyst,0.2704133987426758,0.32784390449523926,0.30905142426490784,0.9999999403953552,0.24412000179290771
is,0.28837618231773376,0.25626903772354126,0.5823672413825989,0.2843655049800873,0.22961433231830597
protected,0.22597423195838928,0.7334326505661011,0.23777265846729279,0.23236067593097687,0.2514227032661438
by,0.2455483376979828,0.18882420659065247,0.4408751428127289,0.19703668355941772,0.17966607213020325
a,0.3320399522781372,0.2248736321926117,0.5829201340675354,0.28908175230026245,0.23916715383529663
transparent,0.24275505542755127,0.30791571736335754,0.23603859543800354,0.3902827203273773,0.2256769835948944
dome,0.16917775571346283,0.16044411063194275,0.2665141522884369,0.2623310685157776,0.13345955312252045
made,0.23419176042079926,0.20940159261226654,0.3885267674922943,0.18769170343875885,0.17218779027462006
of,0.33290785551071167,0.2526929974555969,0.733189046382904,0.25228452682495117,0.1826142966747284
long,0.28276848793029785,0.2377929538488388,0.3075225353240967,0.2971225380897522,0.19699987769126892
",",0.3087472915649414,0.1929810643196106,0.4933079481124878,0.30963432788848877,0.31091248989105225
immobile,0.2503257095813751,0.2618698477745056,0.25655773282051086,0.4452705681324005,0.1331835836172104
cilia,0.17923450469970703,0.2683560848236084,0.18933437764644623,0.5168226957321167,0.15204964578151703
.,0.3567904531955719,0.2095157504081726,0.5934505462646484,0.3422413766384125,0.4130953550338745
