,what,type,of,lenses,were,needed,to,see,the,3d,effects,in,dimension,in,time,?
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.18884456157684326,0.3906462490558624,0.3064746856689453,0.535392165184021,0.3770301640033722,1.0,0.05584833770990372,0.25316479802131653,0.6662389636039734,0.17615877091884613,0.6662389636039734,0.43061500787734985,0.22068053483963013
special,0.24134232103824615,0.2735857367515564,0.27998968958854675,0.18288807570934296,0.2070464789867401,0.2572486102581024,0.28623831272125244,0.19277004897594452,0.3027077615261078,0.11358654499053955,0.26348695158958435,0.2897285223007202,0.17807435989379883,0.2897285223007202,0.20113401114940643,0.29623302817344666
was,0.22111038863658905,0.14348182082176208,0.4069072902202606,0.13696366548538208,0.590133786201477,0.227164626121521,0.3636345863342285,0.17335832118988037,0.48711544275283813,0.03670795261859894,0.18203017115592957,0.45514053106307983,0.1469825804233551,0.45514053106307983,0.3641340136528015,0.18412111699581146
one,0.376489520072937,0.2377735823392868,0.4999135136604309,0.2205137461423874,0.3453167676925659,0.33461472392082214,0.4025384783744812,0.359328031539917,0.5514441132545471,-0.009089956991374493,0.2370981127023697,0.4129433035850525,0.28542789816856384,0.4129433035850525,0.4878559708595276,0.2673267424106598
of,0.33290785551071167,0.18112817406654358,1.0,0.2134179323911667,0.34038281440734863,0.27215874195098877,0.41548454761505127,0.33962661027908325,0.733189046382904,0.04026421904563904,0.21244898438453674,0.5696388483047485,0.18594343960285187,0.5696388483047485,0.35127586126327515,0.1826142966747284
several,0.22446060180664062,0.13228869438171387,0.3271615505218506,0.2193644642829895,0.3978578448295593,0.23369081318378448,0.36196985840797424,0.24992801249027252,0.40559855103492737,0.013404503464698792,0.21469512581825256,0.39405709505081177,0.12224466353654861,0.39405709505081177,0.30116191506385803,0.15595775842666626
special,0.24134232103824615,0.2735857367515564,0.27998968958854675,0.18288807570934296,0.2070464789867401,0.2572486102581024,0.28623831272125244,0.19277004897594452,0.3027077615261078,0.11358654499053955,0.26348695158958435,0.2897285223007202,0.17807435989379883,0.2897285223007202,0.20113401114940643,0.29623302817344666
3d,-0.028964104130864143,0.0966433733701706,0.04026421904563904,0.18500371277332306,-0.05378232151269913,-0.10550431907176971,-0.04626362398266792,0.09380834549665451,0.05584833770990372,0.9999998807907104,-0.005309118889272213,0.029786530882120132,0.1354406327009201,0.029786530882120132,-0.10010577738285065,0.040244732052087784
programmes,0.22633221745491028,0.15309448540210724,0.1955287903547287,0.19069458544254303,0.19852466881275177,0.19198191165924072,0.23352041840553284,0.21545802056789398,0.24291597306728363,0.07428109645843506,0.22298701107501984,0.25503143668174744,0.20034679770469666,0.25503143668174744,0.2542301118373871,0.20130415260791779
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.18884456157684326,0.3906462490558624,0.3064746856689453,0.535392165184021,0.3770301640033722,1.0,0.05584833770990372,0.25316479802131653,0.6662389636039734,0.17615877091884613,0.6662389636039734,0.43061500787734985,0.22068053483963013
bbc,0.20634698867797852,0.09679944813251495,0.1797877550125122,0.19824306666851044,0.1384386122226715,0.17896908521652222,0.19421324133872986,0.2033168375492096,0.2735401690006256,0.11580590158700943,0.21424223482608795,0.22430340945720673,0.13556723296642303,0.22430340945720673,0.2386435568332672,0.20556949079036713
