,what,received,a,battering,during,the,siege,of,newcastle,?
many,0.36131182312965393,0.2257511019706726,0.2872205972671509,0.20023947954177856,0.3661181330680847,0.4335206151008606,0.1141083836555481,0.37253960967063904,0.17336907982826233,0.2124512493610382
key,0.2270265817642212,0.11276875436306,0.23475825786590576,0.17495886981487274,0.10840117186307907,0.2260027974843979,0.05642151087522507,0.24036972224712372,0.12209217250347137,0.18782930076122284
names,0.1840197592973709,0.05010897293686867,0.2065676897764206,0.13736796379089355,0.134494811296463,0.27965226769447327,0.0451359860599041,0.2515542805194855,0.020916450768709183,0.16607333719730377
associated,0.15836219489574432,0.13244883716106415,0.22056666016578674,0.12351612746715546,0.21692219376564026,0.2742886245250702,0.04239331930875778,0.3077163100242615,0.15729792416095734,0.1453326791524887
with,0.2464839518070221,0.1975138634443283,0.3783375024795532,0.265062153339386,0.28545209765434265,0.4223487675189972,0.12261176854372025,0.41827285289764404,0.1710812896490097,0.2433311939239502
newcastle,0.16276082396507263,0.2319048047065735,0.21405641734600067,0.17314739525318146,0.13816462457180023,0.2253497689962387,0.19645410776138306,0.18781472742557526,1.0000001192092896,0.0902252271771431
's,0.02692362666130066,-0.07378163188695908,0.04866964742541313,0.06338895112276077,0.011294117197394371,-0.01540423184633255,-0.011761966161429882,-0.03817026689648628,-0.017262522131204605,-0.023395681753754616
history,0.28630873560905457,0.20381857454776764,0.2123815417289734,0.17303840816020966,0.3088737428188324,0.33215048909187317,0.22838875651359558,0.31014925241470337,0.17092424631118774,0.2501974403858185
worshipped,0.23957374691963196,0.11405514180660248,0.1462382823228836,0.12453305721282959,0.1974550038576126,0.24580290913581848,0.14977893233299255,0.2646576464176178,0.15343953669071198,0.1998908668756485
and,0.31309178471565247,0.24762246012687683,0.3739250600337982,0.2815527319908142,0.36462149024009705,0.5171257257461548,0.1764419823884964,0.5116966962814331,0.20204751193523407,0.20544172823429108
were,0.22298263013362885,0.2693397104740143,0.17203083634376526,0.18613339960575104,0.4064035415649414,0.3906462490558624,0.21970319747924805,0.34038281440734863,0.19883129000663757,0.17890112102031708
buried,0.1688523143529892,0.18368257582187653,0.1884717345237732,0.09872757643461227,0.1872883290052414,0.22264255583286285,0.23709824681282043,0.2682875096797943,0.17180860042572021,0.18487362563610077
here,0.5220553874969482,0.1503600776195526,0.3427039682865143,0.24084556102752686,0.21257971227169037,0.37885698676109314,0.1764732450246811,0.29118096828460693,0.1668540984392166,0.5686008334159851
.,0.3567904531955719,0.25050681829452515,0.50484299659729,0.22047176957130432,0.3485563397407532,0.5934505462646484,0.13070990145206451,0.5352458953857422,0.2714749276638031,0.4130953550338745
