,what,is,consultant,pharmacy,mainly,concerned,with,?
consultant,0.18970462679862976,0.2284643054008484,0.9999998807907104,0.277064710855484,0.24031206965446472,0.33113178610801697,0.18532593548297882,0.1217312291264534
pharmacy,0.21638189256191254,0.16101746261119843,0.277064710855484,1.0,0.1474113017320633,0.21096420288085938,0.17199546098709106,0.1355620175600052
practice,0.2749895751476288,0.21584326028823853,0.2995511293411255,0.2685104310512543,0.2514511048793793,0.2917060852050781,0.21465755999088287,0.21386858820915222
focuses,0.27091580629348755,0.3330233693122864,0.2878103256225586,0.17760944366455078,0.30807390809059143,0.3774784207344055,0.25242915749549866,0.15887200832366943
more,0.3484537899494171,0.2946030795574188,0.18100981414318085,0.1321602463722229,0.30127081274986267,0.31570395827293396,0.3535402715206146,0.27894994616508484
on,0.34226128458976746,0.3635730445384979,0.22541119158267975,0.17541885375976562,0.37579700350761414,0.25189217925071716,0.40749499201774597,0.2714994251728058
medication,0.28847256302833557,0.2604193687438965,0.15712976455688477,0.46071192622184753,0.1874856799840927,0.2648518979549408,0.23143208026885986,0.2275196760892868
regimen,0.14216303825378418,0.12904250621795654,0.14932648837566376,0.14492492377758026,0.13350827991962433,0.18818163871765137,0.18356381356716156,0.121302030980587
review,0.27832862734794617,0.18014690279960632,0.2631080448627472,0.12823614478111267,0.09362390637397766,0.30995801091194153,0.13687945902347565,0.27187594771385193
(,0.2411840260028839,0.35393038392066956,0.22151628136634827,0.20144130289554596,0.18990056216716766,0.22119727730751038,0.29503780603408813,0.40561532974243164
i.e,0.06545200943946838,-0.04790802299976349,0.0910673439502716,-0.09825780242681503,-0.08047060668468475,0.12111358344554901,-0.06253166496753693,-0.00816641841083765
.,0.3567904531955719,0.4569662809371948,0.23353426158428192,0.23916830122470856,0.3128255009651184,0.2531110942363739,0.4446153938770294,0.4130953550338745
