,abc,continued,nbc,blue,'s,tradition,of,what,?
abc,1.0000001192092896,0.18273437023162842,0.63486248254776,0.20072442293167114,0.06670809537172318,0.1349012851715088,0.14607268571853638,0.1317344456911087,0.19065172970294952
became,0.14350707828998566,0.4610666334629059,0.19681501388549805,0.12913264334201813,0.0067522358149290085,0.22488348186016083,0.3638904094696045,0.1434093862771988,0.11374033987522125
an,0.16561369597911835,0.16240157186985016,0.17501957714557648,0.12627823650836945,0.025255560874938965,0.1610492765903473,0.32280945777893066,0.2821882665157318,0.19793890416622162
aggressive,0.12448973953723907,0.190071702003479,0.155014306306839,0.14724887907505035,0.10098192095756531,0.12486930191516876,0.18586541712284088,0.22621764242649078,0.16846291720867157
competitor,0.14130257070064545,0.19707690179347992,0.2796834707260132,0.09172144532203674,0.07061149179935455,0.09374519437551498,0.1353888213634491,0.14049206674098969,0.11364347487688065
to,0.1762417107820511,0.33327484130859375,0.14568616449832916,0.2423304319381714,0.03782717138528824,0.2571658790111542,0.41548454761505127,0.455847829580307,0.29463258385658264
nbc,0.63486248254776,0.21042901277542114,0.9999999403953552,0.16533015668392181,0.07915050536394119,0.15420955419540405,0.12012486904859543,0.1638578325510025,0.1680917739868164
and,0.16453155875205994,0.31388330459594727,0.1969573199748993,0.2053237110376358,0.06895173341035843,0.2593945562839508,0.5116966962814331,0.31309178471565247,0.20544172823429108
cbs,0.636570394039154,0.24672988057136536,0.7415741682052612,0.14397548139095306,0.1045214831829071,0.10329124331474304,0.16151919960975647,0.1950361132621765,0.14594407379627228
when,0.13294127583503723,0.25224193930625916,0.17437143623828888,0.26652413606643677,-0.03368149697780609,0.18042585253715515,0.3757161796092987,0.4700249433517456,0.22841128706932068
",",0.2097204476594925,0.2681589126586914,0.17508727312088013,0.23822021484375,-0.0016132977325469255,0.21810978651046753,0.4946078956127167,0.3087472915649414,0.31091248989105225
continuing,0.21994024515151978,0.6484159827232361,0.24483512341976166,0.05873645842075348,-0.02682144194841385,0.23497599363327026,0.267429918050766,0.28147760033607483,0.16484299302101135
nbc,0.63486248254776,0.21042901277542114,0.9999999403953552,0.16533015668392181,0.07915050536394119,0.15420955419540405,0.12012486904859543,0.1638578325510025,0.1680917739868164
blue,0.20072442293167114,0.07054072618484497,0.16533015668392181,1.0000001192092896,-0.0033745844848454,0.11481630057096481,0.23528409004211426,0.17981211841106415,0.15668673813343048
's,0.06670809537172318,0.02139776200056076,0.07915050536394119,-0.0033745844848454,0.9999999403953552,0.06495670974254608,-0.03817026689648628,0.02692362666130066,-0.023395681753754616
traditions,0.12593191862106323,0.21630430221557617,0.12125686556100845,0.10611797124147415,0.07492806017398834,0.9031673073768616,0.2921203374862671,0.253129243850708,0.18007412552833557
of,0.14607268571853638,0.2527073323726654,0.12012486904859543,0.23528409004211426,-0.03817026689648628,0.2663337290287018,1.0,0.33290785551071167,0.1826142966747284
public,0.1555427610874176,0.23792873322963715,0.2134726494550705,0.11636946350336075,0.060657959431409836,0.18427279591560364,0.2391265481710434,0.1729622185230255,0.19872993230819702
service,0.22076331079006195,0.2120312601327896,0.19617249071598053,0.16097718477249146,0.017307469621300697,0.24887822568416595,0.18425606191158295,0.16857224702835083,0.1676298975944519
",",0.2097204476594925,0.2681589126586914,0.17508727312088013,0.23822021484375,-0.0016132977325469255,0.21810978651046753,0.4946078956127167,0.3087472915649414,0.31091248989105225
it,0.17324577271938324,0.17997480928897858,0.17638668417930603,0.24960562586784363,0.06608816236257553,0.25703105330467224,0.38761502504348755,0.45803478360176086,0.25732165575027466
aired,0.5025622844696045,0.17319118976593018,0.5155370831489563,0.1733938306570053,-0.008831794373691082,0.15841706097126007,0.15519371628761292,0.1692323386669159,0.22283338010311127
symphony,0.1477980762720108,0.22788093984127045,0.2844213545322418,0.140449658036232,0.12062528729438782,0.22223882377147675,0.23093383014202118,0.19123253226280212,0.13833048939704895
performances,0.15612252056598663,0.2861858904361725,0.2882867753505707,0.12729546427726746,0.10650395601987839,0.2808705270290375,0.21684497594833374,0.173678919672966,0.15137696266174316
conducted,0.10803700238466263,0.30977022647857666,0.22578753530979156,0.10167979449033737,-0.011587770655751228,0.21996594965457916,0.22415050864219666,0.13546347618103027,0.1105341762304306
by,0.17600902915000916,0.20265081524848938,0.16605262458324432,0.18874850869178772,-0.010884488001465797,0.1753137856721878,0.3646814823150635,0.2455483376979828,0.17966607213020325
paul,0.11313698440790176,0.11342523247003555,0.19788925349712372,0.1777981072664261,-0.028859924525022507,0.15331178903579712,0.14511796832084656,0.11217030137777328,0.16611461341381073
whiteman,0.28647178411483765,0.21845169365406036,0.30589017271995544,0.3158547580242157,0.01236407645046711,0.18924938142299652,0.20575737953186035,0.1951242983341217,0.20019450783729553
",",0.2097204476594925,0.2681589126586914,0.17508727312088013,0.23822021484375,-0.0016132977325469255,0.21810978651046753,0.4946078956127167,0.3087472915649414,0.31091248989105225
performances,0.15612252056598663,0.2861858904361725,0.2882867753505707,0.12729546427726746,0.10650395601987839,0.2808705270290375,0.21684497594833374,0.173678919672966,0.15137696266174316
from,0.12159302085638046,0.22000041604042053,0.06884557008743286,0.15666526556015015,-0.01936490088701248,0.18267878890037537,0.4249346852302551,0.2737620174884796,0.19969791173934937
the,0.2068762183189392,0.29953038692474365,0.20618264377117157,0.2734997570514679,-0.01540423184633255,0.2632053792476654,0.733189046382904,0.42745697498321533,0.22068053483963013
metropolitan,0.16606685519218445,0.14558768272399902,0.20637723803520203,0.12710538506507874,-0.054288145154714584,0.24528498947620392,0.2863157391548157,0.15624397993087769,0.1861504763364792
opera,0.28884679079055786,0.15870091319084167,0.3214882016181946,0.15347279608249664,0.014315725304186344,0.2675342261791229,0.2148524820804596,0.19126243889331818,0.12079104036092758
",",0.2097204476594925,0.2681589126586914,0.17508727312088013,0.23822021484375,-0.0016132977325469255,0.21810978651046753,0.4946078956127167,0.3087472915649414,0.31091248989105225
and,0.16453155875205994,0.31388330459594727,0.1969573199748993,0.2053237110376358,0.06895173341035843,0.2593945562839508,0.5116966962814331,0.31309178471565247,0.20544172823429108
jazz,0.18586137890815735,0.1738220602273941,0.19481205940246582,0.26892682909965515,0.05595346540212631,0.15924367308616638,0.17768412828445435,0.11757855117321014,0.17092959582805634
concerts,0.16239112615585327,0.29569554328918457,0.33062511682510376,0.10304408520460129,0.07431773096323013,0.21002085506916046,0.1938774138689041,0.12693393230438232,0.1105763241648674
aired,0.5025622844696045,0.17319118976593018,0.5155370831489563,0.1733938306570053,-0.008831794373691082,0.15841706097126007,0.15519371628761292,0.1692323386669159,0.22283338010311127
as,0.2286096066236496,0.2586710751056671,0.25748270750045776,0.203675776720047,-0.05775856226682663,0.23947101831436157,0.3886612355709076,0.31749409437179565,0.27043893933296204
part,0.13526929914951324,0.21270664036273956,0.12602923810482025,0.17244082689285278,0.007562864106148481,0.2198636829853058,0.452393114566803,0.3476244807243347,0.08557961881160736
of,0.14607268571853638,0.2527073323726654,0.12012486904859543,0.23528409004211426,-0.03817026689648628,0.2663337290287018,1.0,0.33290785551071167,0.1826142966747284
its,0.19045390188694,0.23750929534435272,0.2153240293264389,0.2326306849718094,0.03202139586210251,0.24141348898410797,0.48690423369407654,0.30393704771995544,0.15103481709957123
