,what,an,the,freeman,of,newcastle,do,with,their,cows,on,the,town,moor,?
it,0.45803478360176086,0.39472338557243347,0.6251175999641418,0.13569127023220062,0.38761502504348755,0.17789338529109955,0.337066113948822,0.3369046747684479,0.3067983090877533,0.21038950979709625,0.4529881477355957,0.6251175999641418,0.286643922328949,0.19432365894317627,0.25732165575027466
is,0.28837618231773376,0.4654068350791931,0.5823672413825989,0.1964729130268097,0.4854315221309662,0.1841045320034027,0.30895981192588806,0.3250955045223236,0.2101074606180191,0.2588864266872406,0.3635730445384979,0.5823672413825989,0.30097827315330505,0.16642916202545166,0.22961433231830597
larger,0.23663538694381714,0.22288915514945984,0.378620445728302,0.10562361776828766,0.32469573616981506,0.1652085930109024,0.19858026504516602,0.2506849765777588,0.2951369285583496,0.27726390957832336,0.22671067714691162,0.378620445728302,0.16546949744224548,0.13018743693828583,0.1602165699005127
than,0.29388150572776794,0.2493579238653183,0.3227543234825134,0.16581542789936066,0.33036211133003235,0.20350264012813568,0.2387038916349411,0.3028803765773773,0.30367133021354675,0.1880091279745102,0.2864885926246643,0.3227543234825134,0.08540691435337067,0.05358484014868736,0.24917294085025787
london,0.15188734233379364,0.1393115222454071,0.27034124732017517,0.2751624584197998,0.2159106284379959,0.3328736424446106,0.10302329808473587,0.17428526282310486,0.19304054975509644,0.06665240228176117,0.22955816984176636,0.27034124732017517,0.18258164823055267,0.2804882824420929,0.11278104782104492
's,0.02692362666130066,0.025255560874938965,-0.01540423184633255,0.07108449190855026,-0.03817026689648628,-0.017262522131204605,-0.01994597539305687,-0.04624466598033905,-0.005530759692192078,0.09976505488157272,0.0026888418942689896,-0.01540423184633255,-0.0385698527097702,0.11094333231449127,-0.023395681753754616
famous,0.1616666167974472,0.17632822692394257,0.28616565465927124,0.24331721663475037,0.3074295222759247,0.16778746247291565,0.11668224632740021,0.22583967447280884,0.18541648983955383,0.2288481444120407,0.18182522058486938,0.28616565465927124,0.2759671211242676,0.21430851519107819,0.10379006713628769
hyde,0.14748896658420563,0.2210337072610855,0.2556402087211609,0.3168843984603882,0.22119948267936707,0.26771774888038635,0.14702312648296356,0.1768101155757904,0.15812304615974426,0.14863312244415283,0.2661193311214447,0.2556402087211609,0.22181376814842224,0.3084055781364441,0.14295879006385803
park,0.13500720262527466,0.14409798383712769,0.24748283624649048,0.15541808307170868,0.24561640620231628,0.1992185264825821,0.15466158092021942,0.13919170200824738,0.12770181894302368,0.17694368958473206,0.2332824319601059,0.24748283624649048,0.28112077713012695,0.22780930995941162,0.13508929312229156
and,0.31309178471565247,0.2838519215583801,0.5171257257461548,0.26269805431365967,0.5116966962814331,0.20204751193523407,0.276123583316803,0.5477725267410278,0.45114588737487793,0.27663591504096985,0.4077630043029785,0.5171257257461548,0.2459200918674469,0.2557752728462219,0.20544172823429108
