,what,did,the,soviets,intend,to,use,in,spacecraft,after,the,success,of,zond,5,?
the,0.42745697498321533,0.34736719727516174,1.0,0.2880597412586212,0.25890758633613586,0.535392165184021,0.34342584013938904,0.6662389636039734,0.21476294100284576,0.4565047025680542,1.0,0.2764457166194916,0.733189046382904,0.2969748377799988,0.09255307912826538,0.22068053483963013
soviet,0.12922172248363495,0.20321983098983765,0.2312941700220108,0.8054373264312744,0.14381936192512512,0.19090956449508667,0.1725817620754242,0.22826138138771057,0.38460642099380493,0.21747809648513794,0.2312941700220108,0.19308869540691376,0.17437179386615753,0.25034022331237793,0.12242695689201355,0.08693568408489227
union,0.1396910548210144,0.185054212808609,0.24421639740467072,0.4966154098510742,0.12928016483783722,0.16926777362823486,0.13356761634349823,0.22726479172706604,0.2583372890949249,0.18530848622322083,0.24421639740467072,0.19216594099998474,0.2642118036746979,0.2063944786787033,-0.03752736374735832,0.07797172665596008
had,0.23849567770957947,0.540525496006012,0.3875846862792969,0.3639222979545593,0.2503100335597992,0.37984350323677063,0.22564378380775452,0.385026752948761,0.15351621806621552,0.4133172631263733,0.3875846862792969,0.32290413975715637,0.37755560874938965,0.15739652514457703,0.030117131769657135,0.20728366076946259
sent,0.19595611095428467,0.3411059081554413,0.3010627329349518,0.3101625442504883,0.2701622247695923,0.34694167971611023,0.18805938959121704,0.25609636306762695,0.33232006430625916,0.29600438475608826,0.3010627329349518,0.1377813071012497,0.28923630714416504,0.17842933535575867,0.04752960801124573,0.10903520882129669
animals,0.26212990283966064,0.1985561102628708,0.2939487397670746,0.20802530646324158,0.19292926788330078,0.28293174505233765,0.3208281993865967,0.26300355792045593,0.18777646124362946,0.1426730901002884,0.2939487397670746,0.16957533359527588,0.2599885165691376,0.14090335369110107,0.04047742486000061,0.16430135071277618
around,0.27475327253341675,0.1658935695886612,0.40085816383361816,0.2425612211227417,0.18532094359397888,0.3591267168521881,0.29157665371894836,0.41294145584106445,0.28818583488464355,0.3113505244255066,0.40085816383361816,0.1465388685464859,0.3296394646167755,0.19497737288475037,0.07267843931913376,0.14729668200016022
the,0.42745697498321533,0.34736719727516174,1.0,0.2880597412586212,0.25890758633613586,0.535392165184021,0.34342584013938904,0.6662389636039734,0.21476294100284576,0.4565047025680542,1.0,0.2764457166194916,0.733189046382904,0.2969748377799988,0.09255307912826538,0.22068053483963013
moon,0.15898863971233368,0.1910509169101715,0.23613092303276062,0.1817692369222641,0.22933314740657806,0.17707908153533936,0.14652355015277863,0.1284755915403366,0.5240141749382019,0.19508935511112213,0.23613092303276062,0.1431121677160263,0.18815091252326965,0.10707532614469528,0.054890844970941544,0.1442703753709793
on,0.34226128458976746,0.2670976221561432,0.5107308030128479,0.22651004791259766,0.24861255288124084,0.41031414270401,0.2776605486869812,0.46853652596473694,0.20470470190048218,0.39330315589904785,0.5107308030128479,0.20526273548603058,0.3966929316520691,0.21157531440258026,0.1658337414264679,0.2714994251728058
september,0.2153792530298233,0.2693498432636261,0.2516939043998718,0.21674565970897675,0.20457251369953156,0.22485187649726868,0.1025155782699585,0.25402772426605225,0.15573406219482422,0.3386346399784088,0.2516939043998718,0.1807464361190796,0.16787530481815338,0.2443079799413681,0.039702340960502625,0.2665146589279175
15,-0.01077192835509777,0.03605250269174576,-0.011810222640633583,-0.014232468791306019,-0.08164360374212265,-0.047946229577064514,-0.1176038458943367,0.02424248494207859,0.04646838456392288,0.042749423533678055,-0.011810222640633583,0.026442451402544975,-0.02319195494055748,-0.03403395786881447,-0.13376347720623016,-0.010706285014748573
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.26493433117866516,0.24506831169128418,0.44245919585227966,0.3276674151420593,0.5201468467712402,0.1987742930650711,0.38860568404197693,0.4933079481124878,0.2008737027645111,0.4946078956127167,0.3288537561893463,0.10738879442214966,0.31091248989105225
1968,-0.07854823768138885,-0.016806963831186295,0.07431387901306152,-0.015164661221206188,-0.006721173413097858,0.06488213688135147,-0.009239950217306614,0.08920387923717499,-0.060162920504808426,-0.0035232221707701683,0.07431387901306152,-0.0671238824725151,0.09872698038816452,0.0015851397765800357,-0.029778718948364258,-0.08543776720762253
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.26493433117866516,0.24506831169128418,0.44245919585227966,0.3276674151420593,0.5201468467712402,0.1987742930650711,0.38860568404197693,0.4933079481124878,0.2008737027645111,0.4946078956127167,0.3288537561893463,0.10738879442214966,0.31091248989105225
aboard,0.15881659090518951,0.1450011432170868,0.2512768507003784,0.2742219865322113,0.2000420242547989,0.21065881848335266,0.18164439499378204,0.24575017392635345,0.46638765931129456,0.260389506816864,0.2512768507003784,0.11615737527608871,0.20117849111557007,0.13768459856510162,0.08516629785299301,0.14193153381347656
zond,0.19265253841876984,0.08922511339187622,0.2969748377799988,0.21098147332668304,0.20498701930046082,0.16931761801242828,0.159190371632576,0.2824491262435913,0.18752844631671906,0.20318955183029175,0.2969748377799988,0.13855156302452087,0.30764976143836975,1.0,0.09622864425182343,0.14528107643127441
5,0.09269922226667404,0.08429081737995148,0.09255307912826538,0.094390369951725,0.017179785296320915,0.03588335961103439,0.10429458320140839,0.0862177163362503,0.14834928512573242,0.0138190146535635,0.09255307912826538,0.11649874597787857,0.1043979674577713,0.09622864425182343,1.0000001192092896,0.06222071498632431
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.26493433117866516,0.24506831169128418,0.44245919585227966,0.3276674151420593,0.5201468467712402,0.1987742930650711,0.38860568404197693,0.4933079481124878,0.2008737027645111,0.4946078956127167,0.3288537561893463,0.10738879442214966,0.31091248989105225
and,0.31309178471565247,0.34479495882987976,0.5171257257461548,0.2789965271949768,0.2488093227148056,0.48971283435821533,0.34145063161849976,0.4954058527946472,0.19242209196090698,0.3765919506549835,0.5171257257461548,0.2493283897638321,0.5116966962814331,0.2996387779712677,0.027511591091752052,0.20544172823429108
it,0.45803478360176086,0.2993364930152893,0.6251175999641418,0.27833595871925354,0.2936123311519623,0.513711154460907,0.34436097741127014,0.5130809545516968,0.24129226803779602,0.36872005462646484,0.6251175999641418,0.26427826285362244,0.38761502504348755,0.21717756986618042,0.03559829667210579,0.25732165575027466
was,0.22111038863658905,0.41399896144866943,0.48711544275283813,0.29153022170066833,0.18309006094932556,0.3636345863342285,0.17744606733322144,0.45514053106307983,0.18611936271190643,0.49306565523147583,0.48711544275283813,0.315643846988678,0.4069072902202606,0.2448500692844391,-0.020029501989483833,0.18412111699581146
believed,0.32626157999038696,0.3807709813117981,0.324635773897171,0.23528936505317688,0.24659335613250732,0.35322412848472595,0.14627520740032196,0.2605416774749756,0.16889744997024536,0.3132590651512146,0.324635773897171,0.14974230527877808,0.2945859134197235,0.07822742313146591,0.012979903258383274,0.17606885731220245
they,0.4431931674480438,0.4879390597343445,0.49925389885902405,0.3533720076084137,0.396930456161499,0.5452046394348145,0.39895978569984436,0.4330179989337921,0.21102574467658997,0.33591970801353455,0.49925389885902405,0.24632716178894043,0.3426007330417633,0.17251569032669067,0.033019959926605225,0.2753053903579712
might,0.4838182032108307,0.46277403831481934,0.32504433393478394,0.2330416589975357,0.49009060859680176,0.5153919458389282,0.41532549262046814,0.26443570852279663,0.18726135790348053,0.2106364369392395,0.32504433393478394,0.18981190025806427,0.2900311052799225,0.07046889513731003,0.057142749428749084,0.41058459877967834
soon,0.3005380630493164,0.35734426975250244,0.3431394100189209,0.2785920202732086,0.22782529890537262,0.3827410042285919,0.16164176166057587,0.2957788109779358,0.20664341747760773,0.5849637389183044,0.3431394100189209,0.31263452768325806,0.23495697975158691,0.14696240425109863,0.02362878993153572,0.17460282146930695
repeat,0.32753127813339233,0.2594836950302124,0.25370603799819946,0.1762419193983078,0.3995908796787262,0.2947462797164917,0.337220162153244,0.19603988528251648,0.16105663776397705,0.1808127760887146,0.25370603799819946,0.1841035932302475,0.18365339934825897,0.1088290885090828,0.033738598227500916,0.28224727511405945
