,the,kronenberg,palace,had,been,an,exceptional,example,of,what,type,of,architecture,?
exceptional,0.3299735188484192,0.14855073392391205,0.1167110726237297,0.2384471893310547,0.2807157039642334,0.21638771891593933,0.9999999403953552,0.3761463463306427,0.3679232597351074,0.22437724471092224,0.22883473336696625,0.3679232597351074,0.18652386963367462,0.1693650484085083
examples,0.30092597007751465,0.13995501399040222,0.0955294519662857,0.1564532220363617,0.227527916431427,0.19613532721996307,0.37155187129974365,0.7060196995735168,0.3054686188697815,0.26665759086608887,0.3520980179309845,0.3054686188697815,0.28389036655426025,0.19976599514484406
of,0.733189046382904,0.2117885798215866,0.223849356174469,0.37755560874938965,0.31685134768486023,0.32280945777893066,0.3679232597351074,0.3570667505264282,1.0,0.33290785551071167,0.18112817406654358,1.0,0.2756515443325043,0.1826142966747284
the,1.0,0.26496022939682007,0.25955939292907715,0.3875846862792969,0.3563927710056305,0.4207492768764496,0.3299735188484192,0.3755223751068115,0.733189046382904,0.42745697498321533,0.21819381415843964,0.733189046382904,0.24488379061222076,0.22068053483963013
bourgeois,0.15145544707775116,0.231463223695755,0.17788313329219818,0.1742171049118042,0.1268327683210373,0.1635412871837616,0.18551814556121826,0.16313602030277252,0.1824033558368683,0.16462503373622894,0.2212590128183365,0.1824033558368683,0.25559741258621216,0.11163121461868286
architecture,0.24488379061222076,0.15773905813694,0.2988702058792114,0.16301199793815613,0.17871445417404175,0.1317945122718811,0.18652386963367462,0.24465352296829224,0.2756515443325043,0.23286667466163635,0.12609367072582245,0.2756515443325043,1.0,0.14343059062957764
of,0.733189046382904,0.2117885798215866,0.223849356174469,0.37755560874938965,0.31685134768486023,0.32280945777893066,0.3679232597351074,0.3570667505264282,1.0,0.33290785551071167,0.18112817406654358,1.0,0.2756515443325043,0.1826142966747284
the,1.0,0.26496022939682007,0.25955939292907715,0.3875846862792969,0.3563927710056305,0.4207492768764496,0.3299735188484192,0.3755223751068115,0.733189046382904,0.42745697498321533,0.21819381415843964,0.733189046382904,0.24488379061222076,0.22068053483963013
later,0.4060266613960266,0.22667676210403442,0.2048669308423996,0.47119471430778503,0.4086209535598755,0.17057275772094727,0.19350723922252655,0.14126892387866974,0.3458743393421173,0.2517229914665222,0.08406522125005722,0.3458743393421173,0.2545293867588043,0.1417175978422165
periods,0.27702534198760986,0.050223760306835175,0.15928657352924347,0.2021568864583969,0.23347420990467072,0.15579617023468018,0.24280095100402832,0.2718169689178467,0.256827712059021,0.21756020188331604,0.1723252832889557,0.256827712059021,0.1883307546377182,0.167264923453331
were,0.3906462490558624,0.19431878626346588,0.1839732825756073,0.6150832772254944,0.5062422156333923,0.08893381804227829,0.23810482025146484,0.21319323778152466,0.34038281440734863,0.22298263013362885,0.09534358233213425,0.34038281440734863,0.17041242122650146,0.17890112102031708
not,0.4310511648654938,0.13496239483356476,0.1257314383983612,0.3714721202850342,0.39571741223335266,0.3722182512283325,0.40944015979766846,0.4156745672225952,0.3307090103626251,0.5449194312095642,0.2697264850139618,0.3307090103626251,0.15480296313762665,0.41942933201789856
restored,0.29931989312171936,0.14140938222408295,0.31253334879875183,0.26987019181251526,0.3374766409397125,0.14463864266872406,0.23890361189842224,0.13627375662326813,0.2796242833137512,0.23375621438026428,0.11361876130104065,0.2796242833137512,0.24923625588417053,0.1778445541858673
by,0.4408751428127289,0.22928620874881744,0.14397868514060974,0.37294110655784607,0.39107078313827515,0.2719563841819763,0.23861649632453918,0.29030951857566833,0.3646814823150635,0.2455483376979828,0.15232881903648376,0.3646814823150635,0.14900097250938416,0.17966607213020325
the,1.0,0.26496022939682007,0.25955939292907715,0.3875846862792969,0.3563927710056305,0.4207492768764496,0.3299735188484192,0.3755223751068115,0.733189046382904,0.42745697498321533,0.21819381415843964,0.733189046382904,0.24488379061222076,0.22068053483963013
communist,0.24560265243053436,0.23540709912776947,0.14368890225887299,0.21257008612155914,0.16693809628486633,0.15735936164855957,0.1072147861123085,0.17760251462459564,0.24402955174446106,0.1774516999721527,0.027421528473496437,0.24402955174446106,0.17781119048595428,0.13955675065517426
authorities,0.2784515917301178,0.14741167426109314,0.16313333809375763,0.3139980733394623,0.2970788776874542,0.14978837966918945,0.27731606364250183,0.1459805965423584,0.2408684492111206,0.23251837491989136,0.14122916758060455,0.2408684492111206,0.2137342393398285,0.17285770177841187
after,0.4565047025680542,0.1869153529405594,0.1628485769033432,0.4133172631263733,0.2954521179199219,0.20180045068264008,0.14904196560382843,0.20359161496162415,0.3867455720901489,0.21973377466201782,0.09807434678077698,0.3867455720901489,0.11330104619264603,0.16608688235282898
the,1.0,0.26496022939682007,0.25955939292907715,0.3875846862792969,0.3563927710056305,0.4207492768764496,0.3299735188484192,0.3755223751068115,0.733189046382904,0.42745697498321533,0.21819381415843964,0.733189046382904,0.24488379061222076,0.22068053483963013
