,what,is,consumed,in,both,combustion,and,respiration,?
from,0.2737620174884796,0.27355384826660156,0.22615329921245575,0.4274188280105591,0.299375057220459,0.24656102061271667,0.3601827025413513,0.2900363802909851,0.19969791173934937
this,0.5489566326141357,0.480927973985672,0.26715609431266785,0.45205554366111755,0.3937772214412689,0.3247292935848236,0.42353692650794983,0.32512199878692627,0.3155723512172699
he,0.3114890456199646,0.36230841279029846,0.1575050950050354,0.41690486669540405,0.2462911456823349,0.20285411179065704,0.45427167415618896,0.17156416177749634,0.2089974731206894
surmised,0.25697532296180725,0.165620818734169,0.2915624976158142,0.2668759524822235,0.2804814577102661,0.2104485034942627,0.2536662817001343,0.27553942799568176,0.1541697382926941
that,0.6297725439071655,0.3995479643344879,0.2959408164024353,0.435920387506485,0.4532228112220764,0.30958232283592224,0.4731321930885315,0.299366295337677,0.32716336846351624
nitroaereus,0.2122950553894043,0.25135645270347595,0.2990402579307556,0.25901925563812256,0.25694623589515686,0.46370580792427063,0.2816542387008667,0.38338157534599304,0.17964670062065125
is,0.28837618231773376,1.0,0.20356778800487518,0.5394441485404968,0.31409940123558044,0.27011600136756897,0.3859752118587494,0.2597092092037201,0.22961433231830597
consumed,0.20357352495193481,0.20356778800487518,1.0,0.20343858003616333,0.21214434504508972,0.3906692564487457,0.24533633887767792,0.37564098834991455,0.2024012953042984
in,0.30808621644973755,0.5394441485404968,0.20343858003616333,1.0,0.3960166871547699,0.2270977944135666,0.4954058527946472,0.25548887252807617,0.20430970191955566
both,0.3361809551715851,0.31409940123558044,0.21214434504508972,0.3960166871547699,1.0,0.2529316544532776,0.5503310561180115,0.23312699794769287,0.19455738365650177
respiration,0.23671798408031464,0.2597092092037201,0.37564098834991455,0.25548887252807617,0.23312699794769287,0.46052151918411255,0.28929564356803894,1.0,0.17575538158416748
and,0.31309178471565247,0.3859752118587494,0.24533633887767792,0.4954058527946472,0.5503310561180115,0.21818570792675018,1.0,0.28929564356803894,0.20544172823429108
combustion,0.2678600549697876,0.27011600136756897,0.3906692564487457,0.2270977944135666,0.2529316544532776,1.0,0.21818570792675018,0.46052151918411255,0.2177530825138092
.,0.3567904531955719,0.4569662809371948,0.22308771312236786,0.5591574311256409,0.42281273007392883,0.2124136984348297,0.588965117931366,0.294679194688797,0.4130953550338745
