,in,what,month,is,the,university,'s,scavenger,hunt,?
every,0.31953179836273193,0.30284011363983154,0.2995801866054535,0.3428492546081543,0.4023689329624176,0.10963435471057892,0.04262643679976463,0.10208593308925629,0.17087773978710175,0.24066033959388733
may,0.3424151837825775,0.25739946961402893,0.24754159152507782,0.322792649269104,0.2694292366504669,0.12859614193439484,-0.07006479054689407,0.2302672266960144,0.19220055639743805,0.2768254578113556
since,0.4325680434703827,0.29783400893211365,0.26305481791496277,0.3567592203617096,0.4054957628250122,0.18180672824382782,-0.04899144917726517,0.1555352360010147,0.1755189746618271,0.2876587212085724
1987,0.0910748764872551,0.10829561948776245,0.04208676889538765,0.13742811977863312,0.14202550053596497,0.12226012349128723,0.03101215325295925,0.1323394477367401,-0.0008427362190559506,0.0361514650285244
",",0.5201468467712402,0.3087472915649414,0.24291303753852844,0.4691906273365021,0.4933079481124878,0.3017033040523529,-0.0016132977325469255,0.2609860599040985,0.3438757658004761,0.31091248989105225
the,0.6662389636039734,0.42745697498321533,0.2821349799633026,0.5823672413825989,1.0,0.263973206281662,-0.01540423184633255,0.28621864318847656,0.2538548409938812,0.22068053483963013
university,0.3201795518398285,0.20256435871124268,0.13144075870513916,0.20346471667289734,0.263973206281662,1.0,-0.007441582623869181,0.12948203086853027,0.1199246272444725,0.11887256056070328
of,0.5696388483047485,0.33290785551071167,0.23822399973869324,0.4854315221309662,0.733189046382904,0.30646374821662903,-0.03817026689648628,0.2134436070919037,0.18847715854644775,0.1826142966747284
chicago,0.23921214044094086,0.1521448791027069,0.12688283622264862,0.12146236002445221,0.27360326051712036,0.29005804657936096,-0.0033615175634622574,0.12902414798736572,0.17284135520458221,0.16446958482265472
has,0.4173259735107422,0.20338068902492523,0.17699003219604492,0.5668748617172241,0.4177538752555847,0.21257302165031433,-0.040683966130018234,0.12469601631164551,0.12554067373275757,0.15994466841220856
held,0.3127288818359375,0.0974166989326477,0.18161791563034058,0.19884860515594482,0.32185450196266174,0.18579119443893433,0.02657921425998211,0.14796513319015503,0.13804641366004944,0.14103956520557404
the,0.6662389636039734,0.42745697498321533,0.2821349799633026,0.5823672413825989,1.0,0.263973206281662,-0.01540423184633255,0.28621864318847656,0.2538548409938812,0.22068053483963013
university,0.3201795518398285,0.20256435871124268,0.13144075870513916,0.20346471667289734,0.263973206281662,1.0,-0.007441582623869181,0.12948203086853027,0.1199246272444725,0.11887256056070328
of,0.5696388483047485,0.33290785551071167,0.23822399973869324,0.4854315221309662,0.733189046382904,0.30646374821662903,-0.03817026689648628,0.2134436070919037,0.18847715854644775,0.1826142966747284
chicago,0.23921214044094086,0.1521448791027069,0.12688283622264862,0.12146236002445221,0.27360326051712036,0.29005804657936096,-0.0033615175634622574,0.12902414798736572,0.17284135520458221,0.16446958482265472
scavenger,0.2301943451166153,0.22387753427028656,0.10182526707649231,0.21393181383609772,0.28621864318847656,0.12948203086853027,-0.04087331146001816,1.0000001192092896,0.41344505548477173,0.13486094772815704
hunt,0.19142581522464752,0.1074647307395935,0.03947355970740318,0.12162098288536072,0.2538548409938812,0.1199246272444725,-0.004210624378174543,0.41344505548477173,1.0000001192092896,0.13092587888240814
