,what,type,of,practices,did,the,yuan,reintroduce,in,government,?
buddhism,0.22882838547229767,0.10657673329114914,0.279470831155777,0.46111029386520386,0.10964566469192505,0.21217995882034302,0.3001965880393982,0.1585536152124405,0.21896225214004517,0.26109421253204346,0.18768428266048431
(,0.2411840260028839,0.1677488386631012,0.35032153129577637,0.08249547332525253,0.18979617953300476,0.33289089798927307,0.18021149933338165,0.1868676394224167,0.3087427020072937,0.14655277132987976,0.40561532974243164
especially,0.3590192496776581,0.2649726867675781,0.37220633029937744,0.3812098503112793,0.26305219531059265,0.39420849084854126,0.09641551971435547,0.3251107335090637,0.3526567816734314,0.15366514027118683,0.19751401245594025
tibetan,0.12452398985624313,0.09123550355434418,0.226594015955925,0.3191513419151306,0.11004411429166794,0.2316000759601593,0.33217912912368774,0.2206394076347351,0.1719963401556015,0.1684221476316452,0.14673879742622375
buddhism,0.22882838547229767,0.10657673329114914,0.279470831155777,0.46111029386520386,0.10964566469192505,0.21217995882034302,0.3001965880393982,0.1585536152124405,0.21896225214004517,0.26109421253204346,0.18768428266048431
),0.26259949803352356,0.18612703680992126,0.3680361211299896,0.09688501805067062,0.18584993481636047,0.3456730246543884,0.17912885546684265,0.16199076175689697,0.3326910734176636,0.15263929963111877,0.42300865054130554
flourished,0.169036865234375,0.11851262301206589,0.3390863239765167,0.35000523924827576,0.21745368838310242,0.3080061078071594,0.16283190250396729,0.2920285165309906,0.27011770009994507,0.18499042093753815,0.10325999557971954
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.25552815198898315,0.3015086054801941,0.4933079481124878,0.20958951115608215,0.27383673191070557,0.5201468467712402,0.27344048023223877,0.31091248989105225
although,0.24844598770141602,0.1240415871143341,0.3024747669696808,0.2862972021102905,0.29252153635025024,0.3265823423862457,0.1279308795928955,0.23808437585830688,0.28763338923454285,0.20148250460624695,0.15541206300258636
taoism,0.2612035870552063,0.14825396239757538,0.23381073772907257,0.4750395119190216,0.15045782923698425,0.17354591190814972,0.3769095838069916,0.18165254592895508,0.1855268031358719,0.2691543400287628,0.2155728042125702
endured,0.2333250492811203,0.15491320192813873,0.24331149458885193,0.31347525119781494,0.35378554463386536,0.2892776429653168,0.15053239464759827,0.2698460519313812,0.23398400843143463,0.17039093375205994,0.2073272168636322
certain,0.4561643898487091,0.2833237648010254,0.40204232931137085,0.41019314527511597,0.3046872019767761,0.392071396112442,0.19556616246700287,0.24550651013851166,0.2942397892475128,0.2880367934703827,0.2516106069087982
persecutions,0.28928688168525696,0.10865653306245804,0.28981271386146545,0.44866910576820374,0.30365750193595886,0.2511250078678131,0.13604210317134857,0.19544914364814758,0.2580869197845459,0.3219207525253296,0.17855273187160492
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.204969584941864,0.2593238651752472,0.6662389636039734,0.14850552380084991,0.25305765867233276,1.0,0.3066793978214264,0.20430970191955566
favor,0.28772833943367004,0.10873925685882568,0.25472742319107056,0.31495559215545654,0.2881953716278076,0.24460799992084503,0.1994202435016632,0.2630646824836731,0.2092810571193695,0.24479642510414124,0.17767609655857086
of,0.33290785551071167,0.18112817406654358,1.0,0.25354546308517456,0.2513895630836487,0.733189046382904,0.22696353495121002,0.24789857864379883,0.5696388483047485,0.3475167155265808,0.1826142966747284
buddhism,0.22882838547229767,0.10657673329114914,0.279470831155777,0.46111029386520386,0.10964566469192505,0.21217995882034302,0.3001965880393982,0.1585536152124405,0.21896225214004517,0.26109421253204346,0.18768428266048431
from,0.2737620174884796,0.1559610366821289,0.4249346852302551,0.132551908493042,0.20248863101005554,0.40150508284568787,0.09845740348100662,0.2259845733642578,0.4274188280105591,0.16793464124202728,0.19969791173934937
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.24007414281368256,0.34736719727516174,1.0,0.2548272907733917,0.29667291045188904,0.6662389636039734,0.31798112392425537,0.22068053483963013
yuan,0.13503028452396393,0.10084673017263412,0.22696353495121002,0.15688087046146393,0.1467057168483734,0.2548272907733917,1.0,0.16217203438282013,0.14850552380084991,0.3044860064983368,0.12871281802654266
government,0.28074538707733154,0.09938877820968628,0.3475167155265808,0.28183984756469727,0.2792121469974518,0.31798112392425537,0.3044860064983368,0.15965525805950165,0.3066793978214264,1.0000001192092896,0.18851417303085327
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.20493070781230927,0.35288307070732117,0.5934505462646484,0.17233723402023315,0.3463430404663086,0.5591574311256409,0.2521961033344269,0.4130953550338745
