,when,were,the,wars,of,religion,fought,?
a,0.44397395849227905,0.17203083634376526,0.5829201340675354,0.14923274517059326,0.5052502155303955,0.2381647378206253,0.15341457724571228,0.23916715383529663
series,0.2194245308637619,0.264431357383728,0.31376904249191284,0.2527470886707306,0.22268271446228027,0.13576005399227142,0.1961061954498291,0.1709602326154709
of,0.3757161796092987,0.34038281440734863,0.733189046382904,0.25379252433776855,1.0,0.30360451340675354,0.26073968410491943,0.1826142966747284
religious,0.16523101925849915,0.23646323382854462,0.22950971126556396,0.20200221240520477,0.2958606779575348,0.6981536149978638,0.20724335312843323,0.15727058053016663
conflicts,0.28508684039115906,0.2341695874929428,0.24149245023727417,0.4359891414642334,0.22598299384117126,0.25698205828666687,0.3539999723434448,0.30421143770217896
followed,0.2927686870098114,0.2812596261501312,0.3567860722541809,0.1489325314760208,0.3060508966445923,0.2019088864326477,0.23252291977405548,0.20567169785499573
",",0.36674630641937256,0.36755475401878357,0.4933079481124878,0.21198274195194244,0.4946078956127167,0.2679629921913147,0.2973159849643707,0.31091248989105225
known,0.1836930811405182,0.2330206036567688,0.3624623417854309,0.13838669657707214,0.35814476013183594,0.1531066596508026,0.2638726532459259,0.18314571678638458
as,0.4437963366508484,0.3025437891483307,0.48381632566452026,0.2284109890460968,0.3886612355709076,0.19954398274421692,0.22143861651420593,0.27043893933296204
the,0.5091903209686279,0.3906462490558624,1.0,0.310673326253891,0.733189046382904,0.2757669985294342,0.30367159843444824,0.22068053483963013
wars,0.1940510869026184,0.24968937039375305,0.310673326253891,1.0000001192092896,0.25379252433776855,0.21834717690944672,0.46224796772003174,0.1526605486869812
of,0.3757161796092987,0.34038281440734863,0.733189046382904,0.25379252433776855,1.0,0.30360451340675354,0.26073968410491943,0.1826142966747284
religion,0.16804519295692444,0.2073049396276474,0.2757669985294342,0.21834717690944672,0.30360451340675354,0.9999999403953552,0.20638450980186462,0.2503177225589752
",",0.36674630641937256,0.36755475401878357,0.4933079481124878,0.21198274195194244,0.4946078956127167,0.2679629921913147,0.2973159849643707,0.31091248989105225
fought,0.19500835239887238,0.3529883623123169,0.30367159843444824,0.46224796772003174,0.26073968410491943,0.20638450980186462,1.0000001192092896,0.15288178622722626
intermittently,0.4073891341686249,0.30225417017936707,0.3751010298728943,0.19830404222011566,0.27089133858680725,0.1040218397974968,0.2436671257019043,0.16817019879817963
from,0.405669629573822,0.29991888999938965,0.40150508284568787,0.19121238589286804,0.4249346852302551,0.16161130368709564,0.21238359808921814,0.19969791173934937
1562,-0.0303362850099802,0.062175601720809937,0.06752016395330429,-0.03319908306002617,0.13883134722709656,0.22683893144130707,0.022899258881807327,0.018519774079322815
to,0.5423505902290344,0.31913647055625916,0.535392165184021,0.1982598602771759,0.41548454761505127,0.272845596075058,0.20381352305412292,0.29463258385658264
1598,0.016367200762033463,-0.008239507675170898,-0.0076618134044110775,0.004581002984195948,-0.04988880455493927,0.06471876800060272,0.020505990833044052,-0.002321802545338869
.,0.475719153881073,0.3378238379955292,0.5934505462646484,0.25701209902763367,0.5352458953857422,0.28897368907928467,0.22964482009410858,0.4130953550338745
