,what,are,among,the,most,well,known,experiments,in,structural,geology,?
among,0.21154822409152985,0.3811550438404083,0.9999999403953552,0.3507058024406433,0.5484373569488525,0.35068318247795105,0.35925352573394775,0.18443670868873596,0.3211768567562103,0.1725434958934784,0.040651336312294006,0.14343059062957764
the,0.42745697498321533,0.40399202704429626,0.3507058024406433,1.0,0.47635307908058167,0.42630070447921753,0.3624623417854309,0.21008943021297455,0.6662389636039734,0.205324187874794,0.214850515127182,0.22068053483963013
most,0.3219912350177765,0.48698675632476807,0.5484373569488525,0.47635307908058167,1.0,0.4756048619747162,0.3850763440132141,0.1896154135465622,0.41416558623313904,0.17343977093696594,0.1608312427997589,0.2107497900724411
well-known,0.19213207066059113,0.2234591394662857,0.331486314535141,0.4269336760044098,0.3588869273662567,0.5481016635894775,0.6967371106147766,0.22754381597042084,0.3692159652709961,0.15658658742904663,0.13272987306118011,0.2076386660337448
experiments,0.3106561601161957,0.24133720993995667,0.18443670868873596,0.21008943021297455,0.1896154135465622,0.26870033144950867,0.17601940035820007,0.9999998807907104,0.21977302432060242,0.30694136023521423,0.22954025864601135,0.14564716815948486
in,0.30808621644973755,0.3841303884983063,0.3211768567562103,0.6662389636039734,0.41416558623313904,0.36612698435783386,0.32641831040382385,0.21977302432060242,1.0,0.2507881224155426,0.21882881224155426,0.20430970191955566
structural,0.19746112823486328,0.22905494272708893,0.1725434958934784,0.205324187874794,0.17343977093696594,0.2477368414402008,0.14643257856369019,0.30694136023521423,0.2507881224155426,1.0000001192092896,0.3389621078968048,0.1448175609111786
geology,0.27770960330963135,0.16411103308200836,0.040651336312294006,0.214850515127182,0.1608312427997589,0.14512816071510315,0.06613369286060333,0.22954025864601135,0.21882881224155426,0.3389621078968048,1.0,0.1570872962474823
are,0.29724663496017456,1.0,0.3811550438404083,0.40399202704429626,0.48698675632476807,0.44987359642982483,0.26720109581947327,0.24133720993995667,0.3841303884983063,0.22905494272708893,0.16411103308200836,0.24591213464736938
those,0.44466671347618103,0.6012985706329346,0.4040324091911316,0.42861196398735046,0.4513194262981415,0.40552178025245667,0.1538585126399994,0.25594252347946167,0.3419301211833954,0.2681567668914795,0.2406153678894043,0.3328189253807068
involving,0.22227725386619568,0.28073740005493164,0.31679365038871765,0.2870389223098755,0.27372869849205017,0.17776407301425934,0.17329223453998566,0.248517245054245,0.3576067388057709,0.28839123249053955,0.19586938619613647,0.19034086167812347
orogenic,0.18539650738239288,0.28534647822380066,0.22188371419906616,0.2921693027019501,0.22021204233169556,0.17683902382850647,0.26404041051864624,0.27457675337791443,0.23887601494789124,0.3644457459449768,0.40355384349823,0.09268061816692352
wedges,0.17072786390781403,0.2849588394165039,0.229038268327713,0.2798529863357544,0.20492370426654816,0.2421565055847168,0.15344449877738953,0.21650637686252594,0.17402519285678864,0.27679136395454407,0.24009156227111816,0.12393534183502197
",",0.3087472915649414,0.4062570035457611,0.2640531659126282,0.4933079481124878,0.3636029064655304,0.4331948161125183,0.3604377806186676,0.22640827298164368,0.5201468467712402,0.22993656992912292,0.21413999795913696,0.31091248989105225
which,0.5261979103088379,0.42922598123550415,0.3077724575996399,0.6521818041801453,0.4637843072414398,0.42522135376930237,0.30223485827445984,0.31440770626068115,0.4840516746044159,0.3338971436023712,0.2463337630033493,0.25814583897590637
are,0.29724663496017456,1.0,0.3811550438404083,0.40399202704429626,0.48698675632476807,0.44987359642982483,0.26720109581947327,0.24133720993995667,0.3841303884983063,0.22905494272708893,0.16411103308200836,0.24591213464736938
zones,0.21359926462173462,0.3065014183521271,0.18484485149383545,0.29823264479637146,0.21792037785053253,0.23687011003494263,0.13711825013160706,0.135422021150589,0.2524511516094208,0.2128652185201645,0.23321877419948578,0.11247222125530243
in,0.30808621644973755,0.3841303884983063,0.3211768567562103,0.6662389636039734,0.41416558623313904,0.36612698435783386,0.32641831040382385,0.21977302432060242,1.0,0.2507881224155426,0.21882881224155426,0.20430970191955566
which,0.5261979103088379,0.42922598123550415,0.3077724575996399,0.6521818041801453,0.4637843072414398,0.42522135376930237,0.30223485827445984,0.31440770626068115,0.4840516746044159,0.3338971436023712,0.2463337630033493,0.25814583897590637
mountains,0.1498076319694519,0.24100729823112488,0.16997337341308594,0.27269288897514343,0.20615507662296295,0.13869507610797882,0.17125630378723145,0.09757788479328156,0.27267226576805115,0.15489940345287323,0.2602987587451935,0.08633821457624435
are,0.29724663496017456,1.0,0.3811550438404083,0.40399202704429626,0.48698675632476807,0.44987359642982483,0.26720109581947327,0.24133720993995667,0.3841303884983063,0.22905494272708893,0.16411103308200836,0.24591213464736938
built,0.1554843783378601,0.15228483080863953,0.1967482566833496,0.2950156033039093,0.18350690603256226,0.22370734810829163,0.25903862714767456,0.2573509216308594,0.25829681754112244,0.2820473611354828,0.09711799025535583,0.09449632465839386
along,0.22421957552433014,0.28655800223350525,0.284652978181839,0.39495137333869934,0.2380090206861496,0.3203338384628296,0.2537233829498291,0.19533711671829224,0.3603311777114868,0.16304488480091095,0.13281242549419403,0.17134909331798553
convergent,0.27333205938339233,0.3127717971801758,0.24868294596672058,0.2782052755355835,0.2331981062889099,0.22504852712154388,0.21601015329360962,0.29165118932724,0.2147963047027588,0.3343043327331543,0.3289417028427124,0.1645277887582779
tectonic,0.267217755317688,0.2353130280971527,0.20713570713996887,0.3249375522136688,0.19683191180229187,0.16045601665973663,0.18878749012947083,0.1838522106409073,0.22851157188415527,0.3059215545654297,0.49361589550971985,0.18071772158145905
plate,0.16980557143688202,0.1751210242509842,0.12097862362861633,0.2611875832080841,0.16350673139095306,0.1246606707572937,0.14163346588611603,0.0957193672657013,0.18938399851322174,0.14478561282157898,0.29361170530319214,0.17674463987350464
boundaries,0.27773579955101013,0.26275575160980225,0.17305292189121246,0.34339386224746704,0.1365346908569336,0.19822221994400024,0.18710170686244965,0.1573222130537033,0.29207542538642883,0.27339276671409607,0.3380142152309418,0.13039568066596985
.,0.3567904531955719,0.3452940285205841,0.22495509684085846,0.5934505462646484,0.35404038429260254,0.42422395944595337,0.283290296792984,0.261809378862381,0.5591574311256409,0.24253211915493011,0.20729686319828033,0.4130953550338745
