,how,many,primary,affiliates,did,abc,have,in,1954,?
however,0.45072782039642334,0.5381983518600464,0.2171051800251007,0.17144209146499634,0.5603718757629395,0.13561899960041046,0.5919817090034485,0.3982149362564087,0.012990291230380535,0.2152075469493866
that,0.557814359664917,0.5391656160354614,0.2296912968158722,0.1412908136844635,0.47518548369407654,0.17440107464790344,0.6182622313499451,0.435920387506485,-0.04338010400533676,0.32716336846351624
year,0.19631797075271606,0.21933086216449738,0.17859990894794464,0.167524516582489,0.21422851085662842,0.2373921275138855,0.23220738768577576,0.3359307050704956,0.045460913330316544,0.18315006792545319
",",0.22659391164779663,0.40610817074775696,0.2565748989582062,0.1943977326154709,0.3015086054801941,0.2097204476594925,0.3541618287563324,0.5201468467712402,-0.019343923777341843,0.31091248989105225
abc,0.19232043623924255,0.18267793953418732,0.045933280140161514,0.26733168959617615,0.13353709876537323,1.0000001192092896,0.1884228140115738,0.1697147786617279,0.01942364126443863,0.19065172970294952
had,0.2549138069152832,0.40130746364593506,0.15454937517642975,0.0747237429022789,0.540525496006012,0.18355661630630493,0.6263401508331299,0.385026752948761,-0.05965640768408775,0.20728366076946259
only,0.36590442061424255,0.4670507609844208,0.295844703912735,0.1798403561115265,0.4039593040943146,0.1885126382112503,0.5199421048164368,0.42992329597473145,-0.04089084267616272,0.2767370045185089
14,0.03452076017856598,-0.04532574862241745,0.0281828660517931,0.12834590673446655,-0.0011860481463372707,0.04168788716197014,0.050155121833086014,0.07915190607309341,0.07171192020177841,0.11697390675544739
primary,0.15994705259799957,0.22016435861587524,1.0,0.18657241761684418,0.16609589755535126,0.045933280140161514,0.21564412117004395,0.21150650084018707,-0.11165826767683029,0.16286636888980865
affiliates,0.09554769098758698,0.18764927983283997,0.18657241761684418,1.0000001192092896,0.14054901897907257,0.26733168959617615,0.17439953982830048,0.17909713089466095,0.020834989845752716,0.11092336475849152
compared,0.2966770529747009,0.3869759738445282,0.16777102649211884,0.14945395290851593,0.29692959785461426,0.13018988072872162,0.40004709362983704,0.2479310929775238,0.008579223416745663,0.21399109065532684
to,0.44169697165489197,0.40243685245513916,0.27388349175453186,0.19779101014137268,0.4452643394470215,0.1762417107820511,0.4544740617275238,0.45010748505592346,0.0212570670992136,0.29463258385658264
the,0.33890387415885925,0.4335206151008606,0.25688621401786804,0.1912562996149063,0.34736719727516174,0.2068762183189392,0.40389683842658997,0.6662389636039734,0.05573182925581932,0.22068053483963013
74,0.09980206936597824,-0.003800304839387536,0.03275338187813759,-0.0073903026059269905,0.12016235291957855,0.05682649835944176,0.08926349133253098,0.01043371856212616,-0.06872487813234329,0.13471639156341553
that,0.557814359664917,0.5391656160354614,0.2296912968158722,0.1412908136844635,0.47518548369407654,0.17440107464790344,0.6182622313499451,0.435920387506485,-0.04338010400533676,0.32716336846351624
carried,0.2256346195936203,0.26044580340385437,0.1486530750989914,0.10179886966943741,0.17487744987010956,0.1741836816072464,0.2767758369445801,0.22688958048820496,-0.035647518932819366,0.1305524855852127
the,0.33890387415885925,0.4335206151008606,0.25688621401786804,0.1912562996149063,0.34736719727516174,0.2068762183189392,0.40389683842658997,0.6662389636039734,0.05573182925581932,0.22068053483963013
majority,0.20073412358760834,0.3566230833530426,0.24023300409317017,0.32453468441963196,0.19529776275157928,0.14373555779457092,0.36177510023117065,0.2563854157924652,0.09561629593372345,0.220119908452034
