,who,purchased,or,commissioned,the,works,of,european,artists,included,the,british,galleries,of,the,v,&,a,?
not,0.369414746761322,0.15312768518924713,0.5119067430496216,0.1899619996547699,0.4310511648654938,0.21809817850589752,0.3307090103626251,0.20631356537342072,0.16315382719039917,0.26896724104881287,0.4310511648654938,0.16629528999328613,0.19913440942764282,0.3307090103626251,0.4310511648654938,0.1493779718875885,0.13937902450561523,0.3791346549987793,0.41942933201789856
only,0.4202229380607605,0.22395744919776917,0.42634648084640503,0.22504428029060364,0.5497692227363586,0.2488624006509781,0.49632513523101807,0.23729634284973145,0.18018855154514313,0.3318852186203003,0.5497692227363586,0.1663796454668045,0.26250261068344116,0.49632513523101807,0.5497692227363586,0.1745905876159668,0.12420625239610672,0.47549712657928467,0.2767370045185089
the,0.3733934462070465,0.21101699769496918,0.4174870550632477,0.2864282727241516,1.0,0.26337864995002747,0.733189046382904,0.3423081040382385,0.2150506228208542,0.3825419843196869,1.0,0.28973397612571716,0.27603694796562195,0.733189046382904,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.22068053483963013
work,0.3146236836910248,0.17369131743907928,0.289409875869751,0.26682204008102417,0.2704800069332123,0.6060804724693298,0.23473061621189117,0.13729749619960785,0.29905036091804504,0.2312437742948532,0.2704800069332123,0.1516800969839096,0.28761956095695496,0.23473061621189117,0.2704800069332123,0.08781450986862183,0.06640969961881638,0.266241192817688,0.2621155381202698
of,0.2827862501144409,0.20983272790908813,0.3792596757411957,0.27537038922309875,0.733189046382904,0.1964656114578247,1.0,0.2507138252258301,0.18416832387447357,0.4391688108444214,0.733189046382904,0.23701532185077667,0.24172402918338776,1.0,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,0.1826142966747284
british,0.2666113078594208,0.18203456699848175,0.160093292593956,0.2803803086280823,0.28973397612571716,0.12995171546936035,0.23701532185077667,0.21545198559761047,0.10065519064664841,0.22127242386341095,0.28973397612571716,1.0,0.2164243906736374,0.23701532185077667,0.28973397612571716,0.1269635409116745,0.14896833896636963,0.1984395682811737,0.09711728990077972
artists,0.26669877767562866,0.2261572629213333,0.131669819355011,0.21659569442272186,0.2150506228208542,0.33690065145492554,0.18416832387447357,0.21164581179618835,1.0000001192092896,0.2770400643348694,0.2150506228208542,0.10065519064664841,0.41732892394065857,0.18416832387447357,0.2150506228208542,0.1131405234336853,0.1084657534956932,0.14613932371139526,0.1482434719800949
and,0.41279885172843933,0.18522495031356812,0.4713204801082611,0.24769723415374756,0.5171257257461548,0.33871909976005554,0.5116966962814331,0.24143946170806885,0.22698481380939484,0.3643590211868286,0.5171257257461548,0.325880765914917,0.3095110058784485,0.5116966962814331,0.5171257257461548,0.19040757417678833,0.34093084931373596,0.3739250600337982,0.20544172823429108
craftspeople,0.2979011535644531,0.2498857080936432,0.22908537089824677,0.20975863933563232,0.24489909410476685,0.23426945507526398,0.29132696986198425,0.1679743528366089,0.3459567725658417,0.18723928928375244,0.24489909410476685,0.2091687023639679,0.264509379863739,0.29132696986198425,0.24489909410476685,0.14933377504348755,0.19007013738155365,0.2738509476184845,0.1777069866657257
is,0.24293622374534607,0.15084394812583923,0.41870999336242676,0.16956999897956848,0.5823672413825989,0.30236580967903137,0.4854315221309662,0.16083641350269318,0.15003371238708496,0.23363345861434937,0.5823672413825989,0.19484983384609222,0.16632306575775146,0.4854315221309662,0.5823672413825989,0.16126930713653564,0.08384179323911667,0.658733606338501,0.22961433231830597
