,how,old,was,tesla,when,he,wrote,that,he,'d,completed,his,dynamic,theory,of,gravity,?
tesla,0.19128404557704926,0.13497856259346008,0.16455206274986267,0.9999999403953552,0.1504557579755783,0.12373391538858414,0.13169313967227936,0.22102725505828857,0.12373391538858414,0.1656404584646225,0.15516161918640137,0.1580733060836792,0.20170842111110687,0.25004854798316956,0.18837453424930573,0.2892897129058838,0.10250775516033173
claimed,0.13862073421478271,0.19883576035499573,0.32895320653915405,0.09713935106992722,0.24380207061767578,0.24766956269741058,0.25842002034187317,0.38060468435287476,0.24766956269741058,-0.1300046294927597,0.13918006420135498,0.2649261951446533,0.1680023968219757,0.2237992286682129,0.25888603925704956,0.11596831679344177,0.2083493024110794
to,0.44169697165489197,0.2412436157464981,0.3636345863342285,0.17548894882202148,0.5423505902290344,0.385390967130661,0.18888387084007263,0.5436353087425232,0.385390967130661,0.05016035959124565,0.2867361009120941,0.3715193271636963,0.21834802627563477,0.21947365999221802,0.41548454761505127,0.23946231603622437,0.29463258385658264
have,0.4370637536048889,0.21096763014793396,0.2863433063030243,0.12181562930345535,0.40555819869041443,0.3020331561565399,0.19746194779872894,0.6182622313499451,0.3020331561565399,0.03716495260596275,0.16230647265911102,0.25689181685447693,0.2677883505821228,0.25909456610679626,0.3802283704280853,0.2266221046447754,0.32991164922714233
developed,0.1512427031993866,0.20474722981452942,0.3253139555454254,0.20067144930362701,0.19180624186992645,0.11614217609167099,0.23339581489562988,0.29926979541778564,0.11614217609167099,0.04278597980737686,0.23026928305625916,0.17389048635959625,0.23422490060329437,0.34694910049438477,0.21960023045539856,0.20421473681926727,0.10763012617826462
his,0.24614305794239044,0.2539081573486328,0.4405253231525421,0.1580733060836792,0.37120407819747925,0.7171558737754822,0.37588781118392944,0.3173833191394806,0.7171558737754822,-0.010539223439991474,0.26574116945266724,0.9999998807907104,0.17015551030635834,0.2209872305393219,0.38364991545677185,0.21037867665290833,0.18075084686279297
own,0.3035697042942047,0.18953748047351837,0.19632458686828613,0.17710740864276886,0.3067531883716583,0.26108258962631226,0.2396315485239029,0.37425005435943604,0.26108258962631226,0.043402329087257385,0.18461288511753082,0.4417259395122528,0.17283979058265686,0.23464687168598175,0.3269667625427246,0.19722288846969604,0.1937696635723114
physical,0.3465515077114105,0.12481482326984406,0.15173566341400146,0.20707638561725616,0.20646332204341888,0.1841159164905548,0.10319946706295013,0.30393490195274353,0.1841159164905548,0.11472658812999725,0.15801768004894257,0.1997232735157013,0.39491286873817444,0.32851701974868774,0.3124530017375946,0.31895309686660767,0.11781801283359528
principle,0.31334149837493896,0.031999990344047546,0.14412526786327362,0.26682472229003906,0.252486914396286,0.17004048824310303,0.21679256856441498,0.3780646324157715,0.17004048824310303,0.06794457137584686,0.17897699773311615,0.20258104801177979,0.3165934085845947,0.5460558533668518,0.2430231273174286,0.36069315671920776,0.2002675086259842
regarding,0.31397679448127747,0.11622986942529678,0.19990648329257965,0.18636363744735718,0.25208544731140137,0.15882879495620728,0.18929488956928253,0.40174636244773865,0.15882879495620728,-0.02693546749651432,0.12189320474863052,0.2384527623653412,0.2524411678314209,0.23682573437690735,0.2715161442756653,0.16419613361358643,0.36967232823371887
matter,0.42853933572769165,0.10925175994634628,0.18972504138946533,0.17147119343280792,0.3388529121875763,0.23724457621574402,0.19963935017585754,0.44028252363204956,0.23724457621574402,0.08250652998685837,0.1311405748128891,0.20918509364128113,0.2509092390537262,0.3724932372570038,0.2804143726825714,0.4093186855316162,0.269619345664978
and,0.33647966384887695,0.29022282361984253,0.3740963041782379,0.19560420513153076,0.4716290831565857,0.45427167415618896,0.2975862920284271,0.4731321930885315,0.45427167415618896,0.11159969121217728,0.24284477531909943,0.4234102666378021,0.240245059132576,0.1765792816877365,0.5116966962814331,0.20030911266803741,0.20544172823429108
