,what,is,the,most,snow,fresno,has,ever,had,?
snow,0.16016478836536407,0.2117786705493927,0.20050467550754547,0.14536155760288239,0.9999999403953552,0.20169800519943237,0.19699400663375854,0.19337546825408936,0.13035264611244202,0.1894082874059677
is,0.28837618231773376,1.0,0.5823672413825989,0.41165053844451904,0.2117786705493927,0.2127077877521515,0.5668748617172241,0.26543647050857544,0.2932159900665283,0.22961433231830597
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.3508910834789276,0.24097010493278503,0.22242428362369537,0.4670248031616211,0.27561625838279724,0.34897568821907043,0.23916715383529663
rarity,0.2324102222919464,0.2585090398788452,0.27224910259246826,0.2830193340778351,0.25839105248451233,0.1335631012916565,0.274046927690506,0.2703489661216736,0.2060115486383438,0.1861405074596405
;,0.10986888408660889,0.05324986204504967,0.09152708947658539,0.09552082419395447,-0.009438865818083286,0.05566907674074173,0.05589579790830612,0.1508607566356659,0.036781277507543564,0.10349778085947037
the,0.42745697498321533,0.5823672413825989,1.0,0.47635307908058167,0.20050467550754547,0.22571885585784912,0.4177538752555847,0.3474041819572449,0.3875846862792969,0.22068053483963013
heaviest,0.16518200933933258,0.29803138971328735,0.2789870798587799,0.36648520827293396,0.18483169376850128,0.2106812447309494,0.2134169638156891,0.4082002639770508,0.22813959419727325,0.1654435098171234
snowfall,0.20580187439918518,0.2542133033275604,0.3100071847438812,0.27637067437171936,0.6701810359954834,0.30173569917678833,0.21456727385520935,0.24952059984207153,0.20636145770549774,0.1518937349319458
at,0.2838611304759979,0.25906258821487427,0.457212895154953,0.22451047599315643,0.19427727162837982,0.2645650804042816,0.2743658423423767,0.25535112619400024,0.3288320302963257,0.21978627145290375
the,0.42745697498321533,0.5823672413825989,1.0,0.47635307908058167,0.20050467550754547,0.22571885585784912,0.4177538752555847,0.3474041819572449,0.3875846862792969,0.22068053483963013
airport,0.1263120174407959,0.22916455566883087,0.2293178290128708,0.16346439719200134,0.17127031087875366,0.24522604048252106,0.15171486139297485,0.10369503498077393,0.13656115531921387,0.13105051219463348
was,0.22111038863658905,0.5810302495956421,0.48711544275283813,0.29933857917785645,0.17807328701019287,0.2749030292034149,0.40313825011253357,0.3744584918022156,0.5927209258079529,0.18412111699581146
2.2,0.04471857473254204,-0.12270902842283249,-0.03408137336373329,0.03684350848197937,-0.03984468802809715,-0.01919003576040268,-0.07449304312467575,0.07503683865070343,0.06206316500902176,0.08368320763111115
inches,0.18465489149093628,0.23922942578792572,0.23460479080677032,0.1880532205104828,0.3525340259075165,0.25258195400238037,0.2561728358268738,0.1995943784713745,0.2110844850540161,0.17945347726345062
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.20654040575027466,0.21857203543186188,0.188642680644989,0.2498389035463333,0.2017628252506256,0.16223937273025513,0.40561532974243164
0.06,0.18822786211967468,0.009646768681704998,0.019790541380643845,0.011722870171070099,0.02380744367837906,-0.044525980949401855,0.0467081144452095,-0.011605245061218739,-0.06857260316610336,0.06118573248386383
m,0.23871465027332306,0.22669823467731476,0.15156042575836182,0.08629372715950012,0.15869209170341492,0.10119795799255371,0.1687757819890976,0.12373825907707214,0.1639852225780487,0.2618667185306549
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.23620007932186127,0.23118479549884796,0.20478583872318268,0.26944878697395325,0.23466764390468597,0.17014533281326294,0.42300865054130554
on,0.34226128458976746,0.3635730445384979,0.5107308030128479,0.28303956985473633,0.20982666313648224,0.25826847553253174,0.34604379534721375,0.30485501885414124,0.36692994832992554,0.2714994251728058
january,0.19257698953151703,0.23742131888866425,0.2467057853937149,0.12921540439128876,0.2212485671043396,0.23321998119354248,0.19119103252887726,0.22955623269081116,0.2531641125679016,0.28608936071395874
21,-0.09070611000061035,0.014479056932032108,-0.05849577113986015,-0.0013645634753629565,-0.03757304698228836,0.2117447555065155,-0.013130152598023415,0.05998183414340019,-0.04854939505457878,-0.01186173316091299
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3636029064655304,0.30345797538757324,0.2561432421207428,0.3734780251979828,0.2519058883190155,0.35487717390060425,0.31091248989105225
1962,-0.001027831924147904,0.02814337983727455,-0.023296929895877838,0.018881719559431076,-0.03630051016807556,-0.12004023790359497,-0.025340475142002106,-0.0651279017329216,-0.043449025601148605,-0.008269774727523327
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.35404038429260254,0.25120657682418823,0.2480216920375824,0.4105546176433563,0.3149608373641968,0.37348684668540955,0.4130953550338745
