,what,year,did,doctor,who,win,a,peabody,award,?
in,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.25567495822906494,0.2792111933231354,0.2503834664821625,0.539380669593811,0.23490846157073975,0.23376452922821045,0.20430970191955566
2013,-0.3886653184890747,-0.13568183779716492,-0.264662504196167,0.0035236324183642864,-0.16540901362895966,-0.03308819979429245,-0.3549499809741974,0.08991045504808426,0.03486314415931702,-0.2969330847263336
",",0.3087472915649414,0.28560417890548706,0.3015086054801941,0.20407600700855255,0.3365725874900818,0.2999197840690613,0.427140474319458,0.2541564404964447,0.25078102946281433,0.31091248989105225
the,0.42745697498321533,0.3609684407711029,0.34736719727516174,0.2820442318916321,0.3733934462070465,0.28308698534965515,0.5829201340675354,0.25355321168899536,0.24073810875415802,0.22068053483963013
peabody,0.15878356993198395,0.22262828052043915,0.18037211894989014,0.22406615316867828,0.16998331248760223,0.23193851113319397,0.1885380744934082,1.0,0.4332323968410492,0.20188817381858826
awards,0.1704339236021042,0.3445587456226349,0.1954083889722824,0.16846410930156708,0.22637341916561127,0.3160313665866852,0.18129821121692657,0.4123374819755554,0.8199694752693176,0.2122269868850708
honoured,0.1491292268037796,0.258131206035614,0.2560131251811981,0.20016330480575562,0.29662635922431946,0.2767893373966217,0.23091158270835876,0.2989211082458496,0.41221490502357483,0.1648205667734146
doctor,0.20870667695999146,0.16282056272029877,0.18673314154148102,0.9999999403953552,0.3504868149757385,0.17893455922603607,0.22883038222789764,0.22406615316867828,0.14153583347797394,0.1462511420249939
who,0.40942975878715515,0.2851492762565613,0.34038686752319336,0.3504868149757385,0.9999998807907104,0.25592827796936035,0.36608949303627014,0.16998331248760223,0.20553933084011078,0.26220351457595825
with,0.2464839518070221,0.3220449686050415,0.25472134351730347,0.17277967929840088,0.3282766342163086,0.20612569153308868,0.3783375024795532,0.1034717708826065,0.1764514148235321,0.2433311939239502
an,0.2821882665157318,0.17045794427394867,0.22598257660865784,0.1790127456188202,0.2848317325115204,0.13048674166202545,0.44552403688430786,0.1716860830783844,0.13912445306777954,0.19793890416622162
institutional,0.19519226253032684,0.11646774411201477,0.2038116157054901,0.17135769128799438,0.2494049370288849,0.16225576400756836,0.2516172230243683,0.3537846505641937,0.17086565494537354,0.16612684726715088
