,clergy,are,members,of,what,group,rather,than,of,any,local,congregation,?
clergy,0.9999999403953552,0.2619357407093048,0.2882705628871918,0.2905072271823883,0.21005667746067047,0.1674213856458664,0.25523585081100464,0.17820420861244202,0.2905072271823883,0.25264009833335876,0.2165326178073883,0.5412843823432922,0.14422976970672607
are,0.2619357407093048,1.0,0.31528955698013306,0.39081433415412903,0.29724663496017456,0.35980498790740967,0.325596421957016,0.39206281304359436,0.39081433415412903,0.40178635716438293,0.19665704667568207,0.1911555528640747,0.24591213464736938
members,0.2882705628871918,0.31528955698013306,0.9999998807907104,0.28120753169059753,0.16873176395893097,0.481466144323349,0.1343103051185608,0.1746993064880371,0.28120753169059753,0.20679043233394623,0.14682425558567047,0.3412480354309082,0.10212311148643494
of,0.2905072271823883,0.39081433415412903,0.28120753169059753,1.0,0.33290785551071167,0.25542253255844116,0.3045461177825928,0.33036211133003235,1.0,0.3769088089466095,0.20668989419937134,0.28139111399650574,0.1826142966747284
their,0.3154769539833069,0.46887820959091187,0.32611769437789917,0.4329940676689148,0.35142919421195984,0.31846651434898376,0.38249802589416504,0.30367133021354675,0.4329940676689148,0.3989691734313965,0.22085392475128174,0.21725349128246307,0.1898253709077835
annual,0.15445978939533234,0.13641297817230225,0.2438695728778839,0.29535046219825745,0.14798973500728607,0.1486196219921112,0.17173615097999573,0.19124118983745575,0.29535046219825745,0.1588347852230072,0.19095636904239655,0.2259746938943863,0.1083487942814827
conference,0.20157036185264587,0.1676291674375534,0.2240617722272873,0.19579021632671356,0.15329721570014954,0.20237058401107788,0.09215974062681198,0.1321445256471634,0.19579021632671356,0.1916848123073578,0.17762279510498047,0.24903498589992523,0.11172781884670258
rather,0.25523585081100464,0.325596421957016,0.1343103051185608,0.3045461177825928,0.3923804461956024,0.21904946863651276,1.0,0.6301081776618958,0.3045461177825928,0.5030291676521301,0.20653219521045685,0.20307594537734985,0.3053998053073883
than,0.17820420861244202,0.39206281304359436,0.1746993064880371,0.33036211133003235,0.29388150572776794,0.19962939620018005,0.6301081776618958,1.0,0.33036211133003235,0.4801669418811798,0.13557827472686768,0.16159185767173767,0.24917294085025787
of,0.2905072271823883,0.39081433415412903,0.28120753169059753,1.0,0.33290785551071167,0.25542253255844116,0.3045461177825928,0.33036211133003235,1.0,0.3769088089466095,0.20668989419937134,0.28139111399650574,0.1826142966747284
any,0.25264009833335876,0.40178635716438293,0.20679043233394623,0.3769088089466095,0.43670421838760376,0.2265162616968155,0.5030291676521301,0.4801669418811798,0.3769088089466095,1.0,0.21376349031925201,0.23972781002521515,0.4113408327102661
local,0.2165326178073883,0.19665704667568207,0.14682425558567047,0.20668989419937134,0.18981902301311493,0.17512381076812744,0.20653219521045685,0.13557827472686768,0.20668989419937134,0.21376349031925201,1.0,0.23912112414836884,0.15022775530815125
congregation,0.5412843823432922,0.1911555528640747,0.3412480354309082,0.28139111399650574,0.16460371017456055,0.24518267810344696,0.20307594537734985,0.16159185767173767,0.28139111399650574,0.23972781002521515,0.23912112414836884,1.0000001192092896,0.1875634491443634
",",0.17161379754543304,0.4062570035457611,0.2357054501771927,0.4946078956127167,0.3087472915649414,0.2809832692146301,0.276650071144104,0.3371901512145996,0.4946078956127167,0.3237466514110565,0.20673875510692596,0.2149576097726822,0.31091248989105225
and,0.221731036901474,0.48576638102531433,0.2994427978992462,0.5116966962814331,0.31309178471565247,0.3510662019252777,0.34474092721939087,0.39361441135406494,0.5116966962814331,0.3363793194293976,0.2468787580728531,0.25943896174430847,0.20544172823429108
are,0.2619357407093048,1.0,0.31528955698013306,0.39081433415412903,0.29724663496017456,0.35980498790740967,0.325596421957016,0.39206281304359436,0.39081433415412903,0.40178635716438293,0.19665704667568207,0.1911555528640747,0.24591213464736938
appointed,0.32427072525024414,0.0639224573969841,0.26310160756111145,0.3280673027038574,0.1642993837594986,0.13405422866344452,0.14493703842163086,0.09090133756399155,0.3280673027038574,0.1327744424343109,0.195188507437706,0.2965182363986969,0.13895352184772491
to,0.19316771626472473,0.3504326641559601,0.26617446541786194,0.41548454761505127,0.455847829580307,0.2672896385192871,0.4052407741546631,0.3192550539970398,0.41548454761505127,0.46410247683525085,0.2207600325345993,0.21811531484127045,0.29463258385658264
a,0.19379808008670807,0.265255331993103,0.1873859316110611,0.5052502155303955,0.3320399522781372,0.2594761848449707,0.4061340093612671,0.3126874566078186,0.5052502155303955,0.45031747221946716,0.2435571700334549,0.2073277086019516,0.23916715383529663
