,what,is,the,law,named,that,defines,a,charge,moving,through,a,magnetic,field,?
through,0.23167094588279724,0.27805060148239136,0.44071322679519653,0.15485407412052155,0.15095669031143188,0.3152649402618408,0.1587122529745102,0.3399752974510193,0.21411828696727753,0.3294307291507721,1.0,0.3399752974510193,0.2008192241191864,0.12817496061325073,0.16913433372974396
combining,0.26883453130722046,0.29174765944480896,0.33280646800994873,0.1666698157787323,0.16391529142856598,0.34125763177871704,0.21506774425506592,0.3458866477012634,0.17808859050273895,0.2575238049030304,0.2840985953807831,0.3458866477012634,0.24262388050556183,0.21141381561756134,0.17360594868659973
the,0.42745697498321533,0.5823672413825989,1.0,0.24548950791358948,0.3521348536014557,0.5473989248275757,0.27586790919303894,0.5829201340675354,0.2730984687805176,0.34510132670402527,0.44071322679519653,0.5829201340675354,0.18611927330493927,0.2105809599161148,0.22068053483963013
definition,0.330344021320343,0.29006320238113403,0.23176956176757812,0.2550851106643677,0.08337163925170898,0.36495500802993774,0.6297553181648254,0.2941339910030365,0.19097648561000824,0.18829257786273956,0.12075835466384888,0.2941339910030365,0.2339697629213333,0.15265671908855438,0.2796523869037628
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2816956341266632,0.2820465862751007,0.41498205065727234,0.3077020049095154,0.5052502155303955,0.27586498856544495,0.24795499444007874,0.3647414743900299,0.5052502155303955,0.16237565875053406,0.20410659909248352,0.1826142966747284
electric,0.15451551973819733,0.16143305599689484,0.21345196664333344,0.18823178112506866,0.1088356003165245,0.19867946207523346,0.14279091358184814,0.24061402678489685,0.4219222366809845,0.2550264894962311,0.2337203472852707,0.24061402678489685,0.4703453481197357,0.25460347533226013,0.15674720704555511
current,0.18294453620910645,0.2555285692214966,0.3314409554004669,0.2354726940393448,0.14953391253948212,0.2016455978155136,0.21997737884521484,0.1987239569425583,0.2698366940021515,0.21154358983039856,0.2529658079147339,0.1987239569425583,0.3169170618057251,0.2550705373287201,0.12074550241231918
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.2346976399421692,0.2754245400428772,0.4735107421875,0.29226040840148926,0.39550232887268066,0.20160435140132904,0.2739008069038391,0.24602261185646057,0.39550232887268066,0.1841413378715515,0.21304655075073242,0.27043893933296204
the,0.42745697498321533,0.5823672413825989,1.0,0.24548950791358948,0.3521348536014557,0.5473989248275757,0.27586790919303894,0.5829201340675354,0.2730984687805176,0.34510132670402527,0.44071322679519653,0.5829201340675354,0.18611927330493927,0.2105809599161148,0.22068053483963013
time,0.36319252848625183,0.25187405943870544,0.43061500787734985,0.18298186361789703,0.2282460480928421,0.388528436422348,0.23531365394592285,0.3292340338230133,0.2317633479833603,0.3297528922557831,0.23388558626174927,0.3292340338230133,0.23662376403808594,0.18107864260673523,0.27391523122787476
