,what,does,critically,tapered,mean,?
in,0.30808621644973755,0.214483380317688,0.20778794586658478,0.21247674524784088,0.2099098116159439,0.20430970191955566
the,0.42745697498321533,0.35928019881248474,0.27402061223983765,0.2641606628894806,0.25977957248687744,0.22068053483963013
analog,0.2780171036720276,0.18061470985412598,0.17792150378227234,0.36055585741996765,0.2405576854944229,0.17692391574382782
versions,0.22019806504249573,0.241861492395401,0.20789988338947296,0.2042054384946823,0.2023574262857437,0.2371230572462082
of,0.33290785551071167,0.3119818866252899,0.18378664553165436,0.2508448362350464,0.27551960945129395,0.1826142966747284
these,0.4164220690727234,0.31633180379867554,0.24949246644973755,0.2364482283592224,0.27646246552467346,0.2571668326854706
experiments,0.3106561601161957,0.15086087584495544,0.20539942383766174,0.25289127230644226,0.2025739550590515,0.14564716815948486
",",0.3087472915649414,0.28617382049560547,0.22159625589847565,0.2179810255765915,0.27540135383605957,0.31091248989105225
horizontal,0.17517708241939545,0.1792137771844864,0.09767793118953705,0.4205038547515869,0.24688869714736938,0.11756809055805206
layers,0.24485039710998535,0.17418819665908813,0.13938674330711365,0.37869390845298767,0.15599040687084198,0.09622068703174591
of,0.33290785551071167,0.3119818866252899,0.18378664553165436,0.2508448362350464,0.27551960945129395,0.1826142966747284
sand,0.14369229972362518,0.12800167500972748,0.20612774789333344,0.2790675461292267,0.1754525601863861,0.12981772422790527
are,0.29724663496017456,0.3126322329044342,0.29535922408103943,0.2390606850385666,0.32494738698005676,0.24591213464736938
pulled,0.1901513785123825,0.16230060160160065,0.2340175062417984,0.3285079896450043,0.17516249418258667,0.15093113481998444
along,0.22421957552433014,0.18451251089572906,0.202897310256958,0.3200511932373047,0.12770432233810425,0.17134909331798553
a,0.3320399522781372,0.38201746344566345,0.22033444046974182,0.32591354846954346,0.3427932858467102,0.23916715383529663
lower,0.20079238712787628,0.19989411532878876,0.05281994491815567,0.212911456823349,0.16087062656879425,0.08471795171499252
surface,0.23580394685268402,0.22910720109939575,0.14886705577373505,0.37874746322631836,0.20003455877304077,0.14613434672355652
into,0.2180619090795517,0.22312942147254944,0.17527416348457336,0.2471361756324768,0.2061072587966919,0.15662476420402527
a,0.3320399522781372,0.38201746344566345,0.22033444046974182,0.32591354846954346,0.3427932858467102,0.23916715383529663
back,0.2965294420719147,0.23855993151664734,0.1764144003391266,0.2634381651878357,0.16275659203529358,0.2397768795490265
stop,0.33920153975486755,0.2559136748313904,0.13724114000797272,0.14400720596313477,0.24004918336868286,0.23117060959339142
",",0.3087472915649414,0.28617382049560547,0.22159625589847565,0.2179810255765915,0.27540135383605957,0.31091248989105225
which,0.5261979103088379,0.39111801981925964,0.29575589299201965,0.3429037630558014,0.30633988976478577,0.25814583897590637
results,0.2425258755683899,0.2552628517150879,0.1456620842218399,0.21425412595272064,0.23012273013591766,0.21797199547290802
in,0.30808621644973755,0.214483380317688,0.20778794586658478,0.21247674524784088,0.2099098116159439,0.20430970191955566
realistic-looking,0.44455763697624207,0.3008742332458496,0.24850517511367798,0.278531014919281,0.2859378159046173,0.26138925552368164
patterns,0.2605896592140198,0.226702019572258,0.06807404011487961,0.31417012214660645,0.21468327939510345,0.18855470418930054
of,0.33290785551071167,0.3119818866252899,0.18378664553165436,0.2508448362350464,0.27551960945129395,0.1826142966747284
faulting,0.2964019775390625,0.2308645397424698,0.22698424756526947,0.38708555698394775,0.21526671946048737,0.13321225345134735
and,0.31309178471565247,0.3461615741252899,0.2762947678565979,0.2449508011341095,0.22596950829029083,0.20544172823429108
the,0.42745697498321533,0.35928019881248474,0.27402061223983765,0.2641606628894806,0.25977957248687744,0.22068053483963013
growth,0.1739405393600464,0.18474416434764862,0.22139759361743927,0.2054317444562912,0.11947684735059738,0.07547862827777863
of,0.33290785551071167,0.3119818866252899,0.18378664553165436,0.2508448362350464,0.27551960945129395,0.1826142966747284
a,0.3320399522781372,0.38201746344566345,0.22033444046974182,0.32591354846954346,0.3427932858467102,0.23916715383529663
critically,0.18416038155555725,0.1389954835176468,1.0,0.2249526083469391,0.1583038866519928,0.16329805552959442
tapered,0.17280639708042145,0.17512615025043488,0.2249526083469391,1.0,0.198041632771492,0.13740433752536774
(,0.2411840260028839,0.2728188931941986,0.08313333243131638,0.15688006579875946,0.24319502711296082,0.40561532974243164
all,0.41981086134910583,0.31124600768089294,0.25737428665161133,0.22062265872955322,0.2630939781665802,0.29575422406196594
angles,0.24342551827430725,0.2091052234172821,0.06834497302770615,0.3471640944480896,0.20136968791484833,0.16702334582805634
remain,0.29587244987487793,0.26526638865470886,0.21184545755386353,0.1996028572320938,0.16185437142848969,0.1868363618850708
the,0.42745697498321533,0.35928019881248474,0.27402061223983765,0.2641606628894806,0.25977957248687744,0.22068053483963013
same,0.3764382302761078,0.36572811007499695,0.18607906997203827,0.26682808995246887,0.3045446276664734,0.22649677097797394
),0.26259949803352356,0.2575884759426117,0.09565683454275131,0.15588001906871796,0.2426333725452423,0.42300865054130554
orogenic,0.18539650738239288,0.2050323784351349,0.15323594212532043,0.28225940465927124,0.16947579383850098,0.09268061816692352
wedge,0.18089471757411957,0.18904538452625275,0.15303991734981537,0.4308285117149353,0.13952502608299255,0.13553494215011597
.,0.3567904531955719,0.3022993505001068,0.23477622866630554,0.2122596800327301,0.21881133317947388,0.4130953550338745
