,what,would,a,teacher,do,for,someone,who,is,timid,?
the,0.42745697498321533,0.4133751392364502,0.5829201340675354,0.17760860919952393,0.30239659547805786,0.4739971458911896,0.2575405538082123,0.3733934462070465,0.5823672413825989,0.17932438850402832,0.22068053483963013
function,0.22155974805355072,0.22012533247470856,0.20934805274009705,0.12472493946552277,0.25038179755210876,0.22728246450424194,0.24105902016162872,0.07654127478599548,0.17586156725883484,0.18277901411056519,0.20672395825386047
of,0.33290785551071167,0.3353942930698395,0.5052502155303955,0.19968076050281525,0.26150479912757874,0.4185989499092102,0.18018293380737305,0.2827862501144409,0.4854315221309662,0.13145524263381958,0.1826142966747284
the,0.42745697498321533,0.4133751392364502,0.5829201340675354,0.17760860919952393,0.30239659547805786,0.4739971458911896,0.2575405538082123,0.3733934462070465,0.5823672413825989,0.17932438850402832,0.22068053483963013
teacher,0.20492632687091827,0.18345347046852112,0.31202319264411926,0.9999998807907104,0.1752667874097824,0.23373261094093323,0.2887204587459564,0.35707929730415344,0.2001669555902481,0.18163470923900604,0.1797819435596466
is,0.28837618231773376,0.33626067638397217,0.658733606338501,0.2001669555902481,0.30895981192588806,0.43268078565597534,0.2935047447681427,0.24293622374534607,1.0,0.20268601179122925,0.22961433231830597
to,0.455847829580307,0.5965728163719177,0.45503583550453186,0.1991342306137085,0.38876664638519287,0.4451248347759247,0.38986673951148987,0.42656609416007996,0.42745086550712585,0.30032774806022644,0.29463258385658264
pressure,0.2625555694103241,0.21325212717056274,0.23459996283054352,0.10762496292591095,0.15047042071819305,0.16119280457496643,0.16333307325839996,0.14312592148780823,0.19239991903305054,0.19446009397506714,0.142023503780365
the,0.42745697498321533,0.4133751392364502,0.5829201340675354,0.17760860919952393,0.30239659547805786,0.4739971458911896,0.2575405538082123,0.3733934462070465,0.5823672413825989,0.17932438850402832,0.22068053483963013
lazy,0.2879173457622528,0.28045278787612915,0.19768573343753815,0.1953442096710205,0.3069643974304199,0.14776597917079926,0.3125247359275818,0.29805663228034973,0.167913556098938,0.40553250908851624,0.3178199529647827
",",0.3087472915649414,0.32586824893951416,0.427140474319458,0.2884024977684021,0.3283645510673523,0.4464869201183319,0.23755213618278503,0.3365725874900818,0.4691906273365021,0.12475907802581787,0.31091248989105225
inspire,0.2521146535873413,0.3602150082588196,0.22455820441246033,0.28873738646507263,0.20084689557552338,0.25716227293014526,0.23293067514896393,0.2785986661911011,0.15687884390354156,0.21003542840480804,0.2100588083267212
