,what,nationality,are,researchers,richard,g.,wilkinson,and,kate,pickett,?
british,0.19255435466766357,0.3241701126098633,0.12250547111034393,0.15119941532611847,0.2825213372707367,0.08820901066064835,0.2771887183189392,0.325880765914917,0.18511849641799927,0.30543413758277893,0.09711728990077972
researchers,0.29493099451065063,0.17008544504642487,0.33773449063301086,1.0,0.1373448222875595,0.07986907660961151,0.25939324498176575,0.2865251898765564,0.14663094282150269,0.16466809809207916,0.14480042457580566
richard,0.19329693913459778,0.15408018231391907,0.12684200704097748,0.1373448222875595,0.9999999403953552,0.11084184050559998,0.3072867691516876,0.22443673014640808,0.27274104952812195,0.32225584983825684,0.15003317594528198
g.,0.07836534082889557,0.062184061855077744,0.0444214902818203,0.07986907660961151,0.11084184050559998,0.9999999403953552,0.09484481811523438,0.036207571625709534,0.12887509167194366,0.01827947050333023,0.1585112065076828
wilkinson,0.19103412330150604,0.12227408587932587,0.14260241389274597,0.25939324498176575,0.3072867691516876,0.09484481811523438,1.0000001192092896,0.32041966915130615,0.3141983449459076,0.3709461987018585,0.16808927059173584
and,0.31309178471565247,0.23912757635116577,0.48576638102531433,0.2865251898765564,0.22443673014640808,0.036207571625709534,0.32041966915130615,1.0,0.2076733410358429,0.24974514544010162,0.20544172823429108
kate,0.1822696328163147,0.12794360518455505,0.15677955746650696,0.14663094282150269,0.27274104952812195,0.12887509167194366,0.3141983449459076,0.2076733410358429,0.9999999403953552,0.278277724981308,0.13810789585113525
pickett,0.21149326860904694,0.16227740049362183,0.13519151508808136,0.16466809809207916,0.32225584983825684,0.01827947050333023,0.3709461987018585,0.24974514544010162,0.278277724981308,0.9999998807907104,0.19584017992019653
have,0.39808809757232666,0.22860844433307648,0.6577680706977844,0.4150187373161316,0.15283441543579102,0.046953726559877396,0.18314479291439056,0.4711785912513733,0.1323370337486267,0.16174066066741943,0.32991164922714233
found,0.1796332150697708,0.07359667122364044,0.2740558087825775,0.3284686207771301,0.10971421748399734,0.018819760531187057,0.20864316821098328,0.27978911995887756,0.15959884226322174,0.07716769725084305,0.16790300607681274
higher,0.2538340389728546,0.15367411077022552,0.2964613437652588,0.2752567231655121,0.07836497575044632,-0.01649443618953228,0.14293286204338074,0.3147866129875183,0.06546997278928757,0.11760818213224411,0.15679465234279633
rates,0.2148645967245102,0.2001972794532776,0.2806459367275238,0.30384811758995056,0.08292075991630554,0.00045350228901952505,0.1519581526517868,0.2589600086212158,0.12285072356462479,0.10206524282693863,0.13808594644069672
of,0.33290785551071167,0.16924145817756653,0.39081433415412903,0.23457743227481842,0.2227524220943451,0.08489017188549042,0.21511130034923553,0.5116966962814331,0.08729267120361328,0.17273010313510895,0.1826142966747284
health,0.21460163593292236,0.14058037102222443,0.19031372666358948,0.3263973891735077,0.10134519636631012,0.08543162047863007,0.2323635369539261,0.3215619623661041,0.09731198847293854,0.1474691778421402,0.16094304621219635
and,0.31309178471565247,0.23912757635116577,0.48576638102531433,0.2865251898765564,0.22443673014640808,0.036207571625709534,0.32041966915130615,1.0,0.2076733410358429,0.24974514544010162,0.20544172823429108
