,when,was,the,defeat,of,napoleonic,france,?
following,0.3263498842716217,0.16493390500545502,0.39779382944107056,0.19693797826766968,0.3576679527759552,0.2170911580324173,0.24970202147960663,0.1555173695087433
the,0.5091903209686279,0.48711544275283813,1.0,0.3182816207408905,0.733189046382904,0.3454553186893463,0.35517507791519165,0.22068053483963013
defeat,0.1783166080713272,0.24067381024360657,0.3182816207408905,1.0000001192092896,0.2543899118900299,0.40232953429222107,0.18801891803741455,0.12980464100837708
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.2543899118900299,1.0,0.30423519015312195,0.3265724182128906,0.1826142966747284
napoleonic,0.22443579137325287,0.29455363750457764,0.3454553186893463,0.40232953429222107,0.30423519015312195,1.0000001192092896,0.4153692424297333,0.1231880784034729
france,0.24438227713108063,0.2715669870376587,0.35517507791519165,0.18801891803741455,0.3265724182128906,0.4153692424297333,1.0000001192092896,0.15069349110126495
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.2583656907081604,0.5696388483047485,0.3043226897716522,0.3812309503555298,0.20430970191955566
1815,0.028235681354999542,-0.038320623338222504,0.00013407401274889708,-0.0903928130865097,-0.03185788542032242,-0.15248258411884308,-0.08101315051317215,0.03588240221142769
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.2394917905330658,0.4946078956127167,0.218059241771698,0.28250643610954285,0.31091248989105225
britain,0.21153636276721954,0.27792006731033325,0.29784059524536133,0.25955432653427124,0.28899943828582764,0.37208473682403564,0.41256818175315857,0.1268460750579834
enjoyed,0.266980916261673,0.30421683192253113,0.18685349822044373,0.11529930680990219,0.21542632579803467,0.19277217984199524,0.2231873720884323,0.09301155805587769
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.14495371282100677,0.5052502155303955,0.18904633820056915,0.24802380800247192,0.23916715383529663
century,0.22992412745952606,0.3521432876586914,0.3617299497127533,0.17289426922798157,0.2826060354709625,0.3801301419734955,0.2201867252588272,0.1026201918721199
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.2543899118900299,1.0,0.30423519015312195,0.3265724182128906,0.1826142966747284
almost,0.3277508616447449,0.2474903166294098,0.3341992199420929,0.20352394878864288,0.3144364058971405,0.20945367217063904,0.16063165664672852,0.1372147500514984
unchallenged,0.2701813578605652,0.26373380422592163,0.3039516806602478,0.31916019320487976,0.3076111078262329,0.18400683999061584,0.14922180771827698,0.24846743047237396
dominance,0.23594610393047333,0.2191644161939621,0.3841419219970703,0.35259392857551575,0.3554438352584839,0.27678215503692627,0.1636711061000824,0.08315658569335938
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.23815137147903442,0.5116966962814331,0.2513571083545685,0.2925812005996704,0.20544172823429108
expanded,0.19404000043869019,0.23690104484558105,0.3258892893791199,0.16533063352108002,0.2764764726161957,0.2625027894973755,0.1326730102300644,0.2124357968568802
its,0.34032323956489563,0.3518870174884796,0.559237003326416,0.13297337293624878,0.48690423369407654,0.30063074827194214,0.21158620715141296,0.15103481709957123
imperial,0.19296634197235107,0.2417704313993454,0.3074202835559845,0.16794095933437347,0.3205159604549408,0.3042593002319336,0.18254666030406952,0.10900196433067322
holdings,0.12783844769001007,0.15746454894542694,0.1920640915632248,0.13040286302566528,0.23571044206619263,0.15179719030857086,0.1613761931657791,0.14412938058376312
around,0.39192935824394226,0.24039418995380402,0.40085816383361816,0.10253042727708817,0.3296394646167755,0.16102458536624908,0.1687532663345337,0.14729668200016022
the,0.5091903209686279,0.48711544275283813,1.0,0.3182816207408905,0.733189046382904,0.3454553186893463,0.35517507791519165,0.22068053483963013
globe,0.2599799335002899,0.20021694898605347,0.23490066826343536,0.07671067863702774,0.16826239228248596,0.20497164130210876,0.2380530834197998,0.2011069655418396
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.17890939116477966,0.5352458953857422,0.26654404401779175,0.33719199895858765,0.4130953550338745
