,when,did,tesla,give,a,demonstration,of,his,remote,control,boat,?
in,0.4431333839893341,0.2593238651752472,0.17097744345664978,0.20895415544509888,0.539380669593811,0.27814018726348877,0.5696388483047485,0.3598145842552185,0.1905011087656021,0.24831421673297882,0.1934967190027237,0.20430970191955566
1898,0.08535471558570862,0.1733023226261139,0.08405125141143799,0.11866167932748795,0.0003900002338923514,-0.04484476521611214,-0.07027497887611389,0.08455253392457962,0.08735443651676178,0.048909951001405716,0.12478993088006973,0.1948045939207077
",",0.36674630641937256,0.3015086054801941,0.20599327981472015,0.2844066619873047,0.427140474319458,0.27810192108154297,0.4946078956127167,0.3378419280052185,0.17760731279850006,0.20811550319194794,0.21446914970874786,0.31091248989105225
tesla,0.1504557579755783,0.09757418930530548,0.9999999403953552,0.14904707670211792,0.2211925983428955,0.33262601494789124,0.18837453424930573,0.1580733060836792,0.15534555912017822,0.17258068919181824,0.11209569126367569,0.10250775516033173
demonstrated,0.2665591835975647,0.2299390286207199,0.28413429856300354,0.202504962682724,0.22847095131874084,0.8073047995567322,0.21852713823318481,0.21185308694839478,0.16917447745800018,0.2191915363073349,0.0791049674153328,0.1947716772556305
a,0.44397395849227905,0.2552328109741211,0.2211925983428955,0.3436131179332733,1.0,0.26581549644470215,0.5052502155303955,0.3497250974178314,0.23404860496520996,0.21056023240089417,0.26391369104385376,0.23916715383529663
radio-controlled,0.373180091381073,0.26208099722862244,0.30134809017181396,0.24834439158439636,0.2871798574924469,0.2743142247200012,0.291298508644104,0.1916787028312683,0.4132380485534668,0.6584668755531311,0.21700245141983032,0.18487884104251862
boat—which,0.31517940759658813,0.28215816617012024,0.2525395154953003,0.22285041213035583,0.44769349694252014,0.23147496581077576,0.34599488973617554,0.38040614128112793,0.24387048184871674,0.25144827365875244,0.732565701007843,0.2530039846897125
he,0.39115971326828003,0.3292143940925598,0.12373391538858414,0.18745993077754974,0.4393508732318878,0.23625464737415314,0.38706058263778687,0.7171558737754822,0.13195154070854187,0.21508142352104187,0.2337060123682022,0.2089974731206894
dubbed,0.15444974601268768,0.17194032669067383,0.08619885891675949,0.07762037962675095,0.2190144658088684,0.22247953712940216,0.22469881176948547,0.1871110498905182,0.17844179272651672,0.19433189928531647,0.10136682540178299,0.14647041261196136
``,0.07174111902713776,-0.029888948425650597,0.04274534806609154,0.06498900055885315,0.07272057235240936,0.02130320481956005,0.06780257821083069,0.008275155909359455,0.027302391827106476,0.03700508549809456,-0.0019328135531395674,0.0685480609536171
teleautomaton,0.2788163125514984,0.21322952210903168,0.3543044924736023,0.2893525958061218,0.3045205771923065,0.20305919647216797,0.23006278276443481,0.15911081433296204,0.22555626928806305,0.18707531690597534,0.1617487668991089,0.29741448163986206
'',-0.07688097655773163,0.01978493109345436,0.048713020980358124,0.0572582483291626,0.04890415817499161,-0.06051810085773468,0.13035868108272552,0.016508836299180984,0.004794520325958729,0.054541170597076416,-0.10054222494363785,0.018684765323996544
—to,0.24726450443267822,0.19510534405708313,0.18563257157802582,0.1379496455192566,0.20804157853126526,0.16571953892707825,0.17643523216247559,0.126994788646698,0.17750445008277893,0.1420658677816391,0.08405610918998718,0.3152444362640381
