,what,is,the,estimate,for,the,amount,of,tree,species,in,the,amazon,tropical,rain,forest,?
the,0.42745697498321533,0.5823672413825989,1.0,0.24080884456634521,0.4739971458911896,1.0,0.3336862325668335,0.733189046382904,0.2565799951553345,0.2522439956665039,0.6662389636039734,1.0,0.260541707277298,0.18640398979187012,0.238019198179245,0.24134553968906403,0.22068053483963013
amazon,0.16355936229228973,0.15197539329528809,0.260541707277298,0.20253176987171173,0.165912926197052,0.260541707277298,0.1940114051103592,0.20143137872219086,0.20608896017074585,0.2994495630264282,0.12227833271026611,0.260541707277298,1.0000001192092896,0.3167080283164978,0.2587697505950928,0.26471444964408875,0.18144656717777252
represents,0.18834242224693298,0.3905610740184784,0.3328246772289276,0.17850124835968018,0.26218849420547485,0.3328246772289276,0.18074160814285278,0.3967677056789398,0.2376122921705246,0.18509241938591003,0.28071391582489014,0.3328246772289276,0.13313208520412445,0.10034669935703278,0.12865334749221802,0.1205209270119667,0.1586666852235794
over,0.28007611632347107,0.2159561663866043,0.39856547117233276,0.23955202102661133,0.3419422209262848,0.39856547117233276,0.3027430474758148,0.36136594414711,0.23550398647785187,0.26368066668510437,0.3605569899082184,0.39856547117233276,0.18121705949306488,0.2097383439540863,0.23348848521709442,0.1812811940908432,0.25742942094802856
half,0.13016436994075775,0.2514667510986328,0.3189295828342438,0.23933418095111847,0.21664121747016907,0.3189295828342438,0.23315510153770447,0.2784358561038971,0.17487800121307373,0.1821940839290619,0.25644969940185547,0.3189295828342438,0.15001718699932098,0.08462082594633102,0.11911406368017197,0.10135584324598312,0.07471233606338501
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2585934102535248,0.4185989499092102,0.733189046382904,0.2541177570819855,1.0,0.23309285938739777,0.23307405412197113,0.5696388483047485,0.733189046382904,0.20143137872219086,0.18125450611114502,0.22789213061332703,0.2309139519929886,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.24080884456634521,0.4739971458911896,1.0,0.3336862325668335,0.733189046382904,0.2565799951553345,0.2522439956665039,0.6662389636039734,1.0,0.260541707277298,0.18640398979187012,0.238019198179245,0.24134553968906403,0.22068053483963013
planet,0.2183026820421219,0.2221219539642334,0.2470240592956543,0.19323024153709412,0.1996491700410843,0.2470240592956543,0.22273384034633636,0.19911958277225494,0.19656263291835785,0.27218860387802124,0.18041402101516724,0.2470240592956543,0.2702961564064026,0.2664235532283783,0.20835620164871216,0.20042084157466888,0.16979767382144928
's,0.02692362666130066,0.02396530658006668,-0.01540423184633255,0.002696389565244317,-0.07241261005401611,-0.01540423184633255,0.051227446645498276,-0.03817026689648628,0.024339331313967705,0.050785817205905914,-0.037580832839012146,-0.01540423184633255,0.062328040599823,0.09045867621898651,0.12072252482175827,0.006216650828719139,-0.023395681753754616
remaining,0.21802754700183868,0.24525704979896545,0.45105910301208496,0.20112206041812897,0.27834343910217285,0.45105910301208496,0.23550862073898315,0.3693024218082428,0.18947537243366241,0.20874924957752228,0.3161192238330841,0.45105910301208496,0.15604780614376068,0.16802559792995453,0.21732297539710999,0.2815878987312317,0.16961920261383057
