,what,did,tesla,work,as,after,dropping,out,?
tesla,0.23221199214458466,0.09757418930530548,0.9999999403953552,0.2545209228992462,0.10285310447216034,0.0752151682972908,0.09967735409736633,0.2017683982849121,0.10250775516033173
went,0.20164033770561218,0.4810470640659332,0.028210537508130074,0.23569436371326447,0.21750199794769287,0.3585346043109894,0.2549706995487213,0.2536795139312744,0.12109432369470596
to,0.455847829580307,0.4452643394470215,0.17548894882202148,0.3482864499092102,0.42092081904411316,0.37890323996543884,0.26671257615089417,0.42386990785598755,0.29463258385658264
maribor,0.1174127608537674,0.12977203726768494,0.27573591470718384,0.13297578692436218,0.05401680991053581,0.20967330038547516,0.1525575816631317,0.13762937486171722,0.11120094358921051
(,0.2411840260028839,0.18979617953300476,0.2156914919614792,0.22960703074932098,0.32029855251312256,0.2132600098848343,0.1551409661769867,0.20017710328102112,0.40561532974243164
now,0.4903225302696228,0.2646316885948181,0.26316559314727783,0.32902517914772034,0.3483183979988098,0.30156397819519043,0.16671717166900635,0.24748125672340393,0.29641881585121155
in,0.30808621644973755,0.2593238651752472,0.17097744345664978,0.2753349542617798,0.3887844979763031,0.44050168991088867,0.1981930136680603,0.3576207756996155,0.20430970191955566
slovenia,0.184616819024086,0.10516121238470078,0.3300865590572357,0.09864126145839691,0.09528034925460815,0.18057328462600708,0.16822342574596405,0.16680429875850677,0.13889609277248383
),0.26259949803352356,0.18584993481636047,0.22692398726940155,0.251366525888443,0.32161882519721985,0.24162524938583374,0.1624412089586258,0.20875944197177887,0.42300865054130554
",",0.3087472915649414,0.3015086054801941,0.20599327981472015,0.3283594250679016,0.48816442489624023,0.38860568404197693,0.26537224650382996,0.3161109685897827,0.31091248989105225
where,0.4457937180995941,0.24159270524978638,0.12761090695858002,0.2737104296684265,0.35409465432167053,0.31753596663475037,0.27459287643432617,0.4094439148902893,0.24793872237205505
he,0.3114890456199646,0.3292143940925598,0.12373391538858414,0.3134653568267822,0.33787044882774353,0.3936046361923218,0.1833810657262802,0.29240235686302185,0.2089974731206894
worked,0.168898344039917,0.3377852141857147,0.15985111892223358,0.5897743105888367,0.30257344245910645,0.20892584323883057,0.15757793188095093,0.18318021297454834,0.0901828184723854
as,0.31749409437179565,0.3596470057964325,0.10285310447216034,0.32418152689933777,1.0,0.3014480769634247,0.2526005506515503,0.3124499022960663,0.27043893933296204
a,0.3320399522781372,0.2552328109741211,0.2211925983428955,0.266241192817688,0.39550232887268066,0.3831600844860077,0.28500896692276,0.34264278411865234,0.23916715383529663
draftsman,0.1719636470079422,0.2419973909854889,0.24013198912143707,0.30046728253364563,0.28683093190193176,0.1948302537202835,0.23709487915039062,0.17825181782245636,0.1333959698677063
for,0.3017193675041199,0.318512886762619,0.13983871042728424,0.4087657630443573,0.44774648547172546,0.3650246858596802,0.294933021068573,0.3312093913555145,0.264628142118454
60,0.07328611612319946,0.009732695296406746,0.06023029237985611,0.07546765357255936,0.024229904636740685,-0.006973931100219488,0.00539005734026432,0.03181605786085129,0.06999651342630386
florins,0.1347934454679489,0.14970612525939941,0.17479294538497925,0.18523383140563965,0.21218493580818176,0.17801465094089508,0.23789961636066437,0.2171124368906021,0.1359061747789383
a,0.3320399522781372,0.2552328109741211,0.2211925983428955,0.266241192817688,0.39550232887268066,0.3831600844860077,0.28500896692276,0.34264278411865234,0.23916715383529663
month,0.21444633603096008,0.19685830175876617,0.1450187712907791,0.17492033541202545,0.18719203770160675,0.2723853290081024,0.1829822063446045,0.20629318058490753,0.23961511254310608
.,0.3567904531955719,0.35288307070732117,0.17949827015399933,0.33121398091316223,0.515582263469696,0.35870397090911865,0.28707560896873474,0.34234723448753357,0.4130953550338745
