,what,is,the,saxon,garden,in,polish,?
nearby,0.13611137866973877,0.19478072226047516,0.2903098165988922,0.23188088834285736,0.19677609205245972,0.3131678104400635,0.10412218421697617,0.07977716624736786
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.18075740337371826,0.2712799608707428,0.5201468467712402,0.2655222415924072,0.31091248989105225
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.20249444246292114,0.22543586790561676,1.0,0.1896398365497589,0.20430970191955566
ogród,0.2250465601682663,0.17554713785648346,0.20384527742862701,0.12227378040552139,0.15478438138961792,0.14096450805664062,0.18889786303043365,0.21530838310718536
saski,0.1422128528356552,0.11302364617586136,0.21035519242286682,0.20665669441223145,0.11011247336864471,0.1933269500732422,0.5187876224517822,0.12796473503112793
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.10493797063827515,0.22906486690044403,0.3087427020072937,0.19593769311904907,0.40561532974243164
the,0.42745697498321533,0.5823672413825989,1.0,0.26529496908187866,0.23359008133411407,0.6662389636039734,0.17708231508731842,0.22068053483963013
saxon,0.19151967763900757,0.1688651442527771,0.26529496908187866,1.0,0.11441575735807419,0.20249444246292114,0.28053414821624756,0.14814330637454987
garden,0.20641201734542847,0.21094022691249847,0.23359008133411407,0.11441575735807419,1.0,0.22543586790561676,0.0656440481543541,0.16720405220985413
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.0941987857222557,0.23771566152572632,0.3326910734176636,0.2044559121131897,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.18075740337371826,0.2712799608707428,0.5201468467712402,0.2655222415924072,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.26529496908187866,0.23359008133411407,0.6662389636039734,0.17708231508731842,0.22068053483963013
summer,0.16213102638721466,0.17436888813972473,0.2685571610927582,0.12328892946243286,0.2038572132587433,0.31081318855285645,0.15192607045173645,0.11625723540782928
theatre,0.12211663275957108,0.17514966428279877,0.25594043731689453,0.13968557119369507,0.2483109086751938,0.26776230335235596,0.2685227692127228,0.1159285232424736
was,0.22111038863658905,0.5810302495956421,0.48711544275283813,0.19406339526176453,0.2112511396408081,0.45514053106307983,0.2319551259279251,0.18412111699581146
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.20249444246292114,0.22543586790561676,1.0,0.1896398365497589,0.20430970191955566
operation,0.22083862125873566,0.2013072669506073,0.2985492944717407,0.15445080399513245,0.20308613777160645,0.26394933462142944,0.17105728387832642,0.12387953698635101
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.19467100501060486,0.15750117599964142,0.4274188280105591,0.24760311841964722,0.19969791173934937
1870,0.05560911446809769,-0.06546441465616226,-0.010778824798762798,0.018872680142521858,-0.011476864106953144,0.10756519436836243,0.10335046797990799,0.0628947839140892
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.1913498193025589,0.19790683686733246,0.45010748505592346,0.1475636065006256,0.29463258385658264
1939,0.11055738478899002,0.1788119077682495,0.3322303593158722,0.03868689760565758,-0.0052603790536522865,0.23226740956306458,0.09978445619344711,-0.0777229517698288
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.18075740337371826,0.2712799608707428,0.5201468467712402,0.2655222415924072,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2217492312192917,0.2236175239086151,0.4954058527946472,0.2486540973186493,0.20544172823429108
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.20249444246292114,0.22543586790561676,1.0,0.1896398365497589,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.26529496908187866,0.23359008133411407,0.6662389636039734,0.17708231508731842,0.22068053483963013
inter-war,0.2985334098339081,0.24341855943202972,0.3546973168849945,0.1814996749162674,0.12455561012029648,0.28345438838005066,0.21654635667800903,0.2168840914964676
