,informal,imperialism,is,still,dominant,;,however,",",less,what,?
``,0.04999909549951553,0.050459738820791245,0.058766357600688934,-0.018793758004903793,0.2067836970090866,-0.03673741593956947,0.035520195960998535,0.09681109338998795,0.12711580097675323,0.008517155423760414,0.0685480609536171
informal,0.9999998807907104,0.27093014121055603,0.23649168014526367,0.2560039758682251,0.16613377630710602,0.0933678075671196,0.2915976941585541,0.26789841055870056,0.1858418732881546,0.31096258759498596,0.17082542181015015
imperialism,0.27093014121055603,1.0,0.13894762098789215,0.2510834336280823,0.21243733167648315,0.07434786111116409,0.28847217559814453,0.2420617640018463,0.15566295385360718,0.24614648520946503,0.14998586475849152
'',0.09163334220647812,-0.013202380388975143,0.0793738141655922,-0.06721267104148865,0.04016246646642685,0.026332683861255646,-0.049120448529720306,-0.037358131259679794,-0.0026206099428236485,0.08143015950918198,0.018684765323996544
is,0.23649168014526367,0.13894762098789215,1.0,0.3574111759662628,0.2622844874858856,0.05324986204504967,0.33769986033439636,0.4691906273365021,0.3123510479927063,0.28837618231773376,0.22961433231830597
less,0.1858418732881546,0.15566295385360718,0.3123510479927063,0.3871592581272125,0.25841325521469116,0.02743331529200077,0.4301510155200958,0.28111666440963745,1.0,0.31119704246520996,0.22418740391731262
direct,0.2064548283815384,0.20882147550582886,0.20874382555484772,0.2030002474784851,0.1858474612236023,-0.01977374218404293,0.3484562337398529,0.20868940651416779,0.2614041566848755,0.26271191239356995,0.18476411700248718
;,0.0933678075671196,0.07434786111116409,0.05324986204504967,0.10020758211612701,0.1012616828083992,0.9999998807907104,0.10603994876146317,0.04938793554902077,0.02743331529200077,0.10986888408660889,0.10349778085947037
however,0.2915976941585541,0.28847217559814453,0.33769986033439636,0.5947250127792358,0.3651884198188782,0.10603994876146317,1.0,0.4037865996360779,0.4301510155200958,0.4480680823326111,0.2152075469493866
",",0.26789841055870056,0.2420617640018463,0.4691906273365021,0.35217106342315674,0.23045329749584198,0.04938793554902077,0.4037865996360779,1.0000001192092896,0.28111666440963745,0.3087472915649414,0.31091248989105225
it,0.16448763012886047,0.1997520625591278,0.6328473687171936,0.4413336217403412,0.18656954169273376,0.08263079822063446,0.467002272605896,0.48329564929008484,0.3841782212257385,0.45803478360176086,0.25732165575027466
is,0.23649168014526367,0.13894762098789215,1.0,0.3574111759662628,0.2622844874858856,0.05324986204504967,0.33769986033439636,0.4691906273365021,0.3123510479927063,0.28837618231773376,0.22961433231830597
still,0.2560039758682251,0.2510834336280823,0.3574111759662628,1.0,0.27534353733062744,0.10020758211612701,0.5947250127792358,0.35217106342315674,0.3871592581272125,0.4548931419849396,0.3039587736129761
a,0.281781941652298,0.17335295677185059,0.658733606338501,0.3478926122188568,0.252237468957901,-0.02122584730386734,0.38150349259376526,0.427140474319458,0.3475147485733032,0.3320399522781372,0.23916715383529663
powerful,0.16032616794109344,0.2640968859195709,0.22661225497722626,0.24871030449867249,0.2726146876811981,0.15186837315559387,0.3416196405887604,0.19557704031467438,0.2971501052379608,0.20215895771980286,0.12160622328519821
form,0.13118405640125275,0.1891220360994339,0.3218395411968231,0.22599326074123383,0.2564728558063507,-0.034128013998270035,0.35340234637260437,0.21805599331855774,0.27480608224868774,0.15868011116981506,0.1463010311126709
of,0.2598820626735687,0.29240643978118896,0.4854315221309662,0.3288819193840027,0.3018357455730438,0.054534342139959335,0.3800618350505829,0.4946078956127167,0.30836719274520874,0.33290785551071167,0.1826142966747284
dominance,0.2526051700115204,0.2979675531387329,0.20233985781669617,0.24357326328754425,0.7999671697616577,0.09486843645572662,0.37027156352996826,0.21292094886302948,0.2778632640838623,0.27423277497291565,0.08315658569335938
.,0.19334393739700317,0.22279119491577148,0.4569662809371948,0.38162845373153687,0.20357714593410492,0.09254473447799683,0.41633930802345276,0.6812511086463928,0.32668155431747437,0.3567904531955719,0.4130953550338745
