,what,are,the,wave-particles,called,that,mediate,all,electromagnetic,phenomena,?
this,0.5489566326141357,0.35762670636177063,0.6274310946464539,0.3485265076160431,0.41327622532844543,0.6909449696540833,0.35001614689826965,0.4746263027191162,0.3010253310203552,0.279501348733902,0.3155723512172699
final,0.20972409844398499,0.08450794965028763,0.3543182611465454,0.1192254051566124,0.16723144054412842,0.2579914331436157,0.2066626101732254,0.222634419798851,0.06132052093744278,0.1247989684343338,0.17315025627613068
modification,0.23004505038261414,0.24214234948158264,0.2607528269290924,0.2348104864358902,0.19638893008232117,0.2883821427822113,0.31158798933029175,0.23277397453784943,0.23054800927639008,0.25906968116760254,0.27161240577697754
to,0.455847829580307,0.3504326641559601,0.535392165184021,0.2826666831970215,0.2987143397331238,0.5436353087425232,0.37819257378578186,0.42520734667778015,0.23683054745197296,0.2164914757013321,0.29463258385658264
electromagnetic,0.263467937707901,0.2411419302225113,0.22307927906513214,0.6737439036369324,0.17786213755607605,0.3105611503124237,0.20418721437454224,0.22831204533576965,0.9999999403953552,0.46690481901168823,0.16735313832759857
theory,0.297923743724823,0.1918308287858963,0.2277156263589859,0.38154464960098267,0.2556686997413635,0.36183905601501465,0.18482819199562073,0.21550370752811432,0.4076195955276489,0.42064031958580017,0.1387292891740799
ultimately,0.3084288239479065,0.2003585696220398,0.38258427381515503,0.2549841105937958,0.17955273389816284,0.3628302216529846,0.3118765652179718,0.36904776096343994,0.16878041625022888,0.16992290318012238,0.18806859850883484
led,0.12112844735383987,0.16632264852523804,0.3267505168914795,0.1921912133693695,0.30865535140037537,0.20931211113929749,0.24514172971248627,0.2386244237422943,0.22081585228443146,0.1936909407377243,0.09273858368396759
to,0.455847829580307,0.3504326641559601,0.535392165184021,0.2826666831970215,0.2987143397331238,0.5436353087425232,0.37819257378578186,0.42520734667778015,0.23683054745197296,0.2164914757013321,0.29463258385658264
quantum,0.3095471262931824,0.2200530767440796,0.21868084371089935,0.5673496127128601,0.1843765527009964,0.2914109230041504,0.22892582416534424,0.20477336645126343,0.5581525564193726,0.4654572606086731,0.20770002901554108
electrodynamics,0.27658751606941223,0.23070897161960602,0.23366330564022064,0.6107916235923767,0.22052355110645294,0.3028911352157593,0.2541591227054596,0.23216612637043,0.721153736114502,0.5128039121627808,0.2337964028120041
(,0.2411840260028839,0.23263892531394958,0.33289089798927307,0.20974689722061157,0.2546432614326477,0.2264307141304016,0.183782160282135,0.28167209029197693,0.20281101763248444,0.16249005496501923,0.40561532974243164
or,0.33867141604423523,0.5374364256858826,0.4174870550632477,0.3529525101184845,0.4293559193611145,0.4729836881160736,0.31288763880729675,0.3321593105792999,0.2656271159648895,0.30911383032798767,0.32389625906944275
qed,0.3207542896270752,0.253395140171051,0.2213943600654602,0.48477333784103394,0.3379403054714203,0.37634581327438354,0.18278716504573822,0.24238473176956177,0.4587571322917938,0.30513226985931396,0.2933664619922638
