,who,first,proved,bertrand,'s,postulate,?
the,0.3733934462070465,0.49448907375335693,0.2359304130077362,0.21314574778079987,-0.01540423184633255,0.29464417695999146,0.22068053483963013
latter,0.2628699243068695,0.25898680090904236,0.1475960910320282,0.23826363682746887,0.09834528714418411,0.2156885862350464,0.12733961641788483
formula,0.13167959451675415,0.20383888483047485,0.19234730303287506,0.19539259374141693,0.07357185333967209,0.29436784982681274,0.16194304823875427
can,0.2602734863758087,0.24635975062847137,0.24296149611473083,0.10228849947452545,-0.02075597457587719,0.2483651041984558,0.3226337134838104
be,0.3371641933917999,0.29818081855773926,0.3143925070762634,0.1785547137260437,0.025217169895768166,0.272475928068161,0.3324260413646698
shown,0.16586925089359283,0.2713989019393921,0.3083605170249939,0.1123642697930336,-0.028585107997059822,0.21752934157848358,0.2433658242225647
using,0.24094825983047485,0.30465447902679443,0.25865671038627625,0.09463084489107132,-0.029558077454566956,0.27465030550956726,0.2804589569568634
bertrand,0.27186158299446106,0.30489930510520935,0.22282609343528748,1.0,-0.063820980489254,0.3618767261505127,0.19121049344539642
's,0.05599616840481758,-0.014458609744906425,0.02317718043923378,-0.063820980489254,0.9999999403953552,-0.0034737507812678814,-0.023395681753754616
postulate,0.2371552288532257,0.2569648027420044,0.43210235238075256,0.3618767261505127,-0.0034737507812678814,1.0000001192092896,0.29212695360183716
(,0.2443375140428543,0.2450505793094635,0.13362900912761688,0.21524962782859802,0.0012731997994706035,0.1700727641582489,0.40561532974243164
proven,0.30815133452415466,0.1881432682275772,0.6875543594360352,0.26029112935066223,-0.03496364504098892,0.4175960421562195,0.23916150629520416
first,0.39065709710121155,1.0,0.27645906805992126,0.30489930510520935,-0.014458609744906425,0.2569648027420044,0.18701928853988647
by,0.39727845788002014,0.3877052962779999,0.266084223985672,0.19417469203472137,-0.010884488001465797,0.26071152091026306,0.17966607213020325
chebyshev,0.21016867458820343,0.17731985449790955,0.37882769107818604,0.43902745842933655,-0.009341741912066936,0.47049763798713684,0.26083728671073914
),0.2457384318113327,0.27228695154190063,0.15395958721637726,0.2249240279197693,0.021107977256178856,0.17997968196868896,0.42300865054130554
",",0.3365725874900818,0.34503069519996643,0.23345941305160522,0.3278551399707794,-0.0016132977325469255,0.24302847683429718,0.31091248989105225
which,0.3688730001449585,0.3828166127204895,0.24627751111984253,0.10974244773387909,0.03856118768453598,0.30523133277893066,0.25814583897590637
states,0.21313154697418213,0.3145790100097656,0.16764527559280396,0.20704543590545654,-0.004298824816942215,0.22735925018787384,0.16272737085819244
that,0.45444270968437195,0.3482176661491394,0.3849233388900757,0.16041304171085358,0.04397977516055107,0.36842939257621765,0.32716336846351624
there,0.2844357192516327,0.2373337596654892,0.28541678190231323,0.17123568058013916,-0.04860968142747879,0.27254778146743774,0.29405656456947327
always,0.35447362065315247,0.23321761190891266,0.28284674882888794,0.19444586336612701,0.07762603461742401,0.2422543615102768,0.26136693358421326
exists,0.14061810076236725,0.1720750629901886,0.28329116106033325,0.2229084074497223,0.024081893265247345,0.3456229269504547,0.26845401525497437
at,0.22096660733222961,0.3138778805732727,0.16483433544635773,0.14183203876018524,-0.08481216430664062,0.11566848307847977,0.21978627145290375
least,0.2801615297794342,0.2720279097557068,0.2813110649585724,0.16195811331272125,0.05887432023882866,0.23494119942188263,0.28866854310035706
one,0.40083858370780945,0.4552372097969055,0.2756965160369873,0.23053382337093353,0.06913424283266068,0.29227209091186523,0.2673267424106598
prime,0.16031751036643982,0.21695679426193237,0.16570420563220978,0.22327561676502228,-0.0056337774731218815,0.24006322026252747,0.11276303976774216
number,0.21304799616336823,0.28294017910957336,0.21507224440574646,0.1536797285079956,0.033178191632032394,0.2552981674671173,0.19256845116615295
p,0.06693083047866821,0.1543406844139099,0.11151303350925446,0.1903959959745407,0.07090399414300919,0.18330694735050201,0.20840544998645782
with,0.3282766342163086,0.2691199779510498,0.23449081182479858,0.18482822179794312,-0.04624466598033905,0.2014497071504593,0.2433311939239502
n,0.05188069865107536,0.1542631834745407,0.1293773055076599,0.16713400185108185,0.13510282337665558,0.23488211631774902,0.19161871075630188
<,0.03446996212005615,0.10617075860500336,0.0982295498251915,0.22001570463180542,0.028291644528508186,0.22527794539928436,0.38651639223098755
p,0.06693083047866821,0.1543406844139099,0.11151303350925446,0.1903959959745407,0.07090399414300919,0.18330694735050201,0.20840544998645782
<,0.03446996212005615,0.10617075860500336,0.0982295498251915,0.22001570463180542,0.028291644528508186,0.22527794539928436,0.38651639223098755
2n,0.04117651283740997,-0.03728501498699188,0.10972747206687927,0.05038435757160187,0.00632577994838357,0.07652817666530609,-0.061072010546922684
−,0.07656365633010864,0.15674588084220886,0.15066444873809814,0.24265487492084503,0.06571318954229355,0.18986038863658905,0.22067660093307495
2,-0.0748172402381897,-0.016120517626404762,0.02722351811826229,0.028948428109288216,0.10492397099733353,0.054139528423547745,0.001977203879505396
",",0.3365725874900818,0.34503069519996643,0.23345941305160522,0.3278551399707794,-0.0016132977325469255,0.24302847683429718,0.31091248989105225
for,0.37110671401023865,0.3800288736820221,0.22118917107582092,0.18927069008350372,-0.07241261005401611,0.1664469838142395,0.264628142118454
any,0.29236510396003723,0.32448044419288635,0.31302282214164734,0.13583822548389435,0.09017360955476761,0.31267493963241577,0.4113408327102661
natural,0.1371762454509735,0.11985104531049728,0.1606726497411728,0.1673935204744339,-0.049410052597522736,0.2358727604150772,0.16155436635017395
number,0.21304799616336823,0.28294017910957336,0.21507224440574646,0.1536797285079956,0.033178191632032394,0.2552981674671173,0.19256845116615295
n,0.05188069865107536,0.1542631834745407,0.1293773055076599,0.16713400185108185,0.13510282337665558,0.23488211631774902,0.19161871075630188
>,-9.69868924585171e-05,0.15155357122421265,0.19945526123046875,0.09546800702810287,0.08055411279201508,0.130377396941185,0.25022614002227783
3,0.06491345912218094,0.03959788382053375,-0.02363397367298603,0.030323801562190056,-0.06116730347275734,0.031061973422765732,0.005975271109491587
.,0.3541337847709656,0.4345304071903229,0.2411038726568222,0.2827604115009308,-0.003708066651597619,0.26137009263038635,0.4130953550338745
