,where,do,scientists,think,all,of,the,plagues,originated,from,?
in,0.5344807505607605,0.23402775824069977,0.1995355486869812,0.23837615549564362,0.3335905969142914,0.5696388483047485,0.6662389636039734,0.25189393758773804,0.25518563389778137,0.4274188280105591,0.20430970191955566
october,0.19192063808441162,0.1337825059890747,0.0875481441617012,0.22803695499897003,0.18352164328098297,0.20846129953861237,0.2621108889579773,0.11267264187335968,0.1153215765953064,0.20135712623596191,0.29706719517707825
2010,0.2357739508152008,0.32876521348953247,0.14944857358932495,0.3133169114589691,0.2576361298561096,0.26419875025749207,0.31722962856292725,0.035828471183776855,0.30700942873954773,0.21823202073574066,0.21232788264751434
",",0.3149496018886566,0.3283645510673523,0.25785407423973083,0.3095206320285797,0.425624817609787,0.4946078956127167,0.4933079481124878,0.2308453917503357,0.26669368147850037,0.39760664105415344,0.31091248989105225
medical,0.26931947469711304,0.21413034200668335,0.31139203906059265,0.20158052444458008,0.20215465128421783,0.2826511859893799,0.2398311346769333,0.2745054066181183,0.10436835139989853,0.2240244597196579,0.13234087824821472
geneticists,0.15465675294399261,0.24962054193019867,0.5948516130447388,0.2802348732948303,0.24033208191394806,0.2352149933576584,0.2519108057022095,0.28932785987854004,0.2370316982269287,0.17861399054527283,0.19362442195415497
suggested,0.16545182466506958,0.23962996900081635,0.28874465823173523,0.417881041765213,0.22097963094711304,0.29373469948768616,0.28443726897239685,0.17002734541893005,0.2646947205066681,0.16930745542049408,0.2549840807914734
that,0.4876193106174469,0.44533252716064453,0.3470602035522461,0.5798900723457336,0.53305584192276,0.41498205065727234,0.5473989248275757,0.24002745747566223,0.2922593951225281,0.3477667272090912,0.32716336846351624
all,0.36365973949432373,0.38664430379867554,0.22994105517864227,0.4156843423843384,1.0000001192092896,0.42798417806625366,0.4860881567001343,0.2800799012184143,0.20995235443115234,0.2866387963294983,0.29575422406196594
three,0.25543931126594543,0.21283186972141266,0.15276512503623962,0.23654623329639435,0.3989922106266022,0.3844621181488037,0.43452659249305725,0.19159983098506927,0.12145088613033295,0.22603893280029297,0.20928427577018738
of,0.38066378235816956,0.26150479912757874,0.20474955439567566,0.2625778615474701,0.42798417806625366,1.0,0.733189046382904,0.27870044112205505,0.27252769470214844,0.4249346852302551,0.1826142966747284
the,0.5003893971443176,0.30239659547805786,0.25988271832466125,0.3102172613143921,0.4860881567001343,0.733189046382904,1.0,0.24431635439395905,0.3238855004310608,0.40150508284568787,0.22068053483963013
great,0.17954127490520477,0.16592441499233246,0.19081032276153564,0.26394274830818176,0.2289169877767563,0.3168134391307831,0.2822027802467346,0.23995204269886017,0.18731486797332764,0.18041135370731354,0.13135133683681488
waves,0.24640625715255737,0.19665779173374176,0.2558272182941437,0.1875893920660019,0.21648959815502167,0.22565768659114838,0.2572701871395111,0.27458447217941284,0.14353570342063904,0.20577645301818848,0.1603909134864807
of,0.38066378235816956,0.26150479912757874,0.20474955439567566,0.2625778615474701,0.42798417806625366,1.0,0.733189046382904,0.27870044112205505,0.27252769470214844,0.4249346852302551,0.1826142966747284
the,0.5003893971443176,0.30239659547805786,0.25988271832466125,0.3102172613143921,0.4860881567001343,0.733189046382904,1.0,0.24431635439395905,0.3238855004310608,0.40150508284568787,0.22068053483963013
plague,0.20278523862361908,0.15466199815273285,0.24838073551654816,0.20656731724739075,0.23882856965065002,0.27455615997314453,0.2537761330604553,0.7974379062652588,0.21013493835926056,0.22369004786014557,0.11872942000627518
originated,0.22080673277378082,0.17005731165409088,0.19589485228061676,0.17930838465690613,0.20995235443115234,0.27252769470214844,0.3238855004310608,0.22003795206546783,1.0,0.31586965918540955,0.11205674707889557
in,0.5344807505607605,0.23402775824069977,0.1995355486869812,0.23837615549564362,0.3335905969142914,0.5696388483047485,0.6662389636039734,0.25189393758773804,0.25518563389778137,0.4274188280105591,0.20430970191955566
china,0.2026863694190979,0.16741114854812622,0.1736403852701187,0.18330733478069305,0.2396208494901657,0.27699828147888184,0.3110525608062744,0.18249474465847015,0.24652834236621857,0.17287437617778778,0.18007943034172058
.,0.41390106081962585,0.3613996207714081,0.22514508664608002,0.31119775772094727,0.43406882882118225,0.5352458953857422,0.5934505462646484,0.22538675367832184,0.2187027931213379,0.41536515951156616,0.4130953550338745
