,what,is,a,main,duty,of,the,gphc,?
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.38631999492645264,0.18581759929656982,0.733189046382904,1.0,0.2867397964000702,0.22068053483963013
gphc,0.23287148773670197,0.28772640228271484,0.2875484526157379,0.21993891894817352,0.17009209096431732,0.24038082361221313,0.2867397964000702,0.9999999403953552,0.27919474244117737
is,0.28837618231773376,1.0,0.658733606338501,0.3009335994720459,0.18199297785758972,0.4854315221309662,0.5823672413825989,0.28772640228271484,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.38631999492645264,0.18581759929656982,0.733189046382904,1.0,0.2867397964000702,0.22068053483963013
governing,0.21229864656925201,0.22579121589660645,0.22193856537342072,0.17073886096477509,0.19616417586803436,0.3364465534687042,0.3302684724330902,0.30633705854415894,0.15836504101753235
body,0.2143840193748474,0.2790417969226837,0.26263290643692017,0.15962408483028412,0.15364724397659302,0.25063133239746094,0.31682634353637695,0.1485661417245865,0.20136451721191406
for,0.3017193675041199,0.43268078565597534,0.44038116931915283,0.27491986751556396,0.21612030267715454,0.4185989499092102,0.4739971458911896,0.24765144288539886,0.264628142118454
pharmacy,0.21638189256191254,0.16101746261119843,0.21975059807300568,0.1094299703836441,0.15260058641433716,0.18226979672908783,0.1938311904668808,0.24023523926734924,0.1355620175600052
health,0.21460163593292236,0.1864514946937561,0.21166443824768066,0.14139153063297272,0.23392704129219055,0.28076469898223877,0.2340974360704422,0.23907077312469482,0.16094304621219635
care,0.2973911762237549,0.1715470850467682,0.19697006046772003,0.09447132050991058,0.27182599902153015,0.20533065497875214,0.1663842648267746,0.10476551204919815,0.24279968440532684
professionals,0.2777658998966217,0.18974612653255463,0.21404023468494415,0.11314217746257782,0.21902044117450714,0.21767503023147583,0.209927499294281,0.1784115582704544,0.16300173103809357
and,0.31309178471565247,0.3859752118587494,0.3739250600337982,0.29831406474113464,0.22624720633029938,0.5116966962814331,0.5171257257461548,0.20401716232299805,0.20544172823429108
this,0.5489566326141357,0.480927973985672,0.5422310829162598,0.3026203215122223,0.21415898203849792,0.45148900151252747,0.6274310946464539,0.3112451136112213,0.3155723512172699
is,0.28837618231773376,1.0,0.658733606338501,0.3009335994720459,0.18199297785758972,0.4854315221309662,0.5823672413825989,0.28772640228271484,0.22961433231830597
who,0.40942975878715515,0.24293622374534607,0.36608949303627014,0.18417203426361084,0.20958000421524048,0.2827862501144409,0.3733934462070465,0.06636513769626617,0.26220351457595825
regulates,0.19956842064857483,0.22762078046798706,0.22762149572372437,0.15597832202911377,0.21619780361652374,0.2540435791015625,0.31528690457344055,0.27930575609207153,0.1498008519411087
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.38631999492645264,0.18581759929656982,0.733189046382904,1.0,0.2867397964000702,0.22068053483963013
practice,0.2749895751476288,0.21584326028823853,0.27658340334892273,0.10975153744220734,0.2538253962993622,0.2597380578517914,0.27333036065101624,0.22708739340305328,0.21386858820915222
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.3177044689655304,0.19598819315433502,1.0,0.733189046382904,0.24038082361221313,0.1826142966747284
pharmacists,0.28274545073509216,0.20884303748607635,0.25803542137145996,0.13548672199249268,0.1999678909778595,0.20506609976291656,0.24311043322086334,0.17439910769462585,0.1797308325767517
and,0.31309178471565247,0.3859752118587494,0.3739250600337982,0.29831406474113464,0.22624720633029938,0.5116966962814331,0.5171257257461548,0.20401716232299805,0.20544172823429108
pharmacy,0.21638189256191254,0.16101746261119843,0.21975059807300568,0.1094299703836441,0.15260058641433716,0.18226979672908783,0.1938311904668808,0.24023523926734924,0.1355620175600052
technicians,0.21377219259738922,0.1622994989156723,0.23602671921253204,0.12150730937719345,0.2509872317314148,0.17011334002017975,0.21938872337341309,0.22316111624240875,0.16329023241996765
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.31122034788131714,0.20822225511074066,0.5352458953857422,0.5934505462646484,0.32828471064567566,0.4130953550338745
