,how,many,miles,across,the,atlantic,ocean,does,saharan,dust,travel,?
nasa,0.20395343005657196,0.15574845671653748,0.1921602338552475,0.12816429138183594,0.19786997139453888,0.1995021402835846,0.24610024690628052,0.14068706333637238,0.23333850502967834,0.3085649311542511,0.20693165063858032,0.1809994876384735
's,-0.026164190843701363,0.01698932610452175,-0.0059337555430829525,0.010988947004079819,-0.01540423184633255,0.03544825315475464,0.07441883534193039,-0.02895052544772625,0.07983057200908661,-0.038515426218509674,0.04376646503806114,-0.023395681753754616
calipso,0.1821621209383011,0.149812251329422,0.23449894785881042,0.18190708756446838,0.31254130601882935,0.22364157438278198,0.2304365485906601,0.2590221166610718,0.3577364683151245,0.25767600536346436,0.1909598857164383,0.2649646997451782
satellite,0.10482273995876312,0.15164341032505035,0.2153729647397995,0.23825125396251678,0.22563834488391876,0.20694757997989655,0.28730934858322144,0.0950787216424942,0.2311158925294876,0.29698875546455383,0.22839398682117462,0.13568443059921265
has,0.26820555329322815,0.4266262650489807,0.22075259685516357,0.2821457087993622,0.4177538752555847,0.17720508575439453,0.20168811082839966,0.42885294556617737,0.2170426845550537,0.14267772436141968,0.17631752789020538,0.15994466841220856
measured,0.33367615938186646,0.24101705849170685,0.33142396807670593,0.3032621145248413,0.279002845287323,0.1332535743713379,0.22087125480175018,0.18513734638690948,0.15073637664318085,0.23971869051456451,0.22823593020439148,0.17351430654525757
the,0.33890387415885925,0.4335206151008606,0.25706055760383606,0.3816230297088623,1.0,0.31052014231681824,0.3185477554798126,0.35928019881248474,0.2361762821674347,0.2346910536289215,0.2857808768749237,0.22068053483963013
amount,0.37087762355804443,0.36071112751960754,0.08502805978059769,0.22617805004119873,0.3336862325668335,0.17499598860740662,0.15344691276550293,0.2951430082321167,0.20258083939552307,0.2806089520454407,0.2549186646938324,0.17984020709991455
of,0.2480744868516922,0.37253960967063904,0.2263605147600174,0.2936134934425354,0.733189046382904,0.22176773846149445,0.25798606872558594,0.3119818866252899,0.1892523616552353,0.25486329197883606,0.23167268931865692,0.1826142966747284
dust,0.24083134531974792,0.22878393530845642,0.20904326438903809,0.21413765847682953,0.2346910536289215,0.20432595908641815,0.2810789942741394,0.19225914776325226,0.2716901898384094,1.0,0.21870996057987213,0.15803812444210052
