,how,many,sororities,belong,to,the,national,panhellenic,conference,?
there,0.3328511416912079,0.4993700683116913,0.22508125007152557,0.2879621684551239,0.40669289231300354,0.47025805711746216,0.18458983302116394,0.17583242058753967,0.16416874527931213,0.29405656456947327
are,0.311818927526474,0.5655534863471985,0.30258071422576904,0.42716702818870544,0.3504326641559601,0.40399202704429626,0.17082279920578003,0.17350108921527863,0.1676291674375534,0.24591213464736938
fifteen,0.1623198688030243,0.2590177357196808,0.20949144661426544,0.09853631258010864,0.25730863213539124,0.32743558287620544,0.23113158345222473,0.18162846565246582,0.16006149351596832,0.14574173092842102
fraternities,0.14430241286754608,0.2664954364299774,0.6484163403511047,0.19337153434753418,0.2336450070142746,0.251118928194046,0.2931421399116516,0.3360481560230255,0.2740558087825775,0.21174144744873047
and,0.33647966384887695,0.5296266674995422,0.31825563311576843,0.2474735528230667,0.48971283435821533,0.5171257257461548,0.2608908712863922,0.29373544454574585,0.21613861620426178,0.20544172823429108
seven,0.20032188296318054,0.28098854422569275,0.240106463432312,0.23049548268318176,0.2853301167488098,0.28151169419288635,0.15208998322486877,0.22810807824134827,0.17873863875865936,0.1732930988073349
sororities,0.23006276786327362,0.3220752477645874,1.0,0.22481094300746918,0.2811585068702698,0.2839075028896332,0.3020784556865692,0.33089831471443176,0.2915244996547699,0.19557832181453705
at,0.2154216170310974,0.2716965675354004,0.16724252700805664,0.14607618749141693,0.36524343490600586,0.457212895154953,0.25194111466407776,0.17543718218803406,0.20550666749477386,0.21978627145290375
the,0.33890387415885925,0.4335206151008606,0.2839075028896332,0.27031847834587097,0.535392165184021,1.0,0.32739606499671936,0.3569435179233551,0.25393402576446533,0.22068053483963013
university,0.12992997467517853,0.19385361671447754,0.35193419456481934,0.10940403491258621,0.20192374289035797,0.263973206281662,0.35592976212501526,0.24835994839668274,0.3523830771446228,0.11887256056070328
of,0.2480744868516922,0.37253960967063904,0.23068663477897644,0.2644003629684448,0.41548454761505127,0.733189046382904,0.3314673602581024,0.3469291031360626,0.19579021632671356,0.1826142966747284
chicago,0.2247859537601471,0.1944255828857422,0.266701340675354,0.12215428799390793,0.19278118014335632,0.27360326051712036,0.26140397787094116,0.22787445783615112,0.23014876246452332,0.16446958482265472
",",0.22659391164779663,0.40610817074775696,0.28912559151649475,0.3347422182559967,0.44245919585227966,0.4933079481124878,0.23933029174804688,0.30874213576316833,0.21862302720546722,0.31091248989105225
as,0.33782753348350525,0.4070141911506653,0.2636614739894867,0.21590901911258698,0.42092081904411316,0.48381632566452026,0.21661384403705597,0.2855749726295471,0.14918358623981476,0.27043893933296204
well,0.410734087228775,0.5438802242279053,0.2443031221628189,0.30055922269821167,0.3422003388404846,0.42630070447921753,0.22215932607650757,0.19516395032405853,0.13677215576171875,0.24815571308135986
as,0.33782753348350525,0.4070141911506653,0.2636614739894867,0.21590901911258698,0.42092081904411316,0.48381632566452026,0.21661384403705597,0.2855749726295471,0.14918358623981476,0.27043893933296204
one,0.3213292360305786,0.4223630726337433,0.28932371735572815,0.3069336414337158,0.4025384783744812,0.5514441132545471,0.2082243114709854,0.24769914150238037,0.18016254901885986,0.2673267424106598
co-ed,0.2478625327348709,0.3005616366863251,0.1506584733724594,0.17490704357624054,0.22388942539691925,0.2535933554172516,0.06488612294197083,0.12771068513393402,0.07345419377088547,0.13348940014839172
community,0.24500365555286407,0.2554699182510376,0.3347669839859009,0.19403903186321259,0.2863751947879791,0.2601400911808014,0.23358014225959778,0.17776186764240265,0.2501422166824341,0.2380419820547104
service,0.12199638783931732,0.21650798618793488,0.2155545949935913,0.12896329164505005,0.24411341547966003,0.22661015391349792,0.28096842765808105,0.21435846388339996,0.1501975655555725,0.1676298975944519
fraternity,0.11997096240520477,0.1316753327846527,0.4867075979709625,0.13619288802146912,0.22522257268428802,0.2493952065706253,0.24137315154075623,0.30580973625183105,0.23599353432655334,0.1895565241575241
",",0.22659391164779663,0.40610817074775696,0.28912559151649475,0.3347422182559967,0.44245919585227966,0.4933079481124878,0.23933029174804688,0.30874213576316833,0.21862302720546722,0.31091248989105225
alpha,0.1756390929222107,0.12428882718086243,0.36206310987472534,0.10915659368038177,0.1812869906425476,0.24030061066150665,0.10825704038143158,0.23877672851085663,0.10860646516084671,0.15648643672466278
phi,0.17282450199127197,0.10102125257253647,0.35010862350463867,0.12591946125030518,0.22337542474269867,0.22117750346660614,0.20256859064102173,0.26871615648269653,0.2058899849653244,0.193189337849617
omega,0.1548575758934021,0.13684633374214172,0.2722296118736267,0.07900524139404297,0.20273533463478088,0.2733702063560486,0.1429748833179474,0.1647101789712906,0.07494590431451797,0.08969245105981827
.,0.3287222981452942,0.3974229395389557,0.21390432119369507,0.23404979705810547,0.4645031690597534,0.5934505462646484,0.29436907172203064,0.3511858582496643,0.1982354372739792,0.4130953550338745
