,in,what,state,is,the,largest,huguenot,society,located,?
the,0.6662389636039734,0.42745697498321533,0.3097178041934967,0.5823672413825989,1.0,0.3757036626338959,0.29557526111602783,0.2789285480976105,0.407527357339859,0.22068053483963013
society,0.21229879558086395,0.23231269419193268,0.18357330560684204,0.15995073318481445,0.2789285480976105,0.11454816162586212,0.20063380897045135,0.9999998807907104,0.130840003490448,0.1373005360364914
has,0.4173259735107422,0.20338068902492523,0.1870960146188736,0.5668748617172241,0.4177538752555847,0.24081888794898987,0.11063792556524277,0.11762072145938873,0.2580956220626831,0.15994466841220856
chapters,0.17317259311676025,0.2398843914270401,0.0998283177614212,0.1304982751607895,0.2848602831363678,0.12579134106636047,0.19662068784236908,0.22554081678390503,0.23149973154067993,0.220265731215477
in,1.0,0.30808621644973755,0.33316072821617126,0.5394441485404968,0.6662389636039734,0.3017216920852661,0.26198551058769226,0.21229879558086395,0.35149815678596497,0.20430970191955566
numerous,0.30740252137184143,0.1867249608039856,0.18120121955871582,0.14785398542881012,0.3353725075721741,0.14903947710990906,0.1500864028930664,0.14509828388690948,0.1334277242422104,0.0875130444765091
states,0.3977442979812622,0.21526020765304565,0.5370627045631409,0.21939043700695038,0.3463578522205353,0.23322616517543793,0.1941346377134323,0.21706433594226837,0.24650995433330536,0.16272737085819244
",",0.5201468467712402,0.3087472915649414,0.29481780529022217,0.4691906273365021,0.4933079481124878,0.26626327633857727,0.24752236902713776,0.20629194378852844,0.2678719460964203,0.31091248989105225
with,0.4080928862094879,0.2464839518070221,0.2062043994665146,0.3250955045223236,0.4223487675189972,0.16282805800437927,0.19856593012809753,0.1061180979013443,0.12990716099739075,0.2433311939239502
the,0.6662389636039734,0.42745697498321533,0.3097178041934967,0.5823672413825989,1.0,0.3757036626338959,0.29557526111602783,0.2789285480976105,0.407527357339859,0.22068053483963013
one,0.4129433035850525,0.376489520072937,0.23717761039733887,0.4544198513031006,0.5514441132545471,0.3001094460487366,0.19037187099456787,0.14336618781089783,0.2584690451622009,0.2673267424106598
in,1.0,0.30808621644973755,0.33316072821617126,0.5394441485404968,0.6662389636039734,0.3017216920852661,0.26198551058769226,0.21229879558086395,0.35149815678596497,0.20430970191955566
texas,0.24348852038383484,0.1829363852739334,0.3508560061454773,0.12198375910520554,0.2597190737724304,0.15711504220962524,0.16578109562397003,0.08325433731079102,0.18969902396202087,0.13821813464164734
being,0.33162933588027954,0.3760843276977539,0.2262357622385025,0.4445112943649292,0.419739305973053,0.18104127049446106,0.1651739478111267,0.2039068043231964,0.11277460306882858,0.26743772625923157
the,0.6662389636039734,0.42745697498321533,0.3097178041934967,0.5823672413825989,1.0,0.3757036626338959,0.29557526111602783,0.2789285480976105,0.407527357339859,0.22068053483963013
largest,0.3017216920852661,0.13463157415390015,0.23234382271766663,0.3413417339324951,0.3757036626338959,0.9999999403953552,0.19646020233631134,0.11454816162586212,0.37509143352508545,0.12401245534420013
.,0.5591574311256409,0.3567904531955719,0.31380724906921387,0.4569662809371948,0.5934505462646484,0.18871670961380005,0.2060975730419159,0.18022798001766205,0.28226932883262634,0.4130953550338745
