,what,city,did,the,grand,canal,reach,during,the,yuan,?
during,0.24137552082538605,0.24677588045597076,0.30679523944854736,0.4838213622570038,0.1728256791830063,0.17432931065559387,0.22843493521213531,1.0,0.4838213622570038,0.18615633249282837,0.1325719803571701
the,0.42745697498321533,0.35769423842430115,0.34736719727516174,1.0,0.305169016122818,0.26047348976135254,0.31808504462242126,0.4838213622570038,1.0,0.2548272907733917,0.22068053483963013
yuan,0.13503028452396393,0.14594675600528717,0.1467057168483734,0.2548272907733917,0.2147519886493683,0.08328167349100113,0.14237646758556366,0.18615633249282837,0.2548272907733917,1.0,0.12871281802654266
period,0.24507179856300354,0.21362969279289246,0.1760309934616089,0.3125074505805969,0.08279687911272049,0.08926063776016235,0.1579941213130951,0.5020045042037964,0.3125074505805969,0.19361332058906555,0.18706195056438446
",",0.3087472915649414,0.35839709639549255,0.3015086054801941,0.4933079481124878,0.29582488536834717,0.21654076874256134,0.2441277652978897,0.3225448727607727,0.4933079481124878,0.20958951115608215,0.31091248989105225
beijing,0.09482144564390182,0.3276571035385132,0.17402760684490204,0.2713945806026459,0.22104160487651825,0.15512824058532715,0.119168221950531,0.21742571890354156,0.2713945806026459,0.47402694821357727,0.16358482837677002
became,0.1434093862771988,0.2422705888748169,0.3632316589355469,0.36325156688690186,0.1564863622188568,0.10354805737733841,0.18676859140396118,0.37706515192985535,0.36325156688690186,0.126408189535141,0.11374033987522125
the,0.42745697498321533,0.35769423842430115,0.34736719727516174,1.0,0.305169016122818,0.26047348976135254,0.31808504462242126,0.4838213622570038,1.0,0.2548272907733917,0.22068053483963013
terminus,0.1714116781949997,0.32917454838752747,0.13203495740890503,0.2680048644542694,0.17701546847820282,0.3620871305465698,0.22564512491226196,0.15013298392295837,0.2680048644542694,0.16160379350185394,0.14396028220653534
of,0.33290785551071167,0.32503411173820496,0.2513895630836487,0.733189046382904,0.27195852994918823,0.18671196699142456,0.20552729070186615,0.3869180977344513,0.733189046382904,0.22696353495121002,0.1826142966747284
the,0.42745697498321533,0.35769423842430115,0.34736719727516174,1.0,0.305169016122818,0.26047348976135254,0.31808504462242126,0.4838213622570038,1.0,0.2548272907733917,0.22068053483963013
grand,0.1358851045370102,0.23055270314216614,0.17368978261947632,0.305169016122818,0.9999999403953552,0.19265727698802948,0.1345577985048294,0.1728256791830063,0.305169016122818,0.2147519886493683,0.1168735921382904
canal,0.07927161455154419,0.3135129511356354,0.08102171123027802,0.26047348976135254,0.19265727698802948,1.0,0.1306818574666977,0.17432931065559387,0.26047348976135254,0.08328167349100113,0.1123519018292427
of,0.33290785551071167,0.32503411173820496,0.2513895630836487,0.733189046382904,0.27195852994918823,0.18671196699142456,0.20552729070186615,0.3869180977344513,0.733189046382904,0.22696353495121002,0.1826142966747284
china,0.13832437992095947,0.23645147681236267,0.16472692787647247,0.3110525608062744,0.19611923396587372,0.17641934752464294,0.1811997890472412,0.22539520263671875,0.3110525608062744,0.5794417262077332,0.18007943034172058
",",0.3087472915649414,0.35839709639549255,0.3015086054801941,0.4933079481124878,0.29582488536834717,0.21654076874256134,0.2441277652978897,0.3225448727607727,0.4933079481124878,0.20958951115608215,0.31091248989105225
which,0.5261979103088379,0.22264601290225983,0.2750149369239807,0.6521818041801453,0.20318171381950378,0.22096513211727142,0.2537740468978882,0.3590145409107208,0.6521818041801453,0.2094680368900299,0.25814583897590637
was,0.22111038863658905,0.3188765048980713,0.41399896144866943,0.48711544275283813,0.24247264862060547,0.19834820926189423,0.15866006910800934,0.4470829963684082,0.48711544275283813,0.19482262432575226,0.18412111699581146
completely,0.3990919888019562,0.19716133177280426,0.2934423089027405,0.342624306678772,0.15365159511566162,0.14332689344882965,0.15900321304798126,0.2318611443042755,0.342624306678772,0.09253162890672684,0.17155995965003967
renovated,0.10320248454809189,0.24790316820144653,0.18969139456748962,0.2306516468524933,0.2188132405281067,0.16742992401123047,0.11940929293632507,0.27344319224357605,0.2306516468524933,0.15527895092964172,0.1532990038394928
.,0.3567904531955719,0.29856356978416443,0.35288307070732117,0.5934505462646484,0.22995266318321228,0.20299389958381653,0.2684406638145447,0.3485563397407532,0.5934505462646484,0.17233723402023315,0.4130953550338745
