,how,man,volumes,does,the,the,university,of,chicago,library,system,hold,?
the,0.33890387415885925,0.23171134293079376,0.21537050604820251,0.35928019881248474,1.0,1.0,0.263973206281662,0.733189046382904,0.27360326051712036,0.19920319318771362,0.3233085572719574,0.3067915439605713,0.22068053483963013
university,0.12992997467517853,0.09502419084310532,0.23509691655635834,0.09909145534038544,0.263973206281662,0.263973206281662,1.0,0.30646374821662903,0.29005804657936096,0.3760603964328766,0.16972410678863525,0.13306446373462677,0.11887256056070328
of,0.2480744868516922,0.16490690410137177,0.2531711161136627,0.3119818866252899,0.733189046382904,0.733189046382904,0.30646374821662903,1.0,0.18391016125679016,0.21889357268810272,0.25597915053367615,0.2465030699968338,0.1826142966747284
chicago,0.2247859537601471,0.22013410925865173,0.1693347543478012,0.17240707576274872,0.27360326051712036,0.27360326051712036,0.29005804657936096,0.18391016125679016,1.0,0.21728020906448364,0.1282481849193573,0.18137918412685394,0.16446958482265472
library,0.09932420402765274,0.11279617249965668,0.29893770813941956,0.11357046663761139,0.19920319318771362,0.19920319318771362,0.3760603964328766,0.21889357268810272,0.21728020906448364,0.9999999403953552,0.19369082152843475,0.14216816425323486,0.18938742578029633
system,0.282820463180542,0.13922545313835144,0.13934233784675598,0.2021704614162445,0.3233085572719574,0.3233085572719574,0.16972410678863525,0.25597915053367615,0.1282481849193573,0.19369082152843475,1.0000001192092896,0.17650142312049866,0.15556083619594574
encompasses,0.25015243887901306,0.14758583903312683,0.2790025770664215,0.22239992022514343,0.31387796998023987,0.31387796998023987,0.25167497992515564,0.4035385251045227,0.20889349281787872,0.22188234329223633,0.2571726441383362,0.2054286003112793,0.16302801668643951
six,0.20644865930080414,0.203582763671875,0.25600963830947876,0.13226458430290222,0.3614266812801361,0.3614266812801361,0.13872423768043518,0.3317931592464447,0.18617674708366394,0.1163662001490593,0.12911871075630188,0.20119492709636688,0.15298804640769958
libraries,0.13814528286457062,0.07957586646080017,0.34301313757896423,0.187765434384346,0.2134861946105957,0.2134861946105957,0.40563374757766724,0.2047192007303238,0.19694699347019196,0.7666171193122864,0.2806265354156494,0.1932675838470459,0.20525334775447845
that,0.557814359664917,0.25507083535194397,0.18365883827209473,0.4764937460422516,0.5473989248275757,0.5473989248275757,0.16441112756729126,0.41498205065727234,0.22499492764472961,0.1702454686164856,0.3088737428188324,0.34848764538764954,0.32716336846351624
contain,0.2636528015136719,0.15722547471523285,0.2929701507091522,0.28833872079849243,0.26383090019226074,0.26383090019226074,0.033714111894369125,0.30574339628219604,0.1743822544813156,0.12875600159168243,0.2184009850025177,0.35245993733406067,0.18853069841861725
a,0.29312583804130554,0.27759313583374023,0.11748959869146347,0.38201746344566345,0.5829201340675354,0.5829201340675354,0.20256656408309937,0.5052502155303955,0.17899899184703827,0.13480092585086823,0.2589043080806732,0.2822398841381073,0.23916715383529663
total,0.22199897468090057,0.1087416410446167,0.2532726526260376,0.17424942553043365,0.27068960666656494,0.27068960666656494,0.18448065221309662,0.29045331478118896,0.09928175061941147,0.016120783984661102,0.20881521701812744,0.15761682391166687,0.14396025240421295
of,0.2480744868516922,0.16490690410137177,0.2531711161136627,0.3119818866252899,0.733189046382904,0.733189046382904,0.30646374821662903,1.0,0.18391016125679016,0.21889357268810272,0.25597915053367615,0.2465030699968338,0.1826142966747284
9.8,0.05111820623278618,-0.008092964999377728,-0.064959816634655,0.03189223259687424,0.04497605934739113,0.04497605934739113,-0.06303720921278,0.09942901879549026,-0.07425343990325928,-0.05698966607451439,-0.005428374279290438,0.0249335914850235,-0.0033138187136501074
million,0.21114659309387207,0.12325746566057205,0.15186111629009247,0.10680846869945526,0.277012437582016,0.277012437582016,0.17569899559020996,0.21686489880084991,0.15604081749916077,0.11873524636030197,0.1672525405883789,0.13936775922775269,0.23092924058437347
volumes,0.20560778677463531,0.18907877802848816,1.0000001192092896,0.09332571178674698,0.21537050604820251,0.21537050604820251,0.23509691655635834,0.2531711161136627,0.1693347543478012,0.29893770813941956,0.13934233784675598,0.17457199096679688,0.11960393190383911
",",0.22659391164779663,0.26654794812202454,0.27979719638824463,0.28617382049560547,0.4933079481124878,0.4933079481124878,0.3017033040523529,0.4946078956127167,0.2679542899131775,0.16805633902549744,0.18439900875091553,0.2803111970424652,0.31091248989105225
the,0.33890387415885925,0.23171134293079376,0.21537050604820251,0.35928019881248474,1.0,1.0,0.263973206281662,0.733189046382904,0.27360326051712036,0.19920319318771362,0.3233085572719574,0.3067915439605713,0.22068053483963013
11th,0.13599224388599396,0.14333266019821167,0.10983432829380035,0.08335787057876587,0.20795033872127533,0.20795033872127533,0.12779483199119568,0.14593756198883057,0.12712107598781586,0.059445276856422424,0.09087404608726501,0.13089823722839355,0.014542436227202415
most,0.311336874961853,0.16853907704353333,0.11356567591428757,0.30044323205947876,0.47635307908058167,0.47635307908058167,0.19178320467472076,0.4178851246833801,0.1819228082895279,0.16268503665924072,0.1998981088399887,0.23886625468730927,0.2107497900724411
among,0.24921207129955292,0.1305197775363922,0.14278742671012878,0.13270315527915955,0.3507058024406433,0.3507058024406433,0.2190619260072708,0.3679063022136688,0.13828854262828827,0.20125353336334229,0.20968209207057953,0.19257280230522156,0.14343059062957764
library,0.09932420402765274,0.11279617249965668,0.29893770813941956,0.11357046663761139,0.19920319318771362,0.19920319318771362,0.3760603964328766,0.21889357268810272,0.21728020906448364,0.9999999403953552,0.19369082152843475,0.14216816425323486,0.18938742578029633
