,what,is,a,common,punishment,in,singapore,?
currently,0.21436211466789246,0.4011616110801697,0.2612716257572174,0.1344558298587799,0.16364918649196625,0.30261120200157166,0.21259598433971405,0.1861555278301239
detention,0.2523995339870453,0.20445413887500763,0.27227821946144104,0.12490791082382202,0.45940136909484863,0.2981238067150116,0.13063882291316986,0.16637463867664337
is,0.28837618231773376,1.0,0.658733606338501,0.2952355444431305,0.22508563101291656,0.5394441485404968,0.19305025041103363,0.22961433231830597
one,0.376489520072937,0.4544198513031006,0.4910551905632019,0.2715461850166321,0.24502627551555634,0.4129433035850525,0.17953063547611237,0.2673267424106598
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.2949881851673126,0.2056395560503006,0.5696388483047485,0.22627803683280945,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.2705984115600586,0.2503047287464142,0.6662389636039734,0.22571977972984314,0.22068053483963013
most,0.3219912350177765,0.41165053844451904,0.3508910834789276,0.42714235186576843,0.17340581119060516,0.41416558623313904,0.18122707307338715,0.2107497900724411
common,0.19989867508411407,0.2952355444431305,0.29638534784317017,0.9999998807907104,0.15432219207286835,0.23149342834949493,0.2030663788318634,0.20434872806072235
punishments,0.305923193693161,0.16642388701438904,0.14356105029582977,0.19766028225421906,0.9191979765892029,0.20686662197113037,0.1148461401462555,0.23544666171073914
in,0.30808621644973755,0.5394441485404968,0.539380669593811,0.23149342834949493,0.19258901476860046,1.0,0.22918981313705444,0.20430970191955566
schools,0.1820785105228424,0.2022145688533783,0.2118925303220749,0.19749347865581512,0.18592701852321625,0.2632134258747101,0.20952746272087097,0.18349280953407288
in,0.30808621644973755,0.5394441485404968,0.539380669593811,0.23149342834949493,0.19258901476860046,1.0,0.22918981313705444,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.2705984115600586,0.2503047287464142,0.6662389636039734,0.22571977972984314,0.22068053483963013
united,0.20036718249320984,0.22408509254455566,0.2732578217983246,0.22863329946994781,0.19906409084796906,0.3938477039337158,0.2975534498691559,0.17266890406608582
states,0.21526020765304565,0.21939043700695038,0.24708621203899384,0.213662251830101,0.24844320118427277,0.3977442979812622,0.2433035522699356,0.16272737085819244
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.2497023195028305,0.2216428816318512,0.5201468467712402,0.22787711024284363,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.2705984115600586,0.2503047287464142,0.6662389636039734,0.22571977972984314,0.22068053483963013
uk,0.17163191735744476,0.17650434374809265,0.19665123522281647,0.1766856461763382,0.10200029611587524,0.2261405885219574,0.2196730226278305,0.20222434401512146
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.2497023195028305,0.2216428816318512,0.5201468467712402,0.22787711024284363,0.31091248989105225
ireland,0.18062788248062134,0.174745574593544,0.18418891727924347,0.15040521323680878,0.149265855550766,0.24362659454345703,0.2712901532649994,0.10685748606920242
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.2497023195028305,0.2216428816318512,0.5201468467712402,0.22787711024284363,0.31091248989105225
singapore,0.13772054016590118,0.19305025041103363,0.21828389167785645,0.2030663788318634,0.12325242906808853,0.22918981313705444,0.9999999403953552,0.14662936329841614
and,0.31309178471565247,0.3859752118587494,0.3739250600337982,0.229714497923851,0.2325662225484848,0.4954058527946472,0.21102118492126465,0.20544172823429108
other,0.341873437166214,0.25895947217941284,0.2806335389614105,0.32652610540390015,0.25079578161239624,0.39989137649536133,0.2259816825389862,0.24682199954986572
countries,0.22319257259368896,0.254234254360199,0.2672088146209717,0.3351489007472992,0.19745223224163055,0.3027990758419037,0.28014224767684937,0.15128466486930847
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.21817955374717712,0.24320337176322937,0.5591574311256409,0.2250892072916031,0.4130953550338745
