,how,do,regimes,fight,against,cultural,imperialism,?
the,0.33890387415885925,0.30239659547805786,0.26122304797172546,0.28874441981315613,0.3090755045413971,0.23337452113628387,0.2716025412082672,0.22068053483963013
importance,0.3150935769081116,0.21219167113304138,0.23666398227214813,0.17227457463741302,0.17322584986686707,0.45662057399749756,0.25687727332115173,0.1653127521276474
of,0.2480744868516922,0.26150479912757874,0.2842453718185425,0.20101141929626465,0.2669808566570282,0.29898300766944885,0.29240643978118896,0.1826142966747284
soft,0.18578916788101196,0.20124627649784088,0.08914948999881744,0.12168586254119873,0.1611383855342865,0.04073847830295563,0.09820149838924408,0.20168161392211914
power,0.23785550892353058,0.16343404352664948,0.3556162118911743,0.2315649688243866,0.237745463848114,0.12300142645835876,0.25230416655540466,0.15304024517536163
is,0.22544461488723755,0.30895981192588806,0.19086654484272003,0.14821840822696686,0.1754940152168274,0.1658732146024704,0.13894762098789215,0.22961433231830597
not,0.4869767427444458,0.6619802713394165,0.2507466673851013,0.2843157947063446,0.22345952689647675,0.14385287463665009,0.22757908701896667,0.41942933201789856
lost,0.15881673991680145,0.18240030109882355,0.13069669902324677,0.2825447618961334,0.2972295582294464,0.1422095149755478,0.18793752789497375,0.15261413156986237
on,0.32655060291290283,0.3025321364402771,0.119481660425663,0.2277659922838211,0.3163113296031952,0.17277537286281586,0.09501302242279053,0.2714994251728058
authoritarian,0.19938519597053528,0.272065669298172,0.3991697430610657,0.22851140797138214,0.33423057198524475,0.2865406572818756,0.44477206468582153,0.25911572575569153
regimes,0.21619993448257446,0.1600669026374817,1.0,0.279961496591568,0.30178526043891907,0.25776320695877075,0.40057092905044556,0.1432064026594162
",",0.22659391164779663,0.3283645510673523,0.23677553236484528,0.23247352242469788,0.31168749928474426,0.24125681817531586,0.2420617640018463,0.31091248989105225
fighting,0.19064022600650787,0.17501837015151978,0.26081582903862,0.7470243573188782,0.3428873121738434,0.12179424613714218,0.24062056839466095,0.15496447682380676
such,0.307365357875824,0.337398886680603,0.22695066034793854,0.1908639371395111,0.20227466523647308,0.16211064159870148,0.16803118586540222,0.17851735651493073
influence,0.2964659333229065,0.16622374951839447,0.3056294918060303,0.17746557295322418,0.24332758784294128,0.33568137884140015,0.38372498750686646,0.14200882613658905
with,0.3525622487068176,0.23744353652000427,0.20901578664779663,0.27819523215293884,0.317049115896225,0.14040853083133698,0.16891896724700928,0.2433311939239502
bans,0.2731384038925171,0.2564954161643982,0.28351330757141113,0.21225589513778687,0.2725909948348999,0.20418310165405273,0.22558742761611938,0.27151814103126526
on,0.32655060291290283,0.3025321364402771,0.119481660425663,0.2277659922838211,0.3163113296031952,0.17277537286281586,0.09501302242279053,0.2714994251728058
foreign,0.2628900706768036,0.16614940762519836,0.2591572701931,0.21025678515434265,0.24409699440002441,0.2708745002746582,0.32084009051322937,0.13770383596420288
popular,0.16110315918922424,0.190198615193367,0.1276390105485916,0.10786856710910797,0.16904011368751526,0.25286751985549927,0.20904354751110077,0.13108457624912262
culture,0.20633824169635773,0.1603490710258484,0.2320072501897812,0.14820532500743866,0.14863134920597076,0.6551339030265808,0.3405192196369171,0.13093146681785583
",",0.22659391164779663,0.3283645510673523,0.23677553236484528,0.23247352242469788,0.31168749928474426,0.24125681817531586,0.2420617640018463,0.31091248989105225
control,0.27268826961517334,0.21350030601024628,0.3188624978065491,0.3160610795021057,0.23019160330295563,0.14091968536376953,0.16404078900814056,0.1620711386203766
of,0.2480744868516922,0.26150479912757874,0.2842453718185425,0.20101141929626465,0.2669808566570282,0.29898300766944885,0.29240643978118896,0.1826142966747284
the,0.33890387415885925,0.30239659547805786,0.26122304797172546,0.28874441981315613,0.3090755045413971,0.23337452113628387,0.2716025412082672,0.22068053483963013
internet,0.19408822059631348,0.170716792345047,0.15774936974048615,0.12167476117610931,0.13344475626945496,0.20033103227615356,0.14485657215118408,0.23314887285232544
and,0.33647966384887695,0.276123583316803,0.23373694717884064,0.3312135934829712,0.3292689621448517,0.28489047288894653,0.19073538482189178,0.20544172823429108
unauthorised,0.22203651070594788,0.23245766758918762,0.19794543087482452,0.15062613785266876,0.2096465677022934,0.09950397908687592,0.23093979060649872,0.21891546249389648
satellite,0.10482273995876312,0.11859256774187088,0.10771500319242477,0.10127143561840057,0.0900239646434784,0.17706219851970673,0.17141146957874298,0.13568443059921265
dishes,0.1653783917427063,0.1782209724187851,0.16701187193393707,0.15117494761943817,0.1008630022406578,0.1641286015510559,0.11938734352588654,0.137337788939476
etc,0.2721891701221466,0.30621668696403503,0.19426970183849335,0.11655166000127792,0.1288221776485443,0.19568797945976257,0.14775556325912476,0.38010111451148987
.,0.3287222981452942,0.3613996207714081,0.23382273316383362,0.263308584690094,0.28705209493637085,0.18655544519424438,0.22279119491577148,0.4130953550338745
