,what,elements,from,the,rift,system,in,the,alpine,orogeny,in,southwest,germany,?
the,0.42745697498321533,0.22297804057598114,0.40150508284568787,1.0,0.31054243445396423,0.3233085572719574,0.6662389636039734,1.0,0.25914666056632996,0.31707653403282166,0.6662389636039734,0.2974209487438202,0.3181285262107849,0.22068053483963013
main,0.2344268560409546,0.2220683991909027,0.22770823538303375,0.38631999492645264,0.16824769973754883,0.13672471046447754,0.28862449526786804,0.38631999492645264,0.10588189959526062,0.24557484686374664,0.28862449526786804,0.22472427785396576,0.22822625935077667,0.1665669083595276
elements,0.2152351289987564,1.0000001192092896,0.17875328660011292,0.22297804057598114,0.1941811889410019,0.23398061096668243,0.18130259215831757,0.22297804057598114,0.08952077478170395,0.190177321434021,0.18130259215831757,0.1325100213289261,0.11599020659923553,0.15222592651844025
of,0.33290785551071167,0.23613712191581726,0.4249346852302551,0.733189046382904,0.3000390827655792,0.25597915053367615,0.5696388483047485,0.733189046382904,0.22056277096271515,0.2820277512073517,0.5696388483047485,0.2579437494277954,0.2942050099372864,0.1826142966747284
this,0.5489566326141357,0.26934826374053955,0.3469814360141754,0.6274310946464539,0.2548624277114868,0.3294329345226288,0.45205554366111755,0.6274310946464539,0.20262263715267181,0.331108957529068,0.45205554366111755,0.12395023554563522,0.23882482945919037,0.3155723512172699
rift,0.27999821305274963,0.1941811889410019,0.19909383356571198,0.31054243445396423,1.0000001192092896,0.13986530900001526,0.18964281678199768,0.31054243445396423,0.24110543727874756,0.4581623375415802,0.18964281678199768,0.34276100993156433,0.2028360366821289,0.18145444989204407
are,0.29724663496017456,0.2717064321041107,0.2674213647842407,0.40399202704429626,0.1613330990076065,0.21917270123958588,0.3841303884983063,0.40399202704429626,0.12402027100324631,0.2587171196937561,0.3841303884983063,0.20129360258579254,0.19546794891357422,0.24591213464736938
the,0.42745697498321533,0.22297804057598114,0.40150508284568787,1.0,0.31054243445396423,0.3233085572719574,0.6662389636039734,1.0,0.25914666056632996,0.31707653403282166,0.6662389636039734,0.2974209487438202,0.3181285262107849,0.22068053483963013
upper,0.1592642068862915,0.13763436675071716,0.21286499500274658,0.35289278626441956,0.2752717435359955,0.17121560871601105,0.27419501543045044,0.35289278626441956,0.2501271069049835,0.33464324474334717,0.27419501543045044,0.27136725187301636,0.23356673121452332,0.051342256367206573
rhine,0.16475653648376465,0.1068926602602005,0.2181936800479889,0.30735138058662415,0.27927032113075256,0.11104287952184677,0.24648422002792358,0.30735138058662415,0.18429382145404816,0.13239312171936035,0.24648422002792358,0.24861998856067657,0.5801170468330383,0.13754533231258392
