,what,party,is,favored,in,bedigo,and,geelong,?
traditionally,0.22366398572921753,0.23104481399059296,0.33712470531463623,0.2950412333011627,0.31378570199012756,0.3263661563396454,0.3186349868774414,0.245145782828331,0.10789176821708679
",",0.3087472915649414,0.21963930130004883,0.4691906273365021,0.28136101365089417,0.5201468467712402,0.33649495244026184,0.6633074283599854,0.28479352593421936,0.31091248989105225
labor,0.1943984031677246,0.4551692605018616,0.13817991316318512,0.21019551157951355,0.1950610727071762,0.1982368379831314,0.22200584411621094,0.2069288194179535,0.19386747479438782
is,0.28837618231773376,0.1756078004837036,1.0,0.21149231493473053,0.5394441485404968,0.2195594161748886,0.3859752118587494,0.23623305559158325,0.22961433231830597
strongest,0.20878702402114868,0.25214847922325134,0.2642355263233185,0.3181401491165161,0.2373267114162445,0.08498639613389969,0.26421281695365906,0.15276990830898285,0.14222878217697144
in,0.30808621644973755,0.20446790754795074,0.5394441485404968,0.21774357557296753,1.0,0.296908974647522,0.4954058527946472,0.28465673327445984,0.20430970191955566
melbourne,0.10823550075292587,0.20605561137199402,0.14877618849277496,0.04781712591648102,0.21059004962444305,0.304441899061203,0.22872792184352875,0.6299616098403931,0.09101688116788864
's,0.02692362666130066,0.02531869150698185,0.02396530658006668,0.012590810656547546,-0.037580832839012146,-0.017627110704779625,0.06895173341035843,0.08280657231807709,-0.023395681753754616
working,0.2846863269805908,0.17057888209819794,0.20290212333202362,0.13717912137508392,0.3062970042228699,0.1965610235929489,0.30510061979293823,0.187260240316391,0.17154020071029663
class,0.16880196332931519,0.13796782493591309,0.1275252103805542,0.1711236983537674,0.1761927455663681,0.17787228524684906,0.20710228383541107,0.19373250007629395,0.12778934836387634
western,0.2454150915145874,0.23377612233161926,0.2572968304157257,0.13824625313282013,0.35160520672798157,0.23943008482456207,0.27210789918899536,0.34305107593536377,0.17439141869544983
and,0.31309178471565247,0.20650289952754974,0.3859752118587494,0.28784799575805664,0.4954058527946472,0.34227219223976135,1.0,0.2879490256309509,0.20544172823429108
northern,0.19332477450370789,0.20315498113632202,0.25616052746772766,0.11415853351354599,0.3545122444629669,0.2572236657142639,0.2852024435997009,0.2662769854068756,0.13149388134479523
suburbs,0.14620864391326904,0.18181219696998596,0.18339255452156067,0.09801723062992096,0.2863102853298187,0.27929097414016724,0.25931885838508606,0.4784817397594452,0.07569191604852676
",",0.3087472915649414,0.21963930130004883,0.4691906273365021,0.28136101365089417,0.5201468467712402,0.33649495244026184,0.6633074283599854,0.28479352593421936,0.31091248989105225
and,0.31309178471565247,0.20650289952754974,0.3859752118587494,0.28784799575805664,0.4954058527946472,0.34227219223976135,1.0,0.2879490256309509,0.20544172823429108
the,0.42745697498321533,0.23779736459255219,0.5823672413825989,0.2811082899570465,0.6662389636039734,0.2597522437572479,0.5171257257461548,0.306128591299057,0.22068053483963013
regional,0.1532609760761261,0.1566726416349411,0.1760118007659912,0.12633661925792694,0.2730329930782318,0.17511878907680511,0.2256052941083908,0.2704642415046692,0.09246466308832169
cities,0.161918506026268,0.18674753606319427,0.21770904958248138,0.11614548414945602,0.32293570041656494,0.19929850101470947,0.292957067489624,0.20197324454784393,0.13339310884475708
of,0.33290785551071167,0.23662418127059937,0.4854315221309662,0.3049958646297455,0.5696388483047485,0.24834959208965302,0.5116966962814331,0.2465999275445938,0.1826142966747284
ballarat,0.16659516096115112,0.19597028195858002,0.1902189999818802,0.025279177352786064,0.28942209482192993,0.4334169924259186,0.265418142080307,0.5931360721588135,0.12580890953540802
",",0.3087472915649414,0.21963930130004883,0.4691906273365021,0.28136101365089417,0.5201468467712402,0.33649495244026184,0.6633074283599854,0.28479352593421936,0.31091248989105225
bendigo,0.12648189067840576,0.2761742174625397,0.19823957979679108,0.07832959294319153,0.34161853790283203,0.5951637029647827,0.3155369162559509,0.5830914378166199,0.04594032093882561
and,0.31309178471565247,0.20650289952754974,0.3859752118587494,0.28784799575805664,0.4954058527946472,0.34227219223976135,1.0,0.2879490256309509,0.20544172823429108
