,how,old,are,the,gravestones,that,reference,the,plague,?
nestorian,0.15573091804981232,0.26128625869750977,0.12297384440898895,0.2434549331665039,0.3008694648742676,0.23149508237838745,0.18039049208164215,0.2434549331665039,0.27714961767196655,0.11854059249162674
graves,0.21692052483558655,0.3023293912410736,0.18553313612937927,0.2546413242816925,0.7614335417747498,0.2278706133365631,0.19931386411190033,0.2546413242816925,0.29343998432159424,0.1868567168712616
dating,0.1927265226840973,0.30138590931892395,0.1769600808620453,0.23401090502738953,0.3111397922039032,0.2635617256164551,0.19474181532859802,0.23401090502738953,0.1528826802968979,0.1135709211230278
to,0.44169697165489197,0.2412436157464981,0.3504326641559601,0.535392165184021,0.28721296787261963,0.5436353087425232,0.25784367322921753,0.535392165184021,0.21845681965351105,0.29463258385658264
1338–39,0.06757301092147827,0.10699032247066498,0.0271640345454216,0.12103041261434555,0.05492156371474266,-0.0014051893958821893,0.07948226481676102,0.12103041261434555,0.15988147258758545,0.21698814630508423
near,0.10767845064401627,0.165857195854187,0.20196682214736938,0.2879819869995117,0.2250051498413086,0.1848522126674652,0.05973900109529495,0.2879819869995117,0.22062091529369354,0.10734958201646805
lake,0.10057038813829422,0.11347294598817825,0.11179637908935547,0.24325428903102875,0.10075707733631134,0.22043050825595856,0.06569428741931915,0.24325428903102875,0.16335782408714294,0.07226386666297913
issyk,0.08591961115598679,0.18638986349105835,0.14956390857696533,0.28944095969200134,0.07405102998018265,0.1644441932439804,0.15135936439037323,0.28944095969200134,0.10646440088748932,0.22484378516674042
kul,0.11564768105745316,0.21706637740135193,0.13616985082626343,0.2245922088623047,0.15376810729503632,0.18960055708885193,0.06615065038204193,0.2245922088623047,0.02850934863090515,0.15839385986328125
in,0.2601168751716614,0.2865324318408966,0.3841303884983063,0.6662389636039734,0.27558621764183044,0.435920387506485,0.22640638053417206,0.6662389636039734,0.2488756626844406,0.20430970191955566
kyrgyzstan,0.10763447731733322,0.20205698907375336,0.19245877861976624,0.2642572820186615,0.16840513050556183,0.18729254603385925,0.11938013881444931,0.2642572820186615,0.08561116456985474,0.16307015717029572
have,0.4370637536048889,0.21096763014793396,0.6577680706977844,0.40389683842658997,0.2903541028499603,0.6182622313499451,0.24820418655872345,0.40389683842658997,0.1807374507188797,0.32991164922714233
inscriptions,0.1434764862060547,0.3162056505680084,0.21824254095554352,0.28041476011276245,0.4196593761444092,0.216180682182312,0.22770334780216217,0.28041476011276245,0.2546018958091736,0.120450958609581
referring,0.2996719181537628,0.13552626967430115,0.26145488023757935,0.2939433753490448,0.243815615773201,0.3772870600223541,0.46325448155403137,0.2939433753490448,0.14981429278850555,0.23602885007858276
to,0.44169697165489197,0.2412436157464981,0.3504326641559601,0.535392165184021,0.28721296787261963,0.5436353087425232,0.25784367322921753,0.535392165184021,0.21845681965351105,0.29463258385658264
plague,0.16610242426395416,0.21079879999160767,0.15205079317092896,0.2537761330604553,0.31865817308425903,0.23825600743293762,0.08694717288017273,0.2537761330604553,0.9999999403953552,0.11872942000627518
and,0.33647966384887695,0.29022282361984253,0.48576638102531433,0.5171257257461548,0.2800361216068268,0.4731321930885315,0.21395881474018097,0.5171257257461548,0.2229994833469391,0.20544172823429108
